subdir,file name,test class,timing (milseconds),res (true/false),domain
high,flip_twice_1,Pos,1527,F;IM,Oct
high,fact_exn,Pos,926,T,Oct
high,inc,Pos,1292,T,Oct
high,intro3,Pos,337,T,Oct
high,neg1,Pos,467,F;IM,Oct
high,sum_cps,Pos,736,T,Oct
high,sigma_sum,Pos,493,T,Oct
high,intro2,Pos,277,T,Oct
high,repeat4,Pos,533,T,Oct
high,hors,Pos,642,T,Oct
high,repeat,Pos,583,T,Oct
high,intro1,Pos,301,T,Oct
high,app-lin-ord3,Pos,898,T,Oct
high,hrec,Pos,431,T,Oct
high,app-nonrec,Pos,276,T,Oct
high,app-lin-ord2,Pos,371,T,Oct
high,max,Pos,766,T,Oct
high,apply,Pos,461,T,Oct
high,twice,Pos,336,T,Oct
high,neg2,Pos,495,T,Oct
high,exception,Pos,254,T,Oct
high,power,Pos,1134,T,Oct
high,flip_twice_2,Pos,541,F;IM,Oct
high,exc-fact,Pos,792,T,Oct
high,recursive,Pos,219,T,Oct
high,mc91_cps,Pos,881,F;IM,Oct
high,exc-simple,Pos,296,T,Oct
array,a-copy-print,Pos,111,T,Oct
array,array_init,Pos,252,T,Oct
array,bcopy,Pos,610,T,Oct
array,a-dotprod,Pos,1020,T,Oct
array,a-init,Pos,334,T,Oct
first,mc91_99,Pos,473,F;IM,Oct
first,enc-rev_append-2,Pos,357,T,Oct
first,gib2,Pos,849,T,Oct
first,enc-zip3,Pos,579,T,Oct
first,substring2,Pos,445,T,Oct
first,mult,Pos,393,T,Oct
first,sum4,Pos,397,F;IM,Oct
first,fxx,Pos,126,T,Oct
first,map,Pos,342,T,Oct
first,enc-zipmap,Pos,1182,T,Oct
first,lcm,Pos,693,F;IM,Oct
first,mc91_98,Pos,423,F;IM,Oct
first,enc-zip_map2,Pos,946,T,Oct
first,inductive6,Pos,280,T,Oct
first,copy_intro,Pos,351,T,Oct
first,pldi082_unbounded1,Pos,1833,F;IM,Oct
first,flow,Pos,114,T,Oct
first,inductive2,Pos,143,T,Oct
first,inductive1-3,Pos,598,T,Oct
first,inductive3,Pos,203,T,Oct
first,enc-zip_map,Pos,923,T,Oct
first,inductive1-2,Pos,706,T,Oct
first,xyz2,Pos,1295,F;IM,Oct
first,xy10,Pos,551,T,Oct
first,01_ic3,Pos,537,T,Oct
first,sum,Pos,397,T,Oct
first,up_down_stair,Pos,1627,F;IM,Oct
first,up2,Pos,1004,F;IM,Oct
first,inductive1-1,Pos,691,T,Oct
first,mc91_95,Pos,419,F;IM,Oct
first,inductive4,Pos,613,F;IM,Oct
first,lock,Pos,681,T,Oct
first,mc91,Pos,467,F;IM,Oct
first,xyz,Pos,1205,F;IM,Oct
first,enc-rev_accum,Pos,410,T,Oct
first,inductive5,Pos,221,T,Oct
first,inductive3-2,Pos,211,T,Oct
first,pldi082_unbounded2,Pos,578,T,Oct
first,file,Pos,2403,T;UR,Oct
first,xy4,Pos,717,F;IM,Oct
first,sum_intro,Pos,474,T,Oct
first,map_map,Pos,406,T,Oct
first,xy0,Pos,796,T,Oct
first,prog2,Pos,373,T,Oct
first,sum3,Pos,350,F;IM,Oct
first,fib,Pos,392,T,Oct
first,svd,Pos,15179,T,Oct
first,ack,Pos,827,F;IM,Oct
first,enc-zip,Pos,889,T,Oct
first,gcd,Pos,1021,F;IM,Oct
first,enc-zip4,Pos,959,T,Oct
first,recHanoi03,Pos,485,T,Oct
first,enc-rev_append-1,Pos,531,T,Oct
first,sum2,Pos,386,F;IM,Oct
first,gib,Pos,845,F;IM,Oct
first,seq-len1,Pos,2371,T,Oct
first,substring1,Pos,782,T,Oct
negative,01_ic3,Neg,527,T,Oct
negative,ex23,Neg,299,F,Oct
negative,inductive1-1,Neg,583,F,Oct
negative,repeat,Neg,287,F,Oct
negative,zip_unzip,Neg,650,F,Oct
negative,compose,Neg,257,F,Oct
