subdir,file name,test class,timing (seconds),res (true/false),domain
first,fxx,Pos,0.01,T,OctPolka
first,sum3,Pos,0.15,F,OctPolka
first,mc91_98,Pos,0.32,F,OctPolka
first,pldi082_unbounded1,Pos,2.25,F,OctPolka
first,seq-len,Pos,14.3,F,OctPolka
first,addition,Pos,0.48,F,OctPolka
first,inductive5-2,Pos,0.07,T,OctPolka
first,substring2,Pos,1.2,T,OctPolka
first,svd,Pos,118.99,T,OctPolka
first,sum4,Pos,0.16,F,OctPolka
first,enc-zip3,Pos,0.41,T,OctPolka
first,gcd,Pos,0.87,T,OctPolka
first,inductive1-3,Pos,0.57,T,OctPolka
first,enc-zip_map,Pos,0.78,T,OctPolka
first,enc-zip,Pos,0.46,F,OctPolka
first,xyz,Pos,4.66,F,OctPolka
first,recHanoi03,Pos,0.14,T,OctPolka
first,up_down_stair,Pos,7.25,T,OctPolka
first,seq-len1,Pos,13.19,F,OctPolka
first,inductive6-3,Pos,0.01,F,OctPolka
first,enc-zip4,Pos,0.45,F,OctPolka
first,copy_intro,Pos,0.26,T,OctPolka
first,mc91_99,Pos,0.32,F,OctPolka
first,for_bounded_loop1,Pos,3.23,F,OctPolka
first,enc-rev_accum,Pos,0.32,F,OctPolka
first,inductive1-2,Pos,0.56,T,OctPolka
first,xy10,Pos,1.11,T,OctPolka
first,gulwani_cegar1,Pos,1.97,T,OctPolka
first,hanoi,Pos,5.12,F,OctPolka
first,inductive4-1,Pos,0.93,T,OctPolka
first,xy4,Pos,1.14,F,OctPolka
first,eq,Pos,11.25,T,OctPolka
first,nested_loop,Pos,timeout,ER,OctPolka
first,mult_twice,Pos,0.62,F,OctPolka
first,mc91,Pos,0.36,T,OctPolka
first,inductive4,Pos,0.36,T,OctPolka
first,sum_intro,Pos,0.22,T,OctPolka
first,inductive6-2,Pos,0.01,T,OctPolka
first,file,Pos,3.26,F,OctPolka
first,enc-zip_map2,Pos,0.76,F,OctPolka
first,inductive1,Pos,1.26,T,OctPolka
first,mult,Pos,0.34,T,OctPolka
first,is_prime,Pos,1.25,F,OctPolka
first,map_map,Pos,0.29,T,OctPolka
first,ack,Pos,5.25,T,OctPolka
first,inductive3,Pos,0.02,T,OctPolka
first,sum6,Pos,0.19,F,OctPolka
first,inductive2,Pos,0.02,T,OctPolka
first,inductivea,Pos,0.49,F,OctPolka
first,substring1,Pos,1.3,T,OctPolka
first,inductive3-2,Pos,0.04,T,OctPolka
first,odd_even,Pos,0.27,F,OctPolka
first,fib,Pos,0.22,T,OctPolka
first,xyz2,Pos,4.65,F,OctPolka
first,gib,Pos,2.54,T,OctPolka
first,pldi082_unbounded2,Pos,0.26,T,OctPolka
first,inductive5,Pos,0.03,T,OctPolka
first,xy0,Pos,0.29,T,OctPolka
first,prog2,Pos,0.19,T,OctPolka
first,enc-rev_append,Pos,0.94,F,OctPolka
first,flow,Pos,0.0,T,OctPolka
first,inductive3-3,Pos,0.03,T,OctPolka
first,gib2,Pos,2.1,T,OctPolka
first,inductive6,Pos,0.01,T,OctPolka
first,half,Pos,1.5,F,OctPolka
first,up2,Pos,2.6,T,OctPolka
first,sum2,Pos,0.13,F,OctPolka
first,01_ic3,Pos,0.14,T,OctPolka
first,mc91_95,Pos,0.31,F,OctPolka
first,map,Pos,0.13,T,OctPolka
first,enc-zipmap,Pos,0.76,F,OctPolka
first,lock,Pos,0.01,F,OctPolka
first,sum,Pos,0.12,T,OctPolka
array,a-reverse,Pos,1.94,T,OctPolka
array,bcopy,Pos,2.89,T,OctPolka
array,a-split,Pos,11.97,F,OctPolka
array,a-mapi,Pos,6.21,T,OctPolka
array,a-iter,Pos,1.61,T,OctPolka
array,a-dropn,Pos,22.26,F,OctPolka
array,a-sub,Pos,7.36,F,OctPolka
array,a-append,Pos,8.97,F,OctPolka
array,a-init2,Pos,0.57,F,OctPolka
array,a-init1,Pos,0.94,F,OctPolka
array,a-map,Pos,5.26,T,OctPolka
array,a-dotprod,Pos,4.82,T,OctPolka
array,a-copy-print,Pos,4.18,T,OctPolka
high,app-nonrec,Pos,0.01,T,OctPolka
high,exc-simple,Pos,0.01,T,OctPolka
high,kmp,Pos,144.08,T,OctPolka
high,repeat,Pos,1.03,T,OctPolka
high,max,Pos,0.29,T,OctPolka
high,hrec,Pos,3.31,T,OctPolka
high,bcopy,Pos,2.02,T,OctPolka
high,fact_exn,Pos,0.12,F,OctPolka
