subdir,file name,test class,timing (milseconds),res (true/false)
high,flip_twice_1,Pos,43,T
high,fact_exn,Pos,34,T
high,inc,Pos,38,T
high,intro3,Pos,29,T
high,neg1,Pos,36,T
high,sum_cps,Pos,34,T
high,sigma_sum,Pos,30,T
high,intro2,Pos,29,T
high,repeat4,Pos,29,T
high,hors,Pos,35,T
high,repeat,Pos,32,T
high,intro1,Pos,29,T
high,app-lin-ord3,Pos,45,T
high,hrec,Pos,29,T
high,app-nonrec,Pos,30,T
high,app-lin-ord2,Pos,35,T
high,max,Pos,36,T
high,apply,Pos,33,T
high,twice,Pos,29,T
high,neg2,Pos,30,T
high,exception,Pos,30,T
high,power,Pos,40,T
high,flip_twice_2,Pos,34,T
high,exc-fact,Pos,33,T
high,recursive,Pos,29,T
high,mc91_cps,Pos,34,T
high,exc-simple,Pos,29,T
first,mc91_99,Pos,27,T
first,enc-rev_append-2,Pos,33,T
first,gib2,Pos,36,T
first,enc-zip3,Pos,30,T
first,substring2,Pos,31,T
first,mult,Pos,28,T
first,sum4,Pos,27,T
first,fxx,Pos,27,T
first,map,Pos,26,T
first,enc-zipmap,Pos,31,T
first,lcm,Pos,34,T
first,mc91_98,Pos,27,T
first,enc-zip_map2,Pos,33,T
first,inductive6,Pos,29,T
first,copy_intro,Pos,27,T
first,pldi082_unbounded1,Pos,37,T
first,flow,Pos,30,T
first,inductive2,Pos,35,T
first,inductive1-3,Pos,28,T
first,inductive3,Pos,27,T
first,enc-zip_map,Pos,33,T
first,inductive1-2,Pos,30,T
first,xyz2,Pos,33,T
first,xy10,Pos,28,T
first,01_ic3,Pos,28,T
first,sum,Pos,27,T
first,up_down_stair,Pos,42,T
first,up2,Pos,33,T
first,inductive1-1,Pos,30,T
first,mc91_95,Pos,27,T
first,inductive4,Pos,31,T
first,lock,Pos,33,T
first,mc91,Pos,27,T
first,xyz,Pos,32,T
first,enc-rev_accum,Pos,29,T
first,inductive5,Pos,28,T
first,inductive3-2,Pos,27,T
first,pldi082_unbounded2,Pos,37,T
first,file,Pos,104,T
first,xy4,Pos,30,T
first,sum_intro,Pos,30,T
first,map_map,Pos,27,T
first,xy0,Pos,30,T
first,prog2,Pos,28,T
first,sum3,Pos,27,T
first,fib,Pos,28,T
first,svd,Pos,118,T
first,ack,Pos,31,T
first,enc-zip,Pos,29,T
first,gcd,Pos,32,T
first,enc-zip4,Pos,29,T
first,recHanoi03,Pos,27,T
first,enc-rev_append-1,Pos,32,T
first,sum2,Pos,28,T
first,gib,Pos,36,T
first,seq-len1,Pos,55,T
first,substring1,Pos,30,T
negative,zip00,Neg,56,F
negative,indirectHO01,Neg,145,F
negative,xyz2,Neg,32,F
negative,xy10,Neg,28,F
negative,01_ic3,Neg,28,F
negative,ex23,Neg,29,F
negative,inductive1-1,Neg,28,F
negative,repeat,Neg,28,F
negative,xyz,Neg,33,F
negative,zip_unzip,Neg,39,F
negative,xy4,Neg,32,F
negative,Ackermann00,Neg,64,F
negative,toChurch00,Neg,1725,F
negative,compose,Neg,31,F
negative,up_down01,Neg,152,F
negative,binomial00,Neg,71,F
universe,id,Pos,30,F
universe,idc1,Pos,41,T
universe,sigma_sum,Pos,46,T
universe,repeat4,Pos,37,T
universe,ack00,Pos,67,F
universe,idc2,Pos,34,F
universe,gcd,Pos,36,F
universe,fib_u,Pos,67,T
