subdir,file name,test class,timing (seconds),res (true/false),domain
first,inductive6-2,Pos,0.06,T,Oct
first,mc91_99,Pos,0.17,T,Oct
first,enc-rev_append-2,Pos,0.14,T,Oct
first,gib2,Pos,1.93,T,Oct
first,enc-zip3,Pos,0.75,F,Oct
first,substring2,Pos,1.8,T,Oct
first,half,Pos,1.84,F,Oct
first,mult,Pos,0.58,T,Oct
first,sum4,Pos,0.33,F,Oct
first,fxx,Pos,0.05,T,Oct
first,nested_loop,Pos,2.88,F,Oct
first,map,Pos,0.24,T,Oct
first,enc-zipmap,Pos,0.99,T,Oct
first,mc91_98,Pos,0.12,T,Oct
first,enc-zip_map2,Pos,1.14,T,Oct
first,inductive6,Pos,0.05,T,Oct
first,copy_intro,Pos,0.41,F,Oct
first,pldi082_unbounded1,Pos,1.37,T,Oct
first,inductivea,Pos,1.06,F,Oct
first,eq,Pos,8.0,T,Oct
first,flow,Pos,0.04,T,Oct
first,inductive2,Pos,0.05,T,Oct
first,inductive1-3,Pos,0.47,T,Oct
first,inductive3,Pos,0.05,T,Oct
first,enc-zip_map,Pos,0.63,T,Oct
first,inductive1-2,Pos,0.31,T,Oct
first,gulwani_cegar1,Pos,4.66,T,Oct
first,xyz2,Pos,2.35,F,Oct
first,xy10,Pos,1.32,T,Oct
first,01_ic3,Pos,0.2,T,Oct
first,hanoi,Pos,3.62,F,Oct
first,addition,Pos,0.53,F,Oct
first,sum,Pos,0.32,T,Oct
first,up_down_stair,Pos,2.4,F,Oct
first,up2,Pos,1.75,T,Oct
first,inductive1-1,Pos,0.62,T,Oct
first,mc91_95,Pos,0.11,T,Oct
first,inductive4,Pos,0.36,T,Oct
first,lock,Pos,0.12,T,Oct
first,mc91,Pos,0.17,T,Oct
first,xyz,Pos,2.26,F,Oct
first,enc-rev_accum,Pos,0.54,F,Oct
first,inductive5,Pos,0.06,T,Oct
first,seq-len,Pos,10.03,F,Oct
first,inductive3-2,Pos,0.07,T,Oct
first,pldi082_unbounded2,Pos,0.28,T,Oct
first,file,Pos,1.39,T,Oct
first,xy4,Pos,1.19,F,Oct
first,sum_intro,Pos,0.44,T,Oct
first,odd_even,Pos,0.32,F,Oct
first,is_prime,Pos,0.46,T,Oct
first,for_bounded_loop1,Pos,2.47,F,Oct
first,map_map,Pos,0.19,T,Oct
first,xy0,Pos,0.2,T,Oct
first,prog2,Pos,0.13,T,Oct
first,sum3,Pos,0.33,F,Oct
first,fib,Pos,0.53,T,Oct
first,svd,Pos,15.62,T,Oct
first,ack,Pos,1.74,T,Oct
first,enc-zip,Pos,0.79,F,Oct
first,gcd,Pos,0.46,T,Oct
first,sum6,Pos,0.54,F,Oct
first,enc-zip4,Pos,0.32,T,Oct
first,recHanoi03,Pos,0.37,T,Oct
first,enc-rev_append-1,Pos,0.22,T,Oct
first,sum2,Pos,0.37,T,Oct
first,gib,Pos,1.91,T,Oct
first,mult_twice,Pos,1.62,F,Oct
first,seq-len1,Pos,12.72,F,Oct
first,substring1,Pos,0.88,T,Oct
negative,zip00,Neg,12.82,T,Oct
negative,indirectHO01,Neg,17.68,T,Oct
negative,xyz2,Neg,2.12,T,Oct
negative,xy10,Neg,1.25,T,Oct
negative,01_ic3,Neg,0.1,T,Oct
negative,ex23,Neg,0.23,T,Oct
negative,inductive1-1,Neg,0.66,T,Oct
negative,repeat,Neg,0.42,T,Oct
negative,ack01false,Neg,2.0,T,Oct
negative,xyz,Neg,2.08,T,Oct
negative,zip_unzip,Neg,2.24,T,Oct
negative,xy4,Neg,0.96,T,Oct
negative,compose,Neg,0.13,T,Oct
negative,up_down01,Neg,9.75,T,Oct
negative,binomial00,Neg,3.75,T,Oct
array,a-copy-print,Pos,2.59,T,Oct
array,a-split,Pos,6.79,T,Oct
array,a-dropn,Pos,7.35,T,Oct
