subdir,file name,test class,timing (seconds),res (true/false),domain
first,inductive6-2,Pos,0.04,T,Oct
first,mc91_99,Pos,0.06,F,Oct
first,enc-rev_append-2,Pos,0.08,F,Oct
first,gib2,Pos,0.28,F,Oct
first,enc-zip3,Pos,0.08,F,Oct
first,substring2,Pos,0.71,T,Oct
first,half,Pos,0.28,F,Oct
first,mult,Pos,0.07,T,Oct
first,sum4,Pos,0.04,F,Oct
first,fxx,Pos,0.04,T,Oct
first,nested_loop,Pos,0.82,F,Oct
first,map,Pos,0.04,F,Oct
first,enc-zipmap,Pos,0.16,F,Oct
first,mc91_98,Pos,0.06,F,Oct
first,enc-zip_map2,Pos,0.16,F,Oct
first,inductive6,Pos,0.04,T,Oct
first,copy_intro,Pos,0.05,F,Oct
first,pldi082_unbounded1,Pos,0.26,T,Oct
first,inductivea,Pos,0.13,F,Oct
first,eq,Pos,2.86,T,Oct
first,flow,Pos,0.03,T,Oct
first,inductive2,Pos,0.04,T,Oct
first,inductive1-3,Pos,0.12,T,Oct
first,inductive3,Pos,0.03,T,Oct
first,enc-zip_map,Pos,0.15,F,Oct
first,inductive1-2,Pos,0.16,F,Oct
first,gulwani_cegar1,Pos,1.68,T,Oct
first,xyz2,Pos,0.65,F,Oct
first,xy10,Pos,0.19,T,Oct
first,01_ic3,Pos,0.08,T,Oct
first,hanoi,Pos,0.57,F,Oct
first,addition,Pos,0.15,F,Oct
first,sum,Pos,0.04,T,Oct
first,up_down_stair,Pos,0.71,F,Oct
first,up2,Pos,0.54,F,Oct
first,inductive1-1,Pos,0.12,T,Oct
first,mc91_95,Pos,0.06,F,Oct
first,inductive4,Pos,0.23,F,Oct
first,lock,Pos,0.08,T,Oct
first,mc91,Pos,0.07,F,Oct
first,xyz,Pos,0.63,F,Oct
first,enc-rev_accum,Pos,0.07,F,Oct
first,inductive5,Pos,0.03,T,Oct
first,seq-len,Pos,8.96,F,Oct
first,inductive3-2,Pos,0.04,T,Oct
first,pldi082_unbounded2,Pos,0.19,T,Oct
first,file,Pos,1.37,T,Oct
first,xy4,Pos,0.18,F,Oct
first,sum_intro,Pos,0.07,T,Oct
first,is_prime,Pos,0.35,T,Oct
first,for_bounded_loop1,Pos,0.43,F,Oct
first,map_map,Pos,0.05,T,Oct
first,xy0,Pos,0.09,T,Oct
first,prog2,Pos,0.05,T,Oct
first,sum3,Pos,0.04,F,Oct
first,fib,Pos,0.04,F,Oct
first,svd,Pos,15.24,T,Oct
first,ack,Pos,0.33,F,Oct
first,enc-zip,Pos,0.09,F,Oct
first,gcd,Pos,0.3,F,Oct
first,sum6,Pos,0.05,F,Oct
first,enc-zip4,Pos,0.1,F,Oct
first,recHanoi03,Pos,0.04,F,Oct
first,enc-rev_append-1,Pos,0.11,F,Oct
first,sum2,Pos,0.04,F,Oct
first,gib,Pos,0.3,F,Oct
first,mult_twice,Pos,0.16,F,Oct
first,seq-len1,Pos,6.21,F,Oct
first,substring1,Pos,0.68,T,Oct
negative,zip00,Neg,12.12,T,Oct
negative,indirectHO01,Neg,19.55,T,Oct
negative,xyz2,Neg,0.47,T,Oct
negative,xy10,Neg,0.22,T,Oct
negative,01_ic3,Neg,0.06,T,Oct
negative,ex23,Neg,0.25,T,Oct
negative,inductive1-1,Neg,0.25,T,Oct
negative,repeat,Neg,0.13,T,Oct
negative,ack01false,Neg,0.3,T,Oct
negative,xyz,Neg,0.45,T,Oct
negative,zip_unzip,Neg,0.43,T,Oct
negative,xy4,Neg,0.14,T,Oct
negative,compose,Neg,0.09,T,Oct
negative,up_down01,Neg,9.15,T,Oct
negative,binomial00,Neg,4.17,T,Oct
high,map_2,Pos,0.41,F,Oct
high,flip_twice_1,Pos,2.05,F,Oct
high,fact_exn,Pos,0.1,T,Oct
high,inc,Pos,0.37,T,Oct
high,intro3,Pos,0.05,T,Oct
high,neg1,Pos,0.28,F,Oct
high,repeat_order,Pos,0.17,F,Oct
high,intro-ord2,Pos,0.2,T,Oct
high,foldr,Pos,1.3,T,Oct
