subdir,file name,test class,timing (seconds),res (true/false),domain
first,inductive6-2,Pos,0.09,T,Polka_st
first,mc91_99,Pos,timeout,ER,Polka_st
first,enc-rev_append-2,Pos,0.23,T,Polka_st
first,gib2,Pos,0.94,F,Polka_st
first,enc-zip3,Pos,1.32,T,Polka_st
first,substring2,Pos,1.68,T,Polka_st
first,half,Pos,0.63,F,Polka_st
first,mult,Pos,0.77,T,Polka_st
first,sum4,Pos,0.63,F,Polka_st
first,fxx,Pos,0.06,T,Polka_st
first,nested_loop,Pos,2.43,T,Polka_st
first,map,Pos,0.48,T,Polka_st
first,enc-zipmap,Pos,1.7,T,Polka_st
first,mc91_98,Pos,timeout,ER,Polka_st
first,enc-zip_map2,Pos,1.79,T,Polka_st
first,inductive6,Pos,0.05,T,Polka_st
first,copy_intro,Pos,0.66,T,Polka_st
first,pldi082_unbounded1,Pos,0.76,T,Polka_st
first,inductivea,Pos,3.16,T,Polka_st
first,eq,Pos,4.59,T,Polka_st
first,flow,Pos,0.03,T,Polka_st
first,inductive2,Pos,0.05,T,Polka_st
first,inductive1-3,Pos,0.74,T,Polka_st
first,inductive3,Pos,0.06,T,Polka_st
first,enc-zip_map,Pos,1.02,T,Polka_st
first,inductive1-2,Pos,0.46,F,Polka_st
first,gulwani_cegar1,Pos,3.77,T,Polka_st
first,xyz2,Pos,2.99,T,Polka_st
first,xy10,Pos,0.6,T,Polka_st
first,01_ic3,Pos,0.33,T,Polka_st
first,hanoi,Pos,1.88,F,Polka_st
first,addition,Pos,0.5,T,Polka_st
first,sum,Pos,0.55,T,Polka_st
first,up_down_stair,Pos,2.8,T,Polka_st
first,up2,Pos,1.55,F,Polka_st
first,inductive1-1,Pos,0.95,T,Polka_st
first,mc91_95,Pos,0.22,T,Polka_st
first,inductive4,Pos,0.52,T,Polka_st
first,lock,Pos,0.17,T,Polka_st
first,mc91,Pos,timeout,ER,Polka_st
first,xyz,Pos,3.02,T,Polka_st
first,enc-rev_accum,Pos,1.01,T,Polka_st
first,inductive5,Pos,0.08,T,Polka_st
first,seq-len,Pos,11.15,F,Polka_st
first,inductive3-2,Pos,0.09,T,Polka_st
first,pldi082_unbounded2,Pos,0.47,T,Polka_st
first,file,Pos,1.79,T,Polka_st
first,xy4,Pos,0.64,T,Polka_st
first,sum_intro,Pos,0.71,T,Polka_st
first,odd_even,Pos,0.71,F,Polka_st
first,is_prime,Pos,0.77,T,Polka_st
first,for_bounded_loop1,Pos,1.18,T,Polka_st
first,map_map,Pos,0.31,T,Polka_st
first,xy0,Pos,0.39,T,Polka_st
first,prog2,Pos,0.28,T,Polka_st
first,sum3,Pos,0.69,F,Polka_st
first,fib,Pos,timeout,F,Polka_st
first,svd,Pos,28.86,T,Polka_st
first,ack,Pos,1.49,F,Polka_st
first,enc-zip,Pos,1.67,F,Polka_st
first,gcd,Pos,1.06,F,Polka_st
first,sum6,Pos,0.3,T,Polka_st
first,enc-zip4,Pos,0.57,T,Polka_st
first,recHanoi03,Pos,timeout,F,Polka_st
first,enc-rev_append-1,Pos,0.36,T,Polka_st
first,sum2,Pos,0.5,T,Polka_st
first,gib,Pos,1.05,F,Polka_st
first,mult_twice,Pos,0.68,F,Polka_st
first,seq-len1,Pos,9.57,F,Polka_st
first,substring1,Pos,1.95,T,Polka_st
high,map_2,Pos,1.86,T,Polka_st
high,flip_twice_1,Pos,1.08,T,Polka_st
high,fact_exn,Pos,1.23,T,Polka_st
high,inc,Pos,0.91,T,Polka_st
high,intro3,Pos,0.1,T,Polka_st
high,neg1,Pos,0.4,F,Polka_st
high,repeat_order,Pos,0.32,T,Polka_st
high,intro-ord2,Pos,0.44,T,Polka_st
high,foldr,Pos,4.81,T,Polka_st
high,sum_cps,Pos,1.08,F,Polka_st
high,sigma_sum,Pos,1.08,F,Polka_st
high,apply_twice,Pos,0.29,T,Polka_st
high,intro-ord3,Pos,2.96,T,Polka_st
high,intro2,Pos,0.08,T,Polka_st
high,repeat4,Pos,0.79,T,Polka_st
high,hors,Pos,1.19,T,Polka_st
high,repeat,Pos,1.15,T,Polka_st
high,intro1,Pos,0.08,T,Polka_st
high,app-lin-ord3,Pos,0.62,T,Polka_st
high,foldl,Pos,5.41,T,Polka_st
high,hrec,Pos,1.44,T,Polka_st
high,app-nonrec,Pos,0.11,T,Polka_st
high,app-lin-ord2,Pos,0.2,T,Polka_st
high,max,Pos,0.41,T,Polka_st
high,apply,Pos,1.06,T,Polka_st
high,twice,Pos,0.1,T,Polka_st
high,neg2,Pos,0.34,T,Polka_st
high,exception,Pos,0.08,T,Polka_st
high,power,Pos,2.36,T,Polka_st
high,mixed_id,Pos,0.22,T,Polka_st
high,app-succ,Pos,2.01,T,Polka_st
high,call_back,Pos,0.19,T,Polka_st
high,flip_twice_2,Pos,1.0,F,Polka_st
high,exc-fact,Pos,1.33,T,Polka_st
high,multi_compose,Pos,1.56,T,Polka_st
high,recursive,Pos,0.18,T,Polka_st
high,mc91_cps,Pos,timeout,ER,Polka_st
high,exc-simple,Pos,0.06,T,Polka_st
array,a-copy-print,Pos,2.14,T,Polka_st
array,a-split,Pos,4.74,T,Polka_st
array,a-dropn,Pos,7.82,T,Polka_st
array,a-sub,Pos,4.22,T,Polka_st
array,bcopy,Pos,2.06,F,Polka_st
array,a-init1,Pos,0.96,F,Polka_st
array,a-map,Pos,1.94,F,Polka_st
array,a-iter,Pos,0.81,T,Polka_st
array,a-dotprod,Pos,1.76,T,Polka_st
array,a-reverse,Pos,0.93,T,Polka_st
array,a-mapi,Pos,2.21,F,Polka_st
array,a-init2,Pos,0.68,F,Polka_st
array,a-append,Pos,3.69,F,Polka_st
negative,zip00,Neg,9.05,T,Polka_st
negative,indirectHO01,Neg,22.47,T,Polka_st
negative,xyz2,Neg,2.63,T,Polka_st
negative,xy10,Neg,0.4,T,Polka_st
negative,01_ic3,Neg,0.13,T,Polka_st
negative,ex23,Neg,0.38,T,Polka_st
negative,inductive1-1,Neg,0.65,T,Polka_st
negative,repeat,Neg,0.6,T,Polka_st
negative,ack01false,Neg,1.75,T,Polka_st
negative,xyz,Neg,2.59,T,Polka_st
negative,zip_unzip,Neg,1.46,T,Polka_st
negative,xy4,Neg,0.48,T,Polka_st
negative,compose,Neg,0.2,T,Polka_st
negative,up_down01,Neg,6.06,T,Polka_st
negative,binomial00,Neg,4.55,T,Polka_st
