subdir,file name,test class,timing (seconds),res (true/false),domain
first,inductive6-2,Pos,0.14,T,Ppl_st
first,mc91_99,Pos,0.42,F,Ppl_st
first,enc-rev_append-2,Pos,0.52,T,Ppl_st
first,gib2,Pos,2.33,F,Ppl_st
first,enc-zip3,Pos,0.5,T,Ppl_st
first,substring2,Pos,5.11,T,Ppl_st
first,half,Pos,2.63,F,Ppl_st
first,mult,Pos,0.42,T,Ppl_st
first,sum4,Pos,0.2,F,Ppl_st
first,fxx,Pos,0.09,T,Ppl_st
first,nested_loop,Pos,5.28,T,Ppl_st
first,map,Pos,0.18,T,Ppl_st
first,enc-zipmap,Pos,1.05,F,Ppl_st
first,mc91_98,Pos,0.4,F,Ppl_st
first,enc-zip_map2,Pos,1.16,T,Ppl_st
first,inductive6,Pos,0.12,T,Ppl_st
first,copy_intro,Pos,0.29,T,Ppl_st
first,pldi082_unbounded1,Pos,2.24,T,Ppl_st
first,inductivea,Pos,0.82,T,Ppl_st
first,eq,Pos,18.01,T,Ppl_st
first,flow,Pos,0.04,T,Ppl_st
first,inductive2,Pos,0.09,T,Ppl_st
first,inductive1-3,Pos,0.69,T,Ppl_st
first,inductive3,Pos,0.11,T,Ppl_st
first,enc-zip_map,Pos,1.06,T,Ppl_st
first,inductive1-2,Pos,1.4,F,Ppl_st
first,gulwani_cegar1,Pos,11.59,T,Ppl_st
first,xyz2,Pos,3.78,T,Ppl_st
first,xy10,Pos,1.36,T,Ppl_st
first,01_ic3,Pos,0.37,T,Ppl_st
first,hanoi,Pos,4.84,F,Ppl_st
first,addition,Pos,1.06,T,Ppl_st
first,sum,Pos,0.18,T,Ppl_st
first,up_down_stair,Pos,5.2,T,Ppl_st
first,up2,Pos,4.14,F,Ppl_st
first,inductive1-1,Pos,0.61,T,Ppl_st
first,mc91_95,Pos,0.42,F,Ppl_st
first,inductive4,Pos,1.19,F,Ppl_st
first,lock,Pos,0.4,T,Ppl_st
first,mc91,Pos,0.4,F,Ppl_st
first,xyz,Pos,4.05,F,Ppl_st
first,enc-rev_accum,Pos,0.4,T,Ppl_st
first,inductive5,Pos,0.14,T,Ppl_st
first,seq-len,Pos,48.83,F,Ppl_st
first,inductive3-2,Pos,0.19,T,Ppl_st
first,pldi082_unbounded2,Pos,1.19,T,Ppl_st
first,file,Pos,6.12,T,Ppl_st
first,xy4,Pos,1.17,F,Ppl_st
first,sum_intro,Pos,0.41,T,Ppl_st
first,is_prime,Pos,1.95,T,Ppl_st
first,for_bounded_loop1,Pos,3.35,T,Ppl_st
first,map_map,Pos,0.31,T,Ppl_st
first,xy0,Pos,0.51,T,Ppl_st
first,prog2,Pos,0.27,T,Ppl_st
first,sum3,Pos,0.19,F,Ppl_st
first,fib,Pos,0.29,T,Ppl_st
first,svd,Pos,91.8,T,Ppl_st
first,ack,Pos,2.37,F,Ppl_st
first,enc-zip,Pos,0.53,F,Ppl_st
first,gcd,Pos,2.43,F,Ppl_st
first,sum6,Pos,0.18,F,Ppl_st
first,enc-zip4,Pos,0.56,F,Ppl_st
first,recHanoi03,Pos,0.2,T,Ppl_st
first,enc-rev_append-1,Pos,0.67,T,Ppl_st
first,sum2,Pos,0.2,T,Ppl_st
first,gib,Pos,2.15,F,Ppl_st
first,mult_twice,Pos,1.47,F,Ppl_st
first,seq-len1,Pos,35.34,F,Ppl_st
first,substring1,Pos,4.51,T,Ppl_st
high,map_2,Pos,2.9,T,Ppl_st
high,flip_twice_1,Pos,11.0,F,Ppl_st
high,fact_exn,Pos,0.42,T,Ppl_st
high,inc,Pos,2.5,T,Ppl_st
high,intro3,Pos,0.19,T,Ppl_st
high,neg1,Pos,0.88,F,Ppl_st
high,repeat_order,Pos,0.94,T,Ppl_st
high,intro-ord2,Pos,1.13,T,Ppl_st
high,foldr,Pos,5.93,T,Ppl_st
high,sum_cps,Pos,0.72,F,Ppl_st
high,sigma_sum,Pos,0.53,F,Ppl_st
high,apply_twice,Pos,1.22,F,Ppl_st
high,intro-ord3,Pos,4.29,T,Ppl_st
high,intro2,Pos,0.15,T,Ppl_st
high,repeat4,Pos,0.48,T,Ppl_st
high,hors,Pos,1.37,T,Ppl_st
