subdir,file name,test class,timing (seconds),res (true/false),domain
high,map_2,Pos,4.21,T,Polka_gd
high,flip_twice_1,Pos,8.05,T,Polka_gd
high,fact_exn,Pos,0.76,T,Polka_gd
high,inc,Pos,7.19,T,Polka_gd
high,intro3,Pos,0.42,T,Polka_gd
high,neg1,Pos,2.13,F,Polka_gd
high,repeat_order,Pos,2.44,T,Polka_gd
high,intro-ord2,Pos,2.81,T,Polka_gd
high,foldr,Pos,14.62,T,Polka_gd
high,sum_cps,Pos,1.65,F,Polka_gd
high,sigma_sum,Pos,1.0,F,Polka_gd
high,apply_twice,Pos,1.59,T,Polka_gd
high,intro-ord3,Pos,12.7,T,Polka_gd
high,intro2,Pos,0.26,T,Polka_gd
high,repeat4,Pos,1.3,T,Polka_gd
high,hors,Pos,3.57,T,Polka_gd
high,repeat,Pos,2.55,T,Polka_gd
high,intro1,Pos,0.29,T,Polka_gd
high,app-lin-ord3,Pos,4.27,T,Polka_gd
high,foldl,Pos,19.45,T,Polka_gd
high,hrec,Pos,4.16,T,Polka_gd
high,app-nonrec,Pos,0.56,T,Polka_gd
high,app-lin-ord2,Pos,1.13,T,Polka_gd
high,max,Pos,4.56,T,Polka_gd
high,apply,Pos,1.51,T,Polka_gd
high,twice,Pos,0.36,T,Polka_gd
high,neg2,Pos,2.89,T,Polka_gd
high,exception,Pos,0.28,T,Polka_gd
high,power,Pos,6.28,T,Polka_gd
high,mixed_id,Pos,1.56,T,Polka_gd
high,app-succ,Pos,16.87,T,Polka_gd
high,call_back,Pos,1.29,T,Polka_gd
high,flip_twice_2,Pos,9.45,F,Polka_gd
high,exc-fact,Pos,0.83,T,Polka_gd
high,multi_compose,Pos,14.82,T,Polka_gd
high,recursive,Pos,0.87,T,Polka_gd
high,mc91_cps,Pos,5.43,T,Polka_gd
high,exc-simple,Pos,0.17,T,Polka_gd
array,a-copy-print,Pos,20.81,T,Polka_gd
array,a-split,Pos,54.58,T,Polka_gd
array,a-dropn,Pos,timeout,ER,Polka_gd
array,a-sub,Pos,44.25,T,Polka_gd
array,bcopy,Pos,15.96,F,Polka_gd
array,a-init1,Pos,7.84,F,Polka_gd
array,a-map,Pos,19.16,F,Polka_gd
array,a-iter,Pos,5.9,T,Polka_gd
array,a-dotprod,Pos,20.89,T,Polka_gd
array,a-reverse,Pos,9.33,T,Polka_gd
array,a-mapi,Pos,23.83,F,Polka_gd
