subdir,file name,test class,timing (seconds),res (true/false),domain
first,inductive6-2,Pos,0.16,T,Ppl_st
first,mc91_99,Pos,0.48,F,Ppl_st
first,enc-rev_append-2,Pos,0.57,T,Ppl_st
first,gib2,Pos,2.44,F,Ppl_st
first,enc-zip3,Pos,0.58,T,Ppl_st
first,substring2,Pos,4.48,T,Ppl_st
first,half,Pos,2.62,F,Ppl_st
first,mult,Pos,0.47,T,Ppl_st
first,sum4,Pos,0.21,F,Ppl_st
first,fxx,Pos,0.1,T,Ppl_st
first,nested_loop,Pos,5.47,T,Ppl_st
first,map,Pos,0.19,T,Ppl_st
first,enc-zipmap,Pos,1.08,F,Ppl_st
first,mc91_98,Pos,0.46,F,Ppl_st
first,enc-zip_map2,Pos,1.16,T,Ppl_st
first,inductive6,Pos,0.12,T,Ppl_st
first,copy_intro,Pos,0.29,T,Ppl_st
first,pldi082_unbounded1,Pos,2.14,T,Ppl_st
first,inductivea,Pos,0.78,T,Ppl_st
first,eq,Pos,18.88,T,Ppl_st
first,flow,Pos,0.04,T,Ppl_st
first,inductive2,Pos,0.1,T,Ppl_st
first,inductive1-3,Pos,0.63,T,Ppl_st
first,inductive3,Pos,0.12,T,Ppl_st
first,enc-zip_map,Pos,1.1,T,Ppl_st
first,inductive1-2,Pos,1.43,F,Ppl_st
first,gulwani_cegar1,Pos,11.32,T,Ppl_st
first,xyz2,Pos,3.68,T,Ppl_st
first,xy10,Pos,1.48,T,Ppl_st
first,01_ic3,Pos,0.36,T,Ppl_st
first,hanoi,Pos,4.67,F,Ppl_st
first,addition,Pos,1.03,T,Ppl_st
first,sum,Pos,0.18,T,Ppl_st
first,up_down_stair,Pos,4.89,T,Ppl_st
first,up2,Pos,3.93,F,Ppl_st
first,inductive1-1,Pos,0.68,T,Ppl_st
first,mc91_95,Pos,0.49,F,Ppl_st
first,inductive4,Pos,1.32,F,Ppl_st
first,lock,Pos,0.34,T,Ppl_st
first,mc91,Pos,0.46,F,Ppl_st
first,xyz,Pos,3.79,F,Ppl_st
first,enc-rev_accum,Pos,0.44,T,Ppl_st
first,inductive5,Pos,0.15,T,Ppl_st
first,seq-len,Pos,52.55,F,Ppl_st
first,inductive3-2,Pos,0.2,T,Ppl_st
first,pldi082_unbounded2,Pos,1.17,T,Ppl_st
first,file,Pos,6.07,T,Ppl_st
first,xy4,Pos,1.12,F,Ppl_st
first,sum_intro,Pos,0.4,T,Ppl_st
first,is_prime,Pos,1.88,T,Ppl_st
first,for_bounded_loop1,Pos,2.94,T,Ppl_st
first,map_map,Pos,0.32,T,Ppl_st
first,xy0,Pos,0.47,T,Ppl_st
first,prog2,Pos,0.27,T,Ppl_st
first,sum3,Pos,0.2,F,Ppl_st
first,fib,Pos,0.32,T,Ppl_st
first,svd,Pos,97.0,T,Ppl_st
first,ack,Pos,2.57,F,Ppl_st
first,enc-zip,Pos,0.61,F,Ppl_st
first,gcd,Pos,2.6,F,Ppl_st
first,sum6,Pos,0.22,F,Ppl_st
first,enc-zip4,Pos,0.58,F,Ppl_st
first,recHanoi03,Pos,0.21,T,Ppl_st
first,enc-rev_append-1,Pos,0.72,T,Ppl_st
first,sum2,Pos,0.23,T,Ppl_st
first,gib,Pos,2.36,F,Ppl_st
first,mult_twice,Pos,1.35,F,Ppl_st
first,seq-len1,Pos,34.93,F,Ppl_st
first,substring1,Pos,4.51,T,Ppl_st
high,map_2,Pos,2.92,T,Ppl_st
high,flip_twice_1,Pos,11.54,F,Ppl_st
high,fact_exn,Pos,0.55,T,Ppl_st
high,inc,Pos,2.83,T,Ppl_st
high,intro3,Pos,0.23,T,Ppl_st
high,neg1,Pos,1.01,F,Ppl_st
high,repeat_order,Pos,0.93,T,Ppl_st
high,intro-ord2,Pos,1.08,T,Ppl_st
high,foldr,Pos,6.44,T,Ppl_st
high,sum_cps,Pos,0.82,F,Ppl_st
high,sigma_sum,Pos,0.62,F,Ppl_st
high,apply_twice,Pos,1.27,F,Ppl_st
high,intro-ord3,Pos,4.31,T,Ppl_st
high,intro2,Pos,0.18,T,Ppl_st
high,repeat4,Pos,0.55,T,Ppl_st
high,hors,Pos,1.51,T,Ppl_st
high,repeat,Pos,0.98,T,Ppl_st
high,intro1,Pos,0.18,T,Ppl_st
high,app-lin-ord3,Pos,1.54,T,Ppl_st
high,foldl,Pos,4.87,T,Ppl_st
high,hrec,Pos,1.59,T,Ppl_st
high,app-nonrec,Pos,0.2,T,Ppl_st
high,app-lin-ord2,Pos,0.46,T,Ppl_st
high,max,Pos,1.55,T,Ppl_st
high,apply,Pos,0.82,T,Ppl_st
high,twice,Pos,0.21,T,Ppl_st
high,neg2,Pos,1.18,T,Ppl_st
high,exception,Pos,0.16,T,Ppl_st
high,power,Pos,3.06,T,Ppl_st
high,mixed_id,Pos,0.69,T,Ppl_st
high,app-succ,Pos,5.56,T,Ppl_st
high,call_back,Pos,1.01,T,Ppl_st
high,flip_twice_2,Pos,3.56,F,Ppl_st
high,exc-fact,Pos,0.56,T,Ppl_st
high,multi_compose,Pos,6.38,T,Ppl_st
high,recursive,Pos,0.43,T,Ppl_st
high,mc91_cps,Pos,2.29,T,Ppl_st
high,exc-simple,Pos,0.12,T,Ppl_st
negative,zip00,Neg,66.98,T,Ppl_st
negative,indirectHO01,Neg,82.7,T,Ppl_st
negative,xyz2,Neg,2.88,T,Ppl_st
negative,xy10,Neg,1.39,T,Ppl_st
negative,01_ic3,Neg,0.28,T,Ppl_st
negative,ex23,Neg,1.12,T,Ppl_st
negative,inductive1-1,Neg,1.32,T,Ppl_st
negative,repeat,Neg,0.72,T,Ppl_st
negative,ack01false,Neg,2.19,T,Ppl_st
negative,xyz,Neg,2.39,T,Ppl_st
negative,zip_unzip,Neg,2.01,T,Ppl_st
negative,xy4,Neg,0.84,T,Ppl_st
negative,compose,Neg,0.43,T,Ppl_st
negative,up_down01,Neg,33.85,T,Ppl_st
negative,binomial00,Neg,19.01,T,Ppl_st
array,a-copy-print,Pos,4.48,T,Ppl_st
array,a-split,Pos,8.45,T,Ppl_st
array,a-dropn,Pos,29.8,T,Ppl_st
array,a-sub,Pos,8.12,T,Ppl_st
array,bcopy,Pos,3.19,T,Ppl_st
array,a-init1,Pos,1.59,F,Ppl_st
array,a-map,Pos,4.52,T,Ppl_st
array,a-iter,Pos,1.45,T,Ppl_st
array,a-dotprod,Pos,4.63,T,Ppl_st
array,a-reverse,Pos,1.81,T,Ppl_st
array,a-mapi,Pos,5.6,T,Ppl_st
array,a-init2,Pos,1.13,F,Ppl_st
array,a-append,Pos,6.96,T,Ppl_st
