subdir,file name,test class,timing (seconds),res (true/false),domain
negative,zip00,Neg,15.3,T,Oct
negative,indirectHO01,Neg,15.07,T,Oct
negative,xyz2,Neg,2.66,T,Oct
negative,xy10,Neg,1.32,T,Oct
negative,01_ic3,Neg,0.13,T,Oct
negative,ex23,Neg,0.17,T,Oct
negative,inductive1-1,Neg,1.53,T,Oct
negative,repeat,Neg,0.67,T,Oct
negative,xyz,Neg,2.54,T,Oct
negative,zip_unzip,Neg,1.66,T,Oct
negative,xy4,Neg,1.24,T,Oct
negative,Ackermann00,Neg,22.23,T,Oct
negative,compose,Neg,0.09,T,Oct
negative,up_down01,Neg,11.03,T,Oct
negative,binomial00,Neg,3.11,T,Oct
first,inductive6-2,Pos,0.09,T,Oct
first,mc91_99,Pos,0.77,T,Oct
first,enc-rev_append-2,Pos,1.69,F,Oct
first,gib2,Pos,3.97,T,Oct
first,enc-zip3,Pos,1.06,T,Oct
first,substring2,Pos,1.89,T,Oct
first,mult,Pos,0.89,T,Oct
first,sum4,Pos,0.53,F,Oct
first,fxx,Pos,0.05,T,Oct
first,map,Pos,0.55,T,Oct
first,enc-zipmap,Pos,1.64,T,Oct
first,lcm,Pos,0.36,F,Oct
first,mc91_98,Pos,0.78,T,Oct
first,enc-zip_map2,Pos,1.64,T,Oct
first,inductive6,Pos,0.06,T,Oct
first,copy_intro,Pos,0.65,T,Oct
first,pldi082_unbounded1,Pos,2.3,T,Oct
first,flow,Pos,0.04,T,Oct
first,inductive2,Pos,0.05,T,Oct
first,inductive1-3,Pos,1.62,T,Oct
first,inductive3,Pos,0.05,T,Oct
first,enc-zip_map,Pos,1.51,T,Oct
first,inductive1-2,Pos,1.65,T,Oct
first,gulwani_cegar1,Pos,2.88,T,Oct
first,xyz2,Pos,2.62,F,Oct
first,xy10,Pos,1.43,T,Oct
first,01_ic3,Pos,0.27,T,Oct
first,sum,Pos,0.48,T,Oct
first,up_down_stair,Pos,3.87,T,Oct
first,up2,Pos,2.95,T,Oct
first,inductive1-1,Pos,1.56,T,Oct
first,mc91_95,Pos,0.74,T,Oct
first,inductive4,Pos,1.4,T,Oct
first,lock,Pos,0.16,F,Oct
first,mc91,Pos,0.8,T,Oct
first,xyz,Pos,2.79,F,Oct
first,enc-rev_accum,Pos,0.88,F,Oct
first,inductive5,Pos,0.09,T,Oct
first,seq-len,Pos,10.12,F,Oct
first,inductive3-2,Pos,0.06,T,Oct
first,pldi082_unbounded2,Pos,0.22,T,Oct
first,file,Pos,3.62,T,Oct
first,xy4,Pos,1.44,F,Oct
first,sum_intro,Pos,0.67,T,Oct
first,map_map,Pos,0.72,T,Oct
first,xy0,Pos,0.73,T,Oct
first,prog2,Pos,0.24,T,Oct
first,sum3,Pos,0.53,F,Oct
first,fib,Pos,0.77,T,Oct
first,svd,Pos,29.6,T,Oct
first,ack,Pos,3.12,T,Oct
first,enc-zip,Pos,1.25,T,Oct
first,gcd,Pos,0.32,T,Oct
first,enc-zip4,Pos,1.33,T,Oct
first,recHanoi03,Pos,0.43,T,Oct
first,enc-rev_append-1,Pos,1.35,T,Oct
first,sum2,Pos,0.53,F,Oct
first,gib,Pos,4.09,T,Oct
first,seq-len1,Pos,10.64,T,Oct
first,substring1,Pos,1.59,T,Oct
high,map_2,Pos,1.52,F,Oct
high,flip_twice_1,Pos,0.6,F,Oct
high,fact_exn,Pos,1.23,T,Oct
high,inc,Pos,2.49,T,Oct
high,intro3,Pos,0.09,T,Oct
high,neg1,Pos,0.2,T,Oct
high,repeat_order,Pos,0.95,T,Oct
high,intro-ord2,Pos,2.02,T,Oct
high,foldr,Pos,3.1,T,Oct
high,sum_cps,Pos,1.65,T,Oct
high,sigma_sum,Pos,0.98,T,Oct
high,apply_twice,Pos,0.09,T,Oct
high,intro-ord3,Pos,4.04,T,Oct
high,intro2,Pos,0.07,T,Oct
high,repeat4,Pos,0.66,T,Oct
high,hors,Pos,1.33,T,Oct
high,repeat,Pos,0.95,T,Oct
high,intro1,Pos,0.07,T,Oct
high,app-lin-ord3,Pos,0.44,F,Oct
high,foldl,Pos,2.55,T,Oct
high,hrec,Pos,1.31,T,Oct
high,app-nonrec,Pos,0.09,T,Oct
high,app-lin-ord2,Pos,0.15,F,Oct
high,max,Pos,0.39,T,Oct
high,apply,Pos,1.09,T,Oct
high,twice,Pos,0.09,T,Oct
high,neg2,Pos,0.12,F,Oct
high,exception,Pos,0.07,T,Oct
high,power,Pos,1.48,T,Oct
high,mixed_id,Pos,0.08,T,Oct
high,app-succ,Pos,3.21,T,Oct
high,call_back,Pos,0.08,F,Oct
high,flip_twice_2,Pos,0.23,F,Oct
high,exc-fact,Pos,1.28,T,Oct
high,multi_compose,Pos,0.29,F,Oct
high,recursive,Pos,1.25,T,Oct
high,mc91_cps,Pos,1.83,T,Oct
high,exc-simple,Pos,0.07,T,Oct
array,a-copy-print,Pos,3.7,T,Oct
array,a-split,Pos,7.48,F,Oct
array,a-dropn,Pos,10.73,T,Oct
array,a-sub,Pos,5.69,F,Oct
array,bcopy,Pos,3.81,T,Oct
array,a-init1,Pos,3.6,F,Oct
array,a-map,Pos,2.14,T,Oct
array,a-iter,Pos,1.24,T,Oct
array,a-dotprod,Pos,4.2,T,Oct
array,a-reverse,Pos,1.6,T,Oct
array,a-mapi,Pos,2.22,T,Oct
array,a-init2,Pos,1.85,F,Oct
array,a-append,Pos,4.38,F,Oct
