subdir,file name,test class,timing (seconds),res (true/false),domain
negative,zip00,Neg,41.19,T,Polka_st
negative,indirectHO01,Neg,37.45,T,Polka_st
negative,xyz2,Neg,4.54,T,Polka_st
negative,xy10,Neg,3.7,T,Polka_st
negative,01_ic3,Neg,0.35,T,Polka_st
negative,ex23,Neg,0.52,T,Polka_st
negative,inductive1-1,Neg,5.68,T,Polka_st
negative,repeat,Neg,2.33,T,Polka_st
negative,xyz,Neg,4.49,T,Polka_st
negative,zip_unzip,Neg,3.91,T,Polka_st
negative,xy4,Neg,1.21,T,Polka_st
negative,Ackermann00,Neg,65.8,T,Polka_st
negative,compose,Neg,0.26,T,Polka_st
negative,up_down01,Neg,22.94,T,Polka_st
negative,binomial00,Neg,9.19,T,Polka_st
array,a-copy-print,Pos,4.39,T,Polka_st
array,a-split,Pos,12.16,T,Polka_st
array,a-dropn,Pos,32.7,T,Polka_st
array,a-sub,Pos,12.57,T,Polka_st
array,bcopy,Pos,4.11,T,Polka_st
array,a-init1,Pos,2.38,F,Polka_st
array,a-map,Pos,8.07,T,Polka_st
array,a-iter,Pos,4.99,T,Polka_st
array,a-dotprod,Pos,5.21,T,Polka_st
array,a-reverse,Pos,7.54,T,Polka_st
array,a-mapi,Pos,8.2,T,Polka_st
array,a-init2,Pos,8.57,F,Polka_st
array,a-append,Pos,7.29,T,Polka_st
first,inductive6-2,Pos,0.22,T,Polka_st
first,mc91_99,Pos,0.73,F,Polka_st
first,enc-rev_append-2,Pos,1.28,T,Polka_st
first,gib2,Pos,3.14,T,Polka_st
first,enc-zip3,Pos,1.31,T,Polka_st
first,substring2,Pos,2.25,T,Polka_st
first,mult,Pos,0.74,T,Polka_st
first,sum4,Pos,0.35,F,Polka_st
first,fxx,Pos,0.12,T,Polka_st
first,map,Pos,3.19,T,Polka_st
first,enc-zipmap,Pos,1.98,T,Polka_st
first,lcm,Pos,2.08,F,Polka_st
first,mc91_98,Pos,0.75,F,Polka_st
first,enc-zip_map2,Pos,2.04,T,Polka_st
first,inductive6,Pos,0.13,T,Polka_st
first,copy_intro,Pos,3.9,T,Polka_st
first,pldi082_unbounded1,Pos,1.11,T,Polka_st
first,flow,Pos,0.08,T,Polka_st
first,inductive2,Pos,0.1,T,Polka_st
first,inductive1-3,Pos,7.82,T,Polka_st
first,inductive3,Pos,0.14,T,Polka_st
first,enc-zip_map,Pos,1.95,T,Polka_st
