subdir,file name,test class,timing (seconds),res (true/false),domain
first,inductive6-2,Pos,0.25,T,Ppl_st
first,mc91_99,Pos,0.6,F,Ppl_st
first,enc-rev_append-2,Pos,0.77,T,Ppl_st
first,gib2,Pos,3.23,T,Ppl_st
first,enc-zip3,Pos,0.57,T,Ppl_st
first,substring2,Pos,2.49,T,Ppl_st
first,mult,Pos,0.56,T,Ppl_st
first,sum4,Pos,0.28,F,Ppl_st
first,fxx,Pos,0.13,T,Ppl_st
first,map,Pos,0.24,T,Ppl_st
first,enc-zipmap,Pos,1.1,T,Ppl_st
first,lcm,Pos,2.76,F,Ppl_st
first,mc91_98,Pos,0.59,F,Ppl_st
first,enc-zip_map2,Pos,1.11,T,Ppl_st
first,inductive6,Pos,0.13,T,Ppl_st
first,copy_intro,Pos,0.36,T,Ppl_st
first,pldi082_unbounded1,Pos,1.47,T,Ppl_st
first,flow,Pos,0.06,T,Ppl_st
first,inductive2,Pos,0.1,T,Ppl_st
first,inductive1-3,Pos,0.66,T,Ppl_st
first,inductive3,Pos,0.17,T,Ppl_st
first,enc-zip_map,Pos,1.06,T,Ppl_st
first,inductive1-2,Pos,1.58,F,Ppl_st
first,gulwani_cegar1,Pos,4.12,T,Ppl_st
first,xyz2,Pos,4.23,T,Ppl_st
first,xy10,Pos,1.3,T,Ppl_st
first,01_ic3,Pos,0.77,T,Ppl_st
first,sum,Pos,0.27,T,Ppl_st
first,up_down_stair,Pos,4.97,T,Ppl_st
first,up2,Pos,3.43,T,Ppl_st
first,inductive1-1,Pos,0.67,T,Ppl_st
first,mc91_95,Pos,0.57,F,Ppl_st
first,inductive4,Pos,1.85,F,Ppl_st
first,lock,Pos,0.66,F,Ppl_st
first,mc91,Pos,0.75,F,Ppl_st
first,xyz,Pos,4.46,F,Ppl_st
first,enc-rev_accum,Pos,0.55,T,Ppl_st
first,inductive5,Pos,0.32,T,Ppl_st
first,seq-len,Pos,24.0,F,Ppl_st
first,inductive3-2,Pos,0.17,T,Ppl_st
first,pldi082_unbounded2,Pos,0.94,T,Ppl_st
first,file,Pos,16.2,T,Ppl_st
first,xy4,Pos,1.35,F,Ppl_st
first,sum_intro,Pos,0.96,F,Ppl_st
first,map_map,Pos,0.36,T,Ppl_st
first,xy0,Pos,1.29,T,Ppl_st
first,prog2,Pos,0.49,T,Ppl_st
first,sum3,Pos,0.28,F,Ppl_st
first,fib,Pos,0.58,F,Ppl_st
first,svd,Pos,118.31,T,Ppl_st
first,ack,Pos,5.13,F,Ppl_st
first,enc-zip,Pos,0.66,T,Ppl_st
first,gcd,Pos,2.79,F,Ppl_st
first,enc-zip4,Pos,0.69,T,Ppl_st
first,recHanoi03,Pos,0.27,T,Ppl_st
first,enc-rev_append-1,Pos,0.97,T,Ppl_st
first,sum2,Pos,0.3,F,Ppl_st
first,gib,Pos,4.18,F,Ppl_st
first,seq-len1,Pos,23.76,T,Ppl_st
first,substring1,Pos,2.3,T,Ppl_st
high,map_2,Pos,2.39,T,Ppl_st
high,flip_twice_1,Pos,3.79,T,Ppl_st
high,fact_exn,Pos,0.78,T,Ppl_st
high,inc,Pos,2.93,T,Ppl_st
high,intro3,Pos,0.33,T,Ppl_st
high,neg1,Pos,0.68,T,Ppl_st
high,repeat_order,Pos,1.25,T,Ppl_st
