subdir,file name,test class,timing (seconds),res (true/false),domain
high,map_2,Pos,2.85,T,Ppl_st
high,flip_twice_1,Pos,4.07,T,Ppl_st
high,fact_exn,Pos,0.74,T,Ppl_st
high,inc,Pos,3.35,T,Ppl_st
high,intro3,Pos,0.32,T,Ppl_st
high,neg1,Pos,0.79,T,Ppl_st
high,repeat_order,Pos,1.39,T,Ppl_st
high,intro-ord2,Pos,2.82,T,Ppl_st
high,foldr,Pos,6.99,T,Ppl_st
high,sum_cps,Pos,2.31,T,Ppl_st
high,sigma_sum,Pos,0.67,T,Ppl_st
high,apply_twice,Pos,0.31,T,Ppl_st
high,intro-ord3,Pos,16.24,T,Ppl_st
high,intro2,Pos,0.25,T,Ppl_st
high,repeat4,Pos,0.81,T,Ppl_st
high,hors,Pos,1.91,T,Ppl_st
high,repeat,Pos,1.37,T,Ppl_st
high,intro1,Pos,0.26,T,Ppl_st
high,app-lin-ord3,Pos,2.54,T,Ppl_st
high,foldl,Pos,4.59,T,Ppl_st
high,hrec,Pos,3.46,T,Ppl_st
high,app-nonrec,Pos,0.28,T,Ppl_st
high,app-lin-ord2,Pos,0.66,T,Ppl_st
high,max,Pos,2.14,T,Ppl_st
high,apply,Pos,0.95,T,Ppl_st
high,twice,Pos,0.32,T,Ppl_st
high,neg2,Pos,0.44,T,Ppl_st
high,exception,Pos,0.21,T,Ppl_st
high,power,Pos,3.12,T,Ppl_st
high,mixed_id,Pos,0.21,T,Ppl_st
high,app-succ,Pos,9.22,T,Ppl_st
high,call_back,Pos,0.24,T,Ppl_st
high,flip_twice_2,Pos,1.18,F,Ppl_st
high,exc-fact,Pos,0.77,T,Ppl_st
high,multi_compose,Pos,1.43,T,Ppl_st
high,recursive,Pos,3.49,T,Ppl_st
high,mc91_cps,Pos,2.84,T,Ppl_st
high,exc-simple,Pos,0.22,T,Ppl_st
negative,zip00,Neg,59.88,T,Ppl_st
negative,indirectHO01,Neg,54.95,T,Ppl_st
negative,xyz2,Neg,4.73,T,Ppl_st
negative,xy10,Neg,1.29,T,Ppl_st
negative,01_ic3,Neg,0.43,T,Ppl_st
negative,ex23,Neg,0.77,T,Ppl_st
negative,inductive1-1,Neg,0.56,T,Ppl_st
negative,repeat,Neg,0.46,T,Ppl_st
negative,xyz,Neg,4.68,T,Ppl_st
negative,zip_unzip,Neg,1.08,T,Ppl_st
negative,xy4,Neg,1.31,T,Ppl_st
negative,Ackermann00,Neg,94.84,T,Ppl_st
negative,compose,Neg,0.34,T,Ppl_st
negative,up_down01,Neg,34.39,T,Ppl_st
negative,binomial00,Neg,13.2,T,Ppl_st
first,inductive6-2,Pos,0.23,T,Ppl_st
first,mc91_99,Pos,0.53,F,Ppl_st
first,enc-rev_append-2,Pos,0.68,T,Ppl_st
first,gib2,Pos,3.19,T,Ppl_st
first,enc-zip3,Pos,0.49,T,Ppl_st
first,substring2,Pos,2.57,T,Ppl_st
first,mult,Pos,0.53,T,Ppl_st
first,sum4,Pos,0.23,F,Ppl_st
first,fxx,Pos,0.1,T,Ppl_st
first,map,Pos,0.18,T,Ppl_st
first,enc-zipmap,Pos,1.04,T,Ppl_st
first,lcm,Pos,2.61,F,Ppl_st
first,mc91_98,Pos,0.53,F,Ppl_st
first,enc-zip_map2,Pos,1.02,T,Ppl_st
first,inductive6,Pos,0.12,T,Ppl_st
first,copy_intro,Pos,0.28,T,Ppl_st
first,pldi082_unbounded1,Pos,1.31,T,Ppl_st
first,flow,Pos,0.06,T,Ppl_st
first,inductive2,Pos,0.09,T,Ppl_st
first,inductive1-3,Pos,0.57,T,Ppl_st
first,inductive3,Pos,0.1,T,Ppl_st
first,enc-zip_map,Pos,0.99,T,Ppl_st
first,inductive1-2,Pos,1.38,F,Ppl_st
first,gulwani_cegar1,Pos,4.03,T,Ppl_st
first,xyz2,Pos,4.71,T,Ppl_st
first,xy10,Pos,1.36,T,Ppl_st
first,01_ic3,Pos,0.69,T,Ppl_st
first,sum,Pos,0.21,T,Ppl_st
first,up_down_stair,Pos,5.42,T,Ppl_st
first,up2,Pos,3.83,T,Ppl_st
first,inductive1-1,Pos,0.58,T,Ppl_st
first,mc91_95,Pos,0.54,F,Ppl_st
first,inductive4,Pos,2.13,F,Ppl_st
first,lock,Pos,0.64,F,Ppl_st
first,mc91,Pos,0.77,F,Ppl_st
first,xyz,Pos,4.9,F,Ppl_st
first,enc-rev_accum,Pos,0.49,T,Ppl_st
first,inductive5,Pos,0.2,T,Ppl_st
first,seq-len,Pos,28.61,F,Ppl_st
first,inductive3-2,Pos,0.54,T,Ppl_st
first,pldi082_unbounded2,Pos,0.91,T,Ppl_st
first,file,Pos,18.81,T,Ppl_st
first,xy4,Pos,1.35,F,Ppl_st
first,sum_intro,Pos,1.04,F,Ppl_st
first,map_map,Pos,0.28,T,Ppl_st
first,xy0,Pos,1.29,T,Ppl_st
first,prog2,Pos,0.45,T,Ppl_st
first,sum3,Pos,0.23,F,Ppl_st
first,fib,Pos,0.53,F,Ppl_st
first,svd,Pos,156.06,T,Ppl_st
first,ack,Pos,5.88,F,Ppl_st
first,enc-zip,Pos,0.57,T,Ppl_st
first,gcd,Pos,2.77,F,Ppl_st
first,enc-zip4,Pos,0.58,T,Ppl_st
first,recHanoi03,Pos,0.23,T,Ppl_st
first,enc-rev_append-1,Pos,0.85,T,Ppl_st
first,sum2,Pos,0.23,F,Ppl_st
first,gib,Pos,4.34,F,Ppl_st
first,seq-len1,Pos,29.03,T,Ppl_st
first,substring1,Pos,2.41,T,Ppl_st
array,a-copy-print,Pos,6.28,T,Ppl_st
array,a-split,Pos,15.62,T,Ppl_st
array,a-dropn,Pos,44.98,T,Ppl_st
array,a-sub,Pos,17.83,T,Ppl_st
array,bcopy,Pos,6.4,T,Ppl_st
array,a-init1,Pos,3.86,F,Ppl_st
array,a-map,Pos,5.18,T,Ppl_st
array,a-iter,Pos,1.93,T,Ppl_st
array,a-dotprod,Pos,7.63,T,Ppl_st
array,a-reverse,Pos,2.27,T,Ppl_st
array,a-mapi,Pos,7.15,T,Ppl_st
array,a-init2,Pos,2.17,F,Ppl_st
array,a-append,Pos,10.57,T,Ppl_st
