subdir,file name,test class,timing (seconds),res (true/false),domain
first,inductive6-2,Pos,0.25,T,Ppl_st
first,mc91_99,Pos,0.59,F,Ppl_st
first,enc-rev_append-2,Pos,0.79,T,Ppl_st
first,gib2,Pos,3.25,T,Ppl_st
first,enc-zip3,Pos,0.58,T,Ppl_st
first,substring2,Pos,2.51,T,Ppl_st
first,mult,Pos,0.58,T,Ppl_st
first,sum4,Pos,0.29,F,Ppl_st
first,fxx,Pos,0.14,T,Ppl_st
first,map,Pos,0.26,T,Ppl_st
first,enc-zipmap,Pos,1.1,T,Ppl_st
first,lcm,Pos,3.47,F,Ppl_st
first,mc91_98,Pos,0.6,F,Ppl_st
first,enc-zip_map2,Pos,1.09,T,Ppl_st
first,inductive6,Pos,0.13,T,Ppl_st
first,copy_intro,Pos,0.36,T,Ppl_st
first,pldi082_unbounded1,Pos,1.52,T,Ppl_st
first,flow,Pos,0.06,T,Ppl_st
first,inductive2,Pos,0.1,T,Ppl_st
first,inductive1-3,Pos,0.66,T,Ppl_st
first,inductive3,Pos,0.15,T,Ppl_st
first,enc-zip_map,Pos,1.12,T,Ppl_st
first,inductive1-2,Pos,1.61,F,Ppl_st
first,gulwani_cegar1,Pos,4.03,T,Ppl_st
first,xyz2,Pos,4.21,T,Ppl_st
first,xy10,Pos,1.33,T,Ppl_st
first,01_ic3,Pos,0.76,T,Ppl_st
first,sum,Pos,0.26,T,Ppl_st
first,up_down_stair,Pos,6.2,T,Ppl_st
first,up2,Pos,3.5,T,Ppl_st
first,inductive1-1,Pos,0.68,T,Ppl_st
first,mc91_95,Pos,0.6,F,Ppl_st
first,inductive4,Pos,1.85,F,Ppl_st
first,lock,Pos,0.68,F,Ppl_st
first,mc91,Pos,0.74,F,Ppl_st
first,xyz,Pos,4.53,F,Ppl_st
first,enc-rev_accum,Pos,0.55,T,Ppl_st
first,inductive5,Pos,0.33,T,Ppl_st
first,seq-len,Pos,23.91,F,Ppl_st
first,inductive3-2,Pos,0.18,T,Ppl_st
first,pldi082_unbounded2,Pos,0.95,T,Ppl_st
first,file,Pos,16.31,T,Ppl_st
first,xy4,Pos,1.41,F,Ppl_st
first,sum_intro,Pos,0.94,F,Ppl_st
first,map_map,Pos,0.36,T,Ppl_st
first,xy0,Pos,1.32,T,Ppl_st
first,prog2,Pos,0.52,T,Ppl_st
first,sum3,Pos,0.29,F,Ppl_st
first,fib,Pos,0.59,F,Ppl_st
first,svd,Pos,118.24,T,Ppl_st
first,ack,Pos,5.15,F,Ppl_st
first,enc-zip,Pos,0.66,T,Ppl_st
first,gcd,Pos,2.79,F,Ppl_st
first,enc-zip4,Pos,0.69,T,Ppl_st
first,recHanoi03,Pos,0.27,T,Ppl_st
first,enc-rev_append-1,Pos,0.95,T,Ppl_st
first,sum2,Pos,0.28,F,Ppl_st
first,gib,Pos,4.21,F,Ppl_st
first,seq-len1,Pos,23.96,T,Ppl_st
first,substring1,Pos,2.69,T,Ppl_st
high,map_2,Pos,3.0,T,Ppl_st
high,flip_twice_1,Pos,4.7,T,Ppl_st
high,fact_exn,Pos,0.77,T,Ppl_st
high,inc,Pos,3.01,T,Ppl_st
high,intro3,Pos,0.33,T,Ppl_st
high,neg1,Pos,0.7,T,Ppl_st
high,repeat_order,Pos,1.2,T,Ppl_st
high,intro-ord2,Pos,2.56,T,Ppl_st
high,foldr,Pos,7.54,T,Ppl_st
high,sum_cps,Pos,2.05,T,Ppl_st
high,sigma_sum,Pos,0.7,T,Ppl_st
high,apply_twice,Pos,0.39,T,Ppl_st
high,intro-ord3,Pos,12.86,T,Ppl_st
high,intro2,Pos,0.27,T,Ppl_st
high,repeat4,Pos,0.73,T,Ppl_st
high,hors,Pos,1.71,T,Ppl_st
high,repeat,Pos,1.23,T,Ppl_st
high,intro1,Pos,0.28,T,Ppl_st
high,app-lin-ord3,Pos,2.23,T,Ppl_st
high,foldl,Pos,5.1,T,Ppl_st
high,hrec,Pos,2.79,T,Ppl_st
high,app-nonrec,Pos,0.29,T,Ppl_st
high,app-lin-ord2,Pos,0.65,T,Ppl_st
high,max,Pos,2.03,T,Ppl_st
high,apply,Pos,0.92,T,Ppl_st
high,twice,Pos,0.32,T,Ppl_st
high,neg2,Pos,0.44,T,Ppl_st
high,exception,Pos,0.23,T,Ppl_st
high,power,Pos,3.43,T,Ppl_st
high,mixed_id,Pos,0.25,T,Ppl_st
high,app-succ,Pos,7.62,T,Ppl_st
high,call_back,Pos,0.3,T,Ppl_st
high,flip_twice_2,Pos,1.32,F,Ppl_st
high,exc-fact,Pos,0.81,T,Ppl_st
high,multi_compose,Pos,1.59,T,Ppl_st
high,recursive,Pos,2.8,T,Ppl_st
high,mc91_cps,Pos,2.52,T,Ppl_st
high,exc-simple,Pos,0.24,T,Ppl_st
array,a-copy-print,Pos,5.87,T,Ppl_st
array,a-split,Pos,14.36,T,Ppl_st
array,a-dropn,Pos,50.28,T,Ppl_st
array,a-sub,Pos,14.67,T,Ppl_st
array,bcopy,Pos,5.89,T,Ppl_st
array,a-init1,Pos,4.82,F,Ppl_st
array,a-map,Pos,4.46,T,Ppl_st
array,a-iter,Pos,1.74,T,Ppl_st
array,a-dotprod,Pos,6.84,T,Ppl_st
array,a-reverse,Pos,2.17,T,Ppl_st
array,a-mapi,Pos,7.35,T,Ppl_st
array,a-init2,Pos,2.08,F,Ppl_st
array,a-append,Pos,12.4,T,Ppl_st
negative,zip00,Neg,64.64,T,Ppl_st
negative,indirectHO01,Neg,55.47,T,Ppl_st
negative,xyz2,Neg,5.68,T,Ppl_st
negative,xy10,Neg,1.76,T,Ppl_st
negative,01_ic3,Neg,0.63,T,Ppl_st
negative,ex23,Neg,0.93,T,Ppl_st
negative,inductive1-1,Neg,0.82,T,Ppl_st
negative,repeat,Neg,0.55,T,Ppl_st
negative,xyz,Neg,5.32,T,Ppl_st
negative,zip_unzip,Neg,1.21,T,Ppl_st
negative,xy4,Neg,1.55,T,Ppl_st
negative,Ackermann00,Neg,104.42,T,Ppl_st
negative,compose,Neg,0.41,T,Ppl_st
negative,up_down01,Neg,36.74,T,Ppl_st
negative,binomial00,Neg,13.61,T,Ppl_st
