subdir,file name,test class,timing (seconds),res (true/false),domain
first,inductive6-2,Pos,0.06,T,Oct
first,mc91_99,Pos,0.59,T,Oct
first,enc-rev_append-2,Pos,0.95,F,Oct
first,gib2,Pos,3.13,T,Oct
first,enc-zip3,Pos,0.83,T,Oct
first,substring2,Pos,1.44,T,Oct
first,half,Pos,2.15,F,Oct
first,mult,Pos,0.7,T,Oct
first,sum4,Pos,0.39,F,Oct
first,fxx,Pos,0.04,T,Oct
first,nested_loop,Pos,3.6,F,Oct
first,map,Pos,0.4,T,Oct
first,enc-zipmap,Pos,1.23,F,Oct
first,mc91_98,Pos,0.58,T,Oct
first,enc-zip_map2,Pos,1.32,T,Oct
first,inductive6,Pos,0.05,T,Oct
first,copy_intro,Pos,0.51,T,Oct
first,pldi082_unbounded1,Pos,1.82,T,Oct
first,inductivea,Pos,1.86,F,Oct
first,eq,Pos,9.91,T,Oct
first,flow,Pos,0.04,T,Oct
first,inductive2,Pos,0.05,T,Oct
first,inductive1-3,Pos,1.33,T,Oct
first,inductive3,Pos,0.05,T,Oct
first,enc-zip_map,Pos,1.24,T,Oct
first,inductive1-2,Pos,1.36,T,Oct
first,gulwani_cegar1,Pos,2.28,T,Oct
first,xyz2,Pos,0.03,T,Oct
first,xy10,Pos,1.19,T,Oct
first,01_ic3,Pos,0.19,T,Oct
first,hanoi,Pos,4.1,F,Oct
first,addition,Pos,1.49,F,Oct
first,sum,Pos,0.37,T,Oct
first,up_down_stair,Pos,3.52,T,Oct
first,up2,Pos,2.27,T,Oct
first,inductive1-1,Pos,1.34,T,Oct
first,mc91_95,Pos,0.58,T,Oct
first,inductive4,Pos,1.15,T,Oct
first,lock,Pos,0.11,F,Oct
first,mc91,Pos,0.59,T,Oct
first,xyz,Pos,0.03,T,Oct
first,enc-rev_accum,Pos,0.65,F,Oct
first,inductive5,Pos,0.07,T,Oct
first,seq-len,Pos,8.39,F,Oct
first,inductive3-2,Pos,0.05,T,Oct
first,pldi082_unbounded2,Pos,0.19,T,Oct
first,file,Pos,3.17,T,Oct
first,xy4,Pos,0.03,T,Oct
first,sum_intro,Pos,0.53,T,Oct
first,odd_even,Pos,1.14,F,Oct
first,is_prime,Pos,0.48,T,Oct
first,for_bounded_loop1,Pos,3.02,F,Oct
first,map_map,Pos,0.56,T,Oct
first,xy0,Pos,0.2,T,Oct
first,prog2,Pos,0.13,T,Oct
first,sum3,Pos,0.38,F,Oct
first,fib,Pos,0.61,T,Oct
first,svd,Pos,24.18,T,Oct
first,ack,Pos,2.44,T,Oct
first,enc-zip,Pos,0.89,F,Oct
first,gcd,Pos,0.26,T,Oct
first,sum6,Pos,0.42,F,Oct
first,enc-zip4,Pos,0.93,F,Oct
first,recHanoi03,Pos,0.36,T,Oct
first,enc-rev_append-1,Pos,1.05,T,Oct
first,sum2,Pos,0.39,F,Oct
first,gib,Pos,3.23,T,Oct
first,mult_twice,Pos,1.76,F,Oct
first,seq-len1,Pos,8.57,F,Oct
first,substring1,Pos,1.32,T,Oct
array,a-copy-print,Pos,3.4,T,Oct
array,a-split,Pos,6.3,F,Oct
array,a-dropn,Pos,6.95,T,Oct
array,a-sub,Pos,4.6,F,Oct
array,bcopy,Pos,3.21,T,Oct
array,a-init1,Pos,2.7,F,Oct
array,a-map,Pos,1.7,T,Oct
array,a-iter,Pos,1.12,T,Oct
array,a-dotprod,Pos,3.7,T,Oct
array,a-reverse,Pos,1.45,T,Oct
array,a-mapi,Pos,2.2,T,Oct
array,a-init2,Pos,1.38,F,Oct
array,a-append,Pos,3.71,F,Oct
high,map_2,Pos,1.42,F,Oct
high,flip_twice_1,Pos,0.49,F,Oct
high,fact_exn,Pos,1.05,T,Oct
high,inc,Pos,2.13,T,Oct
high,intro3,Pos,0.06,T,Oct
high,neg1,Pos,0.16,F,Oct
high,repeat_order,Pos,0.74,T,Oct
high,intro-ord2,Pos,1.09,T,Oct
high,foldr,Pos,2.88,T,Oct
high,sum_cps,Pos,0.98,T,Oct
high,sigma_sum,Pos,0.77,T,Oct
high,apply_twice,Pos,0.08,T,Oct
high,intro-ord3,Pos,2.08,T,Oct
high,intro2,Pos,0.05,T,Oct
high,repeat4,Pos,0.52,T,Oct
high,hors,Pos,1.31,T,Oct
high,repeat,Pos,0.8,T,Oct
high,intro1,Pos,0.06,T,Oct
high,app-lin-ord3,Pos,0.32,F,Oct
high,foldl,Pos,2.55,T,Oct
high,hrec,Pos,1.13,T,Oct
high,app-nonrec,Pos,0.07,T,Oct
high,app-lin-ord2,Pos,0.11,F,Oct
high,max,Pos,0.34,T,Oct
high,apply,Pos,0.97,T,Oct
high,twice,Pos,0.08,T,Oct
high,neg2,Pos,0.1,F,Oct
high,exception,Pos,0.07,T,Oct
high,power,Pos,1.3,T,Oct
high,mixed_id,Pos,0.07,T,Oct
high,app-succ,Pos,1.66,T,Oct
high,call_back,Pos,0.07,F,Oct
high,flip_twice_2,Pos,0.26,F,Oct
high,exc-fact,Pos,1.07,T,Oct
high,multi_compose,Pos,0.27,F,Oct
