subdir,file name,test class,timing (seconds),res (true/false),domain
first,fxx,Pos,0.01,T,Oct
first,sum3,Pos,0.02,F,Oct
first,mc91_98,Pos,0.05,F,Oct
first,pldi082_unbounded1,Pos,0.23,F,Oct
first,seq-len,Pos,1.88,F,Oct
first,addition,Pos,0.1,F,Oct
first,inductive5-2,Pos,0.03,T,Oct
first,substring2,Pos,0.17,T,Oct
first,svd,Pos,46.71,T,Oct
first,inductive,Pos,0.26,F,Oct
first,sum4,Pos,0.02,F,Oct
first,enc-zip3,Pos,0.07,F,Oct
first,gcd,Pos,0.16,F,Oct
first,inductive1-3,Pos,0.11,T,Oct
first,enc-zip_map,Pos,0.1,F,Oct
first,enc-zip,Pos,0.06,F,Oct
first,xyz,Pos,0.58,F,Oct
first,recHanoi03,Pos,0.02,T,Oct
first,up_down_stair,Pos,1.27,T,Oct
first,seq-len1,Pos,2.24,F,Oct
first,inductive6-3,Pos,0.01,F,Oct
first,enc-zip4,Pos,0.07,F,Oct
first,copy_intro,Pos,0.04,F,Oct
first,mc91_99,Pos,0.05,F,Oct
first,for_bounded_loop1,Pos,0.52,F,Oct
first,enc-rev_accum,Pos,0.05,F,Oct
first,inductive1-2,Pos,0.11,T,Oct
first,xy10,Pos,0.12,T,Oct
first,gulwani_cegar1,Pos,0.2,T,Oct
first,hanoi,Pos,0.74,F,Oct
first,inductive4-1,Pos,0.21,T,Oct
first,xy4,Pos,0.15,F,Oct
first,eq,Pos,2.21,T,Oct
first,nested_loop,Pos,1.5,F,Oct
first,mult_twice,Pos,0.12,F,Oct
first,mc91,Pos,0.05,T,Oct
first,inductive4,Pos,0.14,T,Oct
first,sum_intro,Pos,0.03,F,Oct
first,inductive6-2,Pos,0.01,T,Oct
first,file,Pos,0.68,F,Oct
first,enc-zip_map2,Pos,0.11,F,Oct
first,mult,Pos,0.05,F,Oct
first,is_prime,Pos,0.47,T,Oct
first,map_map,Pos,0.04,T,Oct
first,ack,Pos,0.4,T,Oct
first,inductive3,Pos,0.01,T,Oct
first,sum6,Pos,0.02,F,Oct
first,inductive2,Pos,0.01,T,Oct
first,inductivea,Pos,0.1,F,Oct
first,substring1,Pos,0.14,T,Oct
first,inductive3-2,Pos,0.02,T,Oct
first,odd_even,Pos,0.05,F,Oct
first,fib,Pos,0.03,F,Oct
first,xyz2,Pos,0.58,F,Oct
first,gib,Pos,0.35,T,Oct
first,pldi082_unbounded2,Pos,0.1,T,Oct
first,inductive5,Pos,0.02,T,Oct
first,xy0,Pos,0.04,T,Oct
first,prog2,Pos,0.04,T,Oct
first,enc-rev_append,Pos,0.14,F,Oct
first,flow,Pos,0.0,T,Oct
first,inductive3-3,Pos,0.01,T,Oct
first,gib2,Pos,0.25,T,Oct
first,inductive6,Pos,0.01,T,Oct
first,half,Pos,0.16,F,Oct
first,up2,Pos,0.38,T,Oct
first,sum2,Pos,0.02,F,Oct
first,01_ic3,Pos,0.04,T,Oct
first,mc91_95,Pos,0.05,F,Oct
first,map,Pos,0.02,F,Oct
first,enc-zipmap,Pos,0.11,F,Oct
first,lock,Pos,0.01,F,Oct
first,sum,Pos,0.02,F,Oct
array,a-reverse,Pos,0.35,T,Oct
array,bcopy,Pos,0.45,T,Oct
array,a-split,Pos,2.53,F,Oct
array,a-mapi,Pos,1.06,T,Oct
array,a-iter,Pos,0.34,T,Oct
array,a-dropn,Pos,6.26,T,Oct
array,a-sub,Pos,1.5,F,Oct
array,a-append,Pos,1.91,F,Oct
array,a-init2,Pos,0.15,F,Oct
array,a-init1,Pos,0.26,F,Oct
array,a-map,Pos,0.94,T,Oct
array,a-dotprod,Pos,0.67,T,Oct
array,a-copy-print,Pos,0.71,T,Oct
high,app-nonrec,Pos,0.01,T,Oct
high,exc-simple,Pos,0.01,T,Oct
high,kmp,Pos,8.2,F,Oct
high,repeat,Pos,0.13,F,Oct
high,max,Pos,0.06,T,Oct
high,hrec,Pos,0.42,T,Oct
high,bcopy,Pos,0.35,T,Oct
high,fact_exn,Pos,0.05,T,Oct
high,intro-ord3,Pos,0.4,T,Oct
high,apply-cr,Pos,0.04,T,Oct
high,twice,Pos,0.02,T,Oct
high,foldr,Pos,0.67,T,Oct
high,flip_twice_2,Pos,0.07,F,Oct
high,dotprod3,Pos,0.58,T,Oct
high,map_2,Pos,0.25,F,Oct
high,inc3,Pos,0.2,T,Oct
high,recursive,Pos,0.42,T,Oct
high,call_back,Pos,0.01,F,Oct
high,mixed_id,Pos,0.0,T,Oct
high,dotprod4,Pos,0.69,T,Oct
high,bsearch,Pos,0.97,F,Oct
high,intro-ord2,Pos,0.14,T,Oct
high,apply_twice,Pos,0.03,T,Oct
high,intro1,Pos,0.01,T,Oct
high,array_init,Pos,0.33,T,Oct
high,neg2,Pos,0.02,F,Oct
high,exc-fact,Pos,0.05,T,Oct
high,bcopy5,Pos,0.97,T,Oct
high,sum_cps,Pos,0.07,T,Oct
high,a-max,Pos,0.61,F,Oct
high,foldl,Pos,0.42,T,Oct
high,bcopy2,Pos,0.38,T,Oct
high,queen,Pos,48.6,T,Oct
high,bcopy3,Pos,0.23,T,Oct
high,intro3,Pos,0.01,T,Oct
high,dotprod5,Pos,0.97,T,Oct
high,dotprod,Pos,0.88,T,Oct
high,inc4,Pos,0.82,F,Oct
high,flip_twice_1,Pos,0.41,F,Oct
high,hors,Pos,0.14,T,Oct
high,app-lin-ord3,Pos,0.11,F,Oct
high,repeat4,Pos,0.08,F,Oct
high,neg1,Pos,0.05,T,Oct
high,enc-zip_unzip,Pos,0.59,F,Oct
high,app-succ,Pos,0.37,T,Oct
high,intro2,Pos,0.01,T,Oct
high,a-init,Pos,0.42,T,Oct
high,dotprod_lin,Pos,1.63,T,Oct
high,power,Pos,0.2,T,Oct
high,dotprod2,Pos,0.34,T,Oct
high,a-dotprod,Pos,0.68,T,Oct
high,a-copy-print,Pos,1.82,F,Oct
high,app-lin-ord2,Pos,0.03,F,Oct
high,sigma_sum,Pos,0.07,F,Oct
high,repeat_mochi,Pos,0.13,F,Oct
high,multi_compose,Pos,0.06,F,Oct
high,bcopy4,Pos,0.21,T,Oct
high,exception,Pos,0.01,T,Oct
high,repeat_order,Pos,0.13,F,Oct
high,apply,Pos,0.01,T,Oct
high,mc91_cps,Pos,0.11,F,Oct
high,inc,Pos,0.31,T,Oct
termination,up_down06,Pos,13.79,T,Oct
termination,CE-1CFA03,Pos,15.63,T,Oct
termination,zip02,Pos,4.17,T,Oct
termination,binomial05,Pos,0.0,T,Oct
termination,append02,Pos,0.0,T,Oct
termination,CE-1CFA08,Pos,49.4,T,Oct
termination,toChurch01,Pos,3.98,T,Oct
termination,CE-Jones_Bohr02,Pos,6.25,T,Oct
termination,CE-1CFA06,Pos,49.31,T,Oct
termination,binomial03,Pos,0.0,T,Oct
termination,binomial02,Pos,0.0,T,Oct
termination,toChurch05,Pos,35.27,T,Oct
termination,up_down04,Pos,1.77,T,Oct
termination,Ackermann03,Pos,0.0,T,Oct
termination,CE-1CFA09,Pos,64.04,T,Oct
termination,x_plus_2_pow_n02,Pos,2.58,T,Oct
termination,CE-0CFA05,Pos,175.43,T,Oct
termination,binomial00,Pos,0.0,T,Oct
termination,indirectHO03,Pos,4.62,T,Oct
termination,Ackermann01,Pos,17.49,T,Oct
termination,churchNum03,Pos,136.38,T,Oct
termination,CE-1CFA01,Pos,17.01,T,Oct
termination,alias_partial00,Pos,0.21,T,Oct
termination,Fibonacci00,Pos,0.17,T,Oct
termination,CE-0CFA00,Pos,5.05,T,Oct
termination,McCarthy9102,Pos,0.64,T,Oct
termination,CE-1CFA02,Pos,16.28,T,Oct
termination,toChurch04,Pos,21.26,T,Oct
termination,indirect02,Pos,2.78,T,Oct
termination,CE-0CFA01,Pos,5.48,T,Oct
termination,toChurch03,Pos,20.75,T,Oct
termination,Ackermann02,Pos,0.0,T,Oct
termination,zip01,Pos,2.99,T,Oct
termination,append00,Pos,0.0,T,Oct
termination,indirect00,Pos,0.65,T,Oct
termination,alias_partial02,Pos,0.18,T,Oct
termination,x_plus_2_pow_n00,Pos,8.52,T,Oct
termination,Fibonacci02,Pos,0.38,T,Oct
termination,x_plus_2_pow_n04,Pos,3.79,T,Oct
termination,binomial01,Pos,0.01,T,Oct
termination,up_down03,Pos,1.8,T,Oct
termination,x_plus_2_pow_n03,Pos,2.68,T,Oct
termination,up_down01,Pos,1.83,T,Oct
termination,alias_partial01,Pos,0.16,T,Oct
termination,churchNum01,Pos,32.19,T,Oct
termination,CE-0CFA02,Pos,5.08,T,Oct
termination,Fibonacci03,Pos,0.38,T,Oct
termination,Ackermann04,Pos,0.0,T,Oct
termination,McCarthy9101,Pos,0.31,T,Oct
termination,toChurch00,Pos,45.14,T,Oct
termination,indirectHO02,Pos,2.9,T,Oct
termination,up_down00,Pos,1.79,T,Oct
termination,CE-1CFA00,Pos,15.53,T,Oct
termination,up_down05,Pos,2.02,T,Oct
termination,CE-Jones_Bohr03,Pos,1.22,T,Oct
termination,CE-1CFA04,Pos,112.71,T,Oct
termination,CE-0CFA04,Pos,26.55,T,Oct
termination,indirectHO01,Pos,0.2,T,Oct
termination,McCarthy9100,Pos,0.29,T,Oct
termination,alias_partial03,Pos,0.35,T,Oct
termination,indirectHO00,Pos,0.63,T,Oct
termination,Ackermann05,Pos,0.0,T,Oct
termination,CE-0CFA03,Pos,5.09,T,Oct
termination,zip00,Pos,2.86,T,Oct
termination,churchNum02,Pos,138.0,T,Oct
