subdir,file name,test class,timing (seconds),res (true/false),domain
high,map_2,Pos,0.58,F,Oct
high,flip_twice_1,Pos,0.43,F,Oct
high,fact_exn,Pos,0.16,T,Oct
high,inc,Pos,1.29,T,Oct
high,intro3,Pos,0.05,T,Oct
high,neg1,Pos,0.12,F,Oct
high,repeat_order,Pos,0.53,T,Oct
high,intro-ord2,Pos,0.28,T,Oct
high,foldr,Pos,2.25,T,Oct
high,sum_cps,Pos,0.23,T,Oct
high,sigma_sum,Pos,0.27,T,Oct
high,apply_twice,Pos,0.06,T,Oct
high,intro-ord3,Pos,1.31,T,Oct
high,intro2,Pos,0.04,T,Oct
high,repeat4,Pos,0.34,T,Oct
high,hors,Pos,0.35,T,Oct
high,repeat,Pos,0.5,T,Oct
high,intro1,Pos,0.05,T,Oct
high,app-lin-ord3,Pos,0.27,F,Oct
high,foldl,Pos,0.93,T,Oct
high,hrec,Pos,1.16,T,Oct
high,app-nonrec,Pos,0.05,T,Oct
high,app-lin-ord2,Pos,0.1,F,Oct
high,max,Pos,0.25,T,Oct
high,apply,Pos,0.2,T,Oct
high,twice,Pos,0.05,T,Oct
high,neg2,Pos,0.09,F,Oct
high,exception,Pos,0.05,T,Oct
high,power,Pos,0.41,T,Oct
high,mixed_id,Pos,0.07,T,Oct
high,app-succ,Pos,0.54,F,Oct
high,call_back,Pos,0.06,F,Oct
high,flip_twice_2,Pos,0.18,F,Oct
high,exc-fact,Pos,0.16,T,Oct
high,multi_compose,Pos,0.25,F,Oct
high,recursive,Pos,1.2,T,Oct
high,mc91_cps,Pos,0.68,T,Oct
high,exc-simple,Pos,0.05,T,Oct
list,sieve,Pos,1.95,F,Oct
list,risers,Pos,0.22,T,Oct
list,list,Pos,0.2,T,Oct
list,fold_div,Pos,0.79,T,Oct
list,mem,Pos,0.56,T,Oct
list,forall_leq,Pos,0.53,T,Oct
list,iter,Pos,0.27,T,Oct
list,zip,Pos,1.26,T,Oct
list,mapfilter,Pos,2.72,T,Oct
list,length,Pos,0.3,T,Oct
list,zipunzip,Pos,1.95,F,Oct
list,isnil,Pos,0.15,T,Oct
list,reverse,Pos,0.3,T,Oct
