subdir,file name,test class,timing (seconds),res (true/false),domain
high,map_2,Pos,0.87,T,Polka_st
high,flip_twice_1,Pos,0.9,T,Polka_st
high,fact_exn,Pos,1.95,T,Polka_st
high,inc,Pos,0.93,T,Polka_st
high,intro3,Pos,0.09,T,Polka_st
high,neg1,Pos,0.19,T,Polka_st
high,repeat_order,Pos,1.57,T,Polka_st
high,intro-ord2,Pos,0.44,T,Polka_st
high,foldr,Pos,timeout,ER,Polka_st
high,sum_cps,Pos,0.42,F,Polka_st
high,sigma_sum,Pos,0.28,T,Polka_st
high,apply_twice,Pos,0.11,T,Polka_st
high,intro-ord3,Pos,2.02,T,Polka_st
high,intro2,Pos,0.07,T,Polka_st
high,repeat4,Pos,1.12,T,Polka_st
high,hors,Pos,2.04,T,Polka_st
high,repeat,Pos,1.57,T,Polka_st
high,intro1,Pos,0.07,T,Polka_st
high,app-lin-ord3,Pos,0.54,T,Polka_st
high,foldl,Pos,4.12,T,Polka_st
high,hrec,Pos,1.49,F,Polka_st
high,app-nonrec,Pos,0.09,T,Polka_st
high,app-lin-ord2,Pos,0.18,T,Polka_st
high,max,Pos,0.52,T,Polka_st
high,apply,Pos,2.08,T,Polka_st
high,twice,Pos,0.09,T,Polka_st
high,neg2,Pos,0.14,T,Polka_st
high,exception,Pos,0.08,T,Polka_st
high,power,Pos,2.15,T,Polka_st
high,mixed_id,Pos,0.08,T,Polka_st
high,app-succ,Pos,2.88,T,Polka_st
high,call_back,Pos,0.09,T,Polka_st
high,flip_twice_2,Pos,0.3,F,Polka_st
high,exc-fact,Pos,1.99,T,Polka_st
high,multi_compose,Pos,0.4,T,Polka_st
high,recursive,Pos,1.45,F,Polka_st
high,mc91_cps,Pos,timeout,F,Polka_st
high,exc-simple,Pos,0.07,T,Polka_st
first,inductive6-2,Pos,0.08,T,Polka_st
first,mc91_99,Pos,0.24,F,Polka_st
first,enc-rev_append-2,Pos,0.51,T,Polka_st
first,gib2,Pos,0.86,T,Polka_st
first,enc-zip3,Pos,1.97,T,Polka_st
first,substring2,Pos,0.62,T,Polka_st
first,half,Pos,0.91,F,Polka_st
first,mult,Pos,0.22,T,Polka_st
first,sum4,Pos,0.15,T,Polka_st
first,fxx,Pos,0.06,T,Polka_st
first,nested_loop,Pos,2.27,T,Polka_st
first,map,Pos,1.05,T,Polka_st
first,enc-zipmap,Pos,2.85,F,Polka_st
first,mc91_98,Pos,0.26,F,Polka_st
first,enc-zip_map2,Pos,2.92,T,Polka_st
first,inductive6,Pos,0.06,T,Polka_st
first,copy_intro,Pos,1.28,T,Polka_st
first,pldi082_unbounded1,Pos,0.43,T,Polka_st
first,inductivea,Pos,0.61,T,Polka_st
first,eq,Pos,5.17,T,Polka_st
first,flow,Pos,0.04,T,Polka_st
first,inductive2,Pos,0.06,T,Polka_st
first,inductive1-3,Pos,2.43,T,Polka_st
first,inductive3,Pos,0.06,T,Polka_st
first,enc-zip_map,Pos,2.77,T,Polka_st
first,inductive1-2,Pos,0.4,F,Polka_st
first,gulwani_cegar1,Pos,0.81,T,Polka_st
first,xyz2,Pos,0.03,T,Polka_st
first,xy10,Pos,1.49,T,Polka_st
first,01_ic3,Pos,0.31,T,Polka_st
first,hanoi,Pos,1.91,F,Polka_st
first,addition,Pos,0.52,T,Polka_st
first,sum,Pos,0.17,T,Polka_st
first,up_down_stair,Pos,1.36,T,Polka_st
first,up2,Pos,0.95,T,Polka_st
first,inductive1-1,Pos,0.54,T,Polka_st
first,mc91_95,Pos,timeout,ER,Polka_st
first,inductive4,Pos,2.44,F,Polka_st
first,lock,Pos,0.18,F,Polka_st
first,mc91,Pos,timeout,ER,Polka_st
first,xyz,Pos,0.03,T,Polka_st
first,enc-rev_accum,Pos,1.53,T,Polka_st
first,inductive5,Pos,0.11,T,Polka_st
first,seq-len,Pos,4.83,F,Polka_st
first,inductive3-2,Pos,0.08,T,Polka_st
first,pldi082_unbounded2,Pos,0.28,T,Polka_st
first,file,Pos,3.84,T,Polka_st
first,xy4,Pos,0.03,T,Polka_st
first,sum_intro,Pos,0.32,F,Polka_st
first,is_prime,Pos,0.75,T,Polka_st
first,for_bounded_loop1,Pos,1.07,T,Polka_st
first,map_map,Pos,1.46,T,Polka_st
first,xy0,Pos,0.36,T,Polka_st
first,prog2,Pos,0.22,T,Polka_st
first,sum3,Pos,0.16,T,Polka_st
first,fib,Pos,0.17,F,Polka_st
first,svd,Pos,22.07,T,Polka_st
first,ack,Pos,1.35,F,Polka_st
first,enc-zip,Pos,2.05,F,Polka_st
first,gcd,Pos,0.66,F,Polka_st
first,sum6,Pos,0.15,F,Polka_st
first,enc-zip4,Pos,2.1,F,Polka_st
first,recHanoi03,Pos,timeout,F,Polka_st
first,enc-rev_append-1,Pos,2.69,T,Polka_st
first,sum2,Pos,0.15,T,Polka_st
first,gib,Pos,1.14,F,Polka_st
first,mult_twice,Pos,0.42,F,Polka_st
first,seq-len1,Pos,4.72,T,Polka_st
first,substring1,Pos,0.56,T,Polka_st
negative,zip00,Neg,7.17,T,Polka_st
negative,indirectHO01,Neg,13.06,T,Polka_st
negative,xyz2,Neg,2.45,T,Polka_st
negative,xy10,Neg,0.78,T,Polka_st
negative,01_ic3,Neg,0.11,T,Polka_st
negative,ex23,Neg,0.24,T,Polka_st
negative,inductive1-1,Neg,2.41,T,Polka_st
negative,repeat,Neg,1.46,T,Polka_st
negative,ack01false,Neg,1.42,T,Polka_st
negative,xyz,Neg,2.38,T,Polka_st
negative,zip_unzip,Neg,0.93,T,Polka_st
negative,xy4,Neg,0.41,T,Polka_st
negative,compose,Neg,0.12,T,Polka_st
negative,up_down01,Neg,3.51,T,Polka_st
negative,binomial00,Neg,3.67,T,Polka_st
array,a-copy-print,Pos,1.55,T,Polka_st
array,a-split,Pos,2.99,T,Polka_st
array,a-dropn,Pos,7.5,T,Polka_st
array,a-sub,Pos,3.05,T,Polka_st
array,bcopy,Pos,1.36,T,Polka_st
array,a-init1,Pos,0.87,F,Polka_st
array,a-map,Pos,1.33,T,Polka_st
array,a-iter,Pos,1.98,T,Polka_st
array,a-dotprod,Pos,1.59,T,Polka_st
array,a-reverse,Pos,0.6,T,Polka_st
array,a-mapi,Pos,1.7,T,Polka_st
array,a-init2,Pos,2.62,F,Polka_st
array,a-append,Pos,2.19,T,Polka_st
