subdir,file name,test class,timing (seconds),res (true/false),domain
first,fxx,Pos,0.01,T,Polka_ls
first,sum3,Pos,0.05,F,Polka_ls
first,mc91_98,Pos,0.09,F,Polka_ls
first,pldi082_unbounded1,Pos,0.4,T,Polka_ls
first,seq-len,Pos,3.21,F,Polka_ls
first,addition,Pos,0.16,T,Polka_ls
first,inductive5-2,Pos,0.04,T,Polka_ls
first,substring2,Pos,0.32,T,Polka_ls
first,svd,Pos,54.61,T,Polka_ls
first,inductive,Pos,0.49,F,Polka_ls
first,sum4,Pos,0.05,F,Polka_ls
first,enc-zip3,Pos,0.12,T,Polka_ls
first,gcd,Pos,0.38,F,Polka_ls
first,inductive1-3,Pos,0.14,T,Polka_ls
first,enc-zip_map,Pos,0.2,T,Polka_ls
first,enc-zip,Pos,0.11,F,Polka_ls
first,xyz,Pos,0.96,F,Polka_ls
first,recHanoi03,Pos,0.04,T,Polka_ls
first,up_down_stair,Pos,2.51,T,Polka_ls
first,seq-len1,Pos,4.16,T,Polka_ls
first,inductive6-3,Pos,0.01,F,Polka_ls
first,enc-zip4,Pos,0.12,F,Polka_ls
first,copy_intro,Pos,0.06,T,Polka_ls
first,mc91_99,Pos,0.09,F,Polka_ls
first,for_bounded_loop1,Pos,1.09,T,Polka_ls
first,enc-rev_accum,Pos,0.07,T,Polka_ls
first,inductive1-2,Pos,0.14,T,Polka_ls
first,xy10,Pos,0.18,T,Polka_ls
first,gulwani_cegar1,Pos,0.44,T,Polka_ls
first,hanoi,Pos,1.43,F,Polka_ls
first,inductive4-1,Pos,0.39,F,Polka_ls
first,xy4,Pos,0.24,F,Polka_ls
first,eq,Pos,3.08,T,Polka_ls
first,nested_loop,Pos,3.08,T,Polka_ls
first,mult_twice,Pos,0.23,F,Polka_ls
first,mc91,Pos,0.13,F,Polka_ls
first,inductive4,Pos,0.18,T,Polka_ls
first,sum_intro,Pos,0.09,T,Polka_ls
first,inductive6-2,Pos,0.01,T,Polka_ls
first,file,Pos,1.19,F,Polka_ls
first,enc-zip_map2,Pos,0.18,F,Polka_ls
first,mult,Pos,0.11,T,Polka_ls
first,is_prime,Pos,0.62,T,Polka_ls
first,map_map,Pos,0.06,T,Polka_ls
first,ack,Pos,1.07,T,Polka_ls
first,inductive3,Pos,0.02,T,Polka_ls
first,sum6,Pos,0.05,F,Polka_ls
first,inductive2,Pos,0.02,T,Polka_ls
first,inductivea,Pos,0.18,T,Polka_ls
first,substring1,Pos,0.28,T,Polka_ls
first,inductive3-2,Pos,0.04,T,Polka_ls
first,odd_even,Pos,0.09,F,Polka_ls
first,fib,Pos,0.08,T,Polka_ls
first,xyz2,Pos,0.94,T,Polka_ls
first,gib,Pos,0.75,F,Polka_ls
first,pldi082_unbounded2,Pos,0.16,T,Polka_ls
first,inductive5,Pos,0.02,T,Polka_ls
first,xy0,Pos,0.06,T,Polka_ls
first,prog2,Pos,0.06,T,Polka_ls
first,enc-rev_append,Pos,0.23,T,Polka_ls
first,flow,Pos,0.0,T,Polka_ls
first,inductive3-3,Pos,0.02,T,Polka_ls
first,gib2,Pos,0.48,T,Polka_ls
first,inductive6,Pos,0.01,T,Polka_ls
first,half,Pos,0.31,F,Polka_ls
first,up2,Pos,0.65,T,Polka_ls
first,sum2,Pos,0.05,F,Polka_ls
first,01_ic3,Pos,0.06,T,Polka_ls
first,mc91_95,Pos,0.09,F,Polka_ls
first,map,Pos,0.03,T,Polka_ls
first,enc-zipmap,Pos,0.2,F,Polka_ls
first,lock,Pos,0.01,F,Polka_ls
first,sum,Pos,0.04,T,Polka_ls
array,a-reverse,Pos,0.62,T,Polka_ls
array,bcopy,Pos,0.79,T,Polka_ls
array,a-split,Pos,4.22,T,Polka_ls
array,a-mapi,Pos,1.86,T,Polka_ls
array,a-iter,Pos,0.53,T,Polka_ls
array,a-dropn,Pos,8.48,T,Polka_ls
array,a-sub,Pos,2.32,T,Polka_ls
array,a-append,Pos,3.18,T,Polka_ls
array,a-init2,Pos,0.28,F,Polka_ls
array,a-init1,Pos,0.47,F,Polka_ls
array,a-map,Pos,1.64,T,Polka_ls
array,a-dotprod,Pos,1.29,T,Polka_ls
array,a-copy-print,Pos,1.16,T,Polka_ls
high,app-nonrec,Pos,0.01,T,Polka_ls
high,exc-simple,Pos,0.01,T,Polka_ls
high,kmp,Pos,13.16,T,Polka_ls
high,repeat,Pos,0.22,T,Polka_ls
high,max,Pos,0.09,T,Polka_ls
high,hrec,Pos,0.65,T,Polka_ls
high,bcopy,Pos,0.6,T,Polka_ls
high,fact_exn,Pos,0.07,T,Polka_ls
high,intro-ord3,Pos,0.62,T,Polka_ls
high,apply-cr,Pos,0.06,T,Polka_ls
high,twice,Pos,0.02,T,Polka_ls
high,foldr,Pos,1.11,T,Polka_ls
high,flip_twice_2,Pos,0.11,F,Polka_ls
high,dotprod3,Pos,1.11,F,Polka_ls
high,map_2,Pos,0.48,T,Polka_ls
high,inc3,Pos,0.38,F,Polka_ls
high,recursive,Pos,0.66,T,Polka_ls
high,call_back,Pos,0.01,T,Polka_ls
high,mixed_id,Pos,0.01,T,Polka_ls
high,dotprod4,Pos,1.3,F,Polka_ls
high,bsearch,Pos,1.08,T,Polka_ls
high,intro-ord2,Pos,0.21,T,Polka_ls
high,apply_twice,Pos,0.04,T,Polka_ls
high,intro1,Pos,0.01,T,Polka_ls
high,array_init,Pos,0.56,T,Polka_ls
high,neg2,Pos,0.03,T,Polka_ls
high,exc-fact,Pos,0.08,T,Polka_ls
high,bcopy5,Pos,1.82,F,Polka_ls
high,sum_cps,Pos,0.19,F,Polka_ls
high,a-max,Pos,1.03,T,Polka_ls
high,foldl,Pos,0.7,T,Polka_ls
high,bcopy2,Pos,0.81,F,Polka_ls
high,queen,Pos,65.01,T,Polka_ls
high,bcopy3,Pos,0.45,F,Polka_ls
high,intro3,Pos,0.01,T,Polka_ls
high,dotprod5,Pos,1.79,F,Polka_ls
high,dotprod,Pos,1.3,T,Polka_ls
high,inc4,Pos,1.75,F,Polka_ls
high,flip_twice_1,Pos,0.7,T,Polka_ls
high,hors,Pos,0.21,T,Polka_ls
high,app-lin-ord3,Pos,0.19,T,Polka_ls
high,repeat4,Pos,0.13,T,Polka_ls
high,neg1,Pos,0.06,T,Polka_ls
high,enc-zip_unzip,Pos,1.03,T,Polka_ls
high,app-succ,Pos,0.61,T,Polka_ls
high,intro2,Pos,0.01,T,Polka_ls
high,a-init,Pos,0.81,T,Polka_ls
high,dotprod_lin,Pos,3.56,F,Polka_ls
high,power,Pos,0.31,T,Polka_ls
high,dotprod2,Pos,0.57,T,Polka_ls
high,a-dotprod,Pos,1.31,F,Polka_ls
high,a-copy-print,Pos,2.97,F,Polka_ls
high,app-lin-ord2,Pos,0.05,T,Polka_ls
high,sigma_sum,Pos,0.14,T,Polka_ls
high,repeat_mochi,Pos,0.22,T,Polka_ls
high,multi_compose,Pos,0.09,T,Polka_ls
high,bcopy4,Pos,0.38,T,Polka_ls
high,exception,Pos,0.01,T,Polka_ls
high,repeat_order,Pos,0.22,T,Polka_ls
high,apply,Pos,0.02,T,Polka_ls
high,mc91_cps,Pos,0.22,F,Polka_ls
