subdir,file name,test class,timing (seconds),res (true/false),domain
array,a-copy-print,Pos,5.61,T,Ppl_st
array,a-split,Pos,12.34,T,Ppl_st
array,a-dropn,Pos,35.77,T,Ppl_st
array,a-sub,Pos,13.34,T,Ppl_st
array,bcopy,Pos,5.4,T,Ppl_st
array,a-init1,Pos,3.08,F,Ppl_st
array,a-map,Pos,5.06,T,Ppl_st
array,a-iter,Pos,1.87,T,Ppl_st
array,a-dotprod,Pos,6.71,T,Ppl_st
array,a-reverse,Pos,2.13,T,Ppl_st
array,a-mapi,Pos,6.1,T,Ppl_st
array,a-init2,Pos,1.6,F,Ppl_st
array,a-append,Pos,8.15,T,Ppl_st
first,inductive6-2,Pos,0.19,T,Ppl_st
first,mc91_99,Pos,0.52,F,Ppl_st
first,enc-rev_append-2,Pos,0.74,T,Ppl_st
first,gib2,Pos,3.24,T,Ppl_st
first,enc-zip3,Pos,0.59,T,Ppl_st
first,substring2,Pos,2.58,T,Ppl_st
first,half,Pos,3.18,F,Ppl_st
first,mult,Pos,0.57,T,Ppl_st
first,sum4,Pos,0.26,F,Ppl_st
first,fxx,Pos,0.11,T,Ppl_st
first,nested_loop,Pos,10.95,T,Ppl_st
first,map,Pos,0.24,T,Ppl_st
first,enc-zipmap,Pos,0.99,F,Ppl_st
first,mc91_98,Pos,0.52,F,Ppl_st
first,enc-zip_map2,Pos,1.09,T,Ppl_st
first,inductive6,Pos,0.11,T,Ppl_st
first,copy_intro,Pos,0.31,T,Ppl_st
first,pldi082_unbounded1,Pos,1.41,T,Ppl_st
first,inductivea,Pos,1.42,T,Ppl_st
first,eq,Pos,22.32,T,Ppl_st
first,flow,Pos,0.04,T,Ppl_st
first,inductive2,Pos,0.11,T,Ppl_st
first,inductive1-3,Pos,0.7,T,Ppl_st
first,inductive3,Pos,0.14,T,Ppl_st
first,enc-zip_map,Pos,1.03,T,Ppl_st
first,inductive1-2,Pos,1.56,F,Ppl_st
first,gulwani_cegar1,Pos,4.2,T,Ppl_st
first,xyz2,Pos,0.03,T,Ppl_st
first,xy10,Pos,1.24,T,Ppl_st
first,01_ic3,Pos,0.37,T,Ppl_st
first,hanoi,Pos,7.83,F,Ppl_st
first,addition,Pos,1.05,T,Ppl_st
first,sum,Pos,0.24,T,Ppl_st
first,up_down_stair,Pos,5.26,T,Ppl_st
first,up2,Pos,3.29,T,Ppl_st
first,inductive1-1,Pos,0.69,T,Ppl_st
first,mc91_95,Pos,0.49,F,Ppl_st
first,inductive4,Pos,1.79,F,Ppl_st
first,lock,Pos,0.46,F,Ppl_st
first,mc91,Pos,0.72,F,Ppl_st
first,xyz,Pos,0.04,T,Ppl_st
first,enc-rev_accum,Pos,0.57,T,Ppl_st
first,inductive5,Pos,0.32,T,Ppl_st
first,seq-len,Pos,23.05,F,Ppl_st
first,inductive3-2,Pos,0.15,T,Ppl_st
first,pldi082_unbounded2,Pos,0.87,T,Ppl_st
first,file,Pos,18.38,T,Ppl_st
first,xy4,Pos,0.03,T,Ppl_st
first,sum_intro,Pos,0.89,F,Ppl_st
first,is_prime,Pos,1.76,T,Ppl_st
first,for_bounded_loop1,Pos,3.71,T,Ppl_st
first,map_map,Pos,0.37,T,Ppl_st
first,xy0,Pos,0.47,T,Ppl_st
first,prog2,Pos,0.28,T,Ppl_st
first,sum3,Pos,0.26,F,Ppl_st
first,fib,Pos,0.52,F,Ppl_st
first,svd,Pos,116.36,T,Ppl_st
first,ack,Pos,5.22,F,Ppl_st
first,enc-zip,Pos,0.61,F,Ppl_st
first,gcd,Pos,2.45,F,Ppl_st
first,sum6,Pos,0.26,F,Ppl_st
first,enc-zip4,Pos,0.65,F,Ppl_st
