subdir,file name,test class,timing (seconds),res (true/false),domain
first,fxx,Pos,0.01,T,Oct
first,sum3,Pos,0.02,T,Oct
first,mc91_98,Pos,0.03,T,Oct
first,pldi082_unbounded1,Pos,0.74,T,Oct
first,seq-len,Pos,0.17,T,Oct
first,addition,Pos,0.26,T,Oct
first,inductive5-2,Pos,0.06,T,Oct
first,substring2,Pos,0.26,T,Oct
first,svd,Pos,timeout,ER,Oct
first,inductive,Pos,3.98,T,Oct
first,sum4,Pos,0.02,T,Oct
first,enc-zip3,Pos,0.13,T,Oct
first,gcd,Pos,0.4,T,Oct
first,inductive1-3,Pos,1.12,T,Oct
first,enc-zip_map,Pos,0.14,T,Oct
first,enc-zip,Pos,0.11,F,Oct
first,xyz,Pos,0.13,T,Oct
first,recHanoi03,Pos,0.02,T,Oct
first,up_down_stair,Pos,0.13,T,Oct
first,seq-len1,Pos,0.24,T,Oct
first,inductive6-3,Pos,0.01,F,Oct
first,enc-zip4,Pos,0.1,F,Oct
first,copy_intro,Pos,0.03,T,Oct
first,mc91_99,Pos,0.03,T,Oct
first,for_bounded_loop1,Pos,1.05,F,Oct
first,enc-rev_accum,Pos,0.06,T,Oct
first,inductive1-2,Pos,1.19,T,Oct
first,xy10,Pos,0.17,T,Oct
first,gulwani_cegar1,Pos,0.32,T,Oct
first,hanoi,Pos,1.61,T,Oct
first,inductive4-1,Pos,1.99,T,Oct
first,xy4,Pos,0.05,T,Oct
first,eq,Pos,14.03,T,Oct
first,nested_loop,Pos,0.41,T,Oct
first,mult_twice,Pos,0.1,T,Oct
first,mc91,Pos,0.03,T,Oct
first,inductive4,Pos,1.04,T,Oct
first,sum_intro,Pos,0.02,T,Oct
first,inductive6-2,Pos,0.01,T,Oct
first,file,Pos,1.11,F,Oct
first,enc-zip_map2,Pos,0.11,F,Oct
first,mult,Pos,0.07,T,Oct
first,is_prime,Pos,3.8,T,Oct
first,map_map,Pos,0.02,T,Oct
first,ack,Pos,0.55,T,Oct
first,inductive3,Pos,0.01,T,Oct
first,sum6,Pos,0.02,T,Oct
first,inductive2,Pos,0.02,T,Oct
first,inductivea,Pos,0.18,T,Oct
first,substring1,Pos,0.21,T,Oct
first,inductive3-2,Pos,0.02,T,Oct
first,odd_even,Pos,0.08,T,Oct
first,fib,Pos,0.06,T,Oct
first,xyz2,Pos,0.13,T,Oct
first,gib,Pos,0.75,T,Oct
first,pldi082_unbounded2,Pos,0.33,T,Oct
first,inductive5,Pos,0.06,T,Oct
first,xy0,Pos,0.05,T,Oct
first,prog2,Pos,0.06,T,Oct
first,enc-rev_append,Pos,0.15,T,Oct
first,flow,Pos,0.0,T,Oct
first,inductive3-3,Pos,0.02,T,Oct
first,gib2,Pos,0.7,T,Oct
first,inductive6,Pos,0.01,T,Oct
first,half,Pos,0.84,F,Oct
first,up2,Pos,0.15,T,Oct
first,sum2,Pos,0.02,T,Oct
first,01_ic3,Pos,0.07,T,Oct
first,mc91_95,Pos,0.03,T,Oct
first,map,Pos,0.02,T,Oct
first,enc-zipmap,Pos,0.11,F,Oct
first,lock,Pos,0.01,T,Oct
first,sum,Pos,0.02,T,Oct
array,a-reverse,Pos,1.07,T,Oct
array,bcopy,Pos,0.99,T,Oct
array,a-split,Pos,9.35,T,Oct
array,a-mapi,Pos,3.01,T,Oct
array,a-iter,Pos,0.94,T,Oct
array,a-dropn,Pos,43.98,T,Oct
array,a-sub,Pos,3.94,T,Oct
array,a-append,Pos,4.86,T,Oct
array,a-init2,Pos,0.38,F,Oct
array,a-init1,Pos,1.15,F,Oct
array,a-map,Pos,2.43,T,Oct
array,a-dotprod,Pos,1.48,T,Oct
array,a-copy-print,Pos,0.68,T,Oct
high,app-nonrec,Pos,0.01,T,Oct
high,exc-simple,Pos,0.01,T,Oct
high,kmp,Pos,0.09,T,Oct
high,repeat,Pos,0.11,T,Oct
high,max,Pos,0.01,T,Oct
high,hrec,Pos,0.86,T,Oct
high,bcopy,Pos,0.8,T,Oct
high,fact_exn,Pos,0.12,T,Oct
high,intro-ord3,Pos,1.2,T,Oct
high,apply-cr,Pos,0.07,T,Oct
high,twice,Pos,0.02,T,Oct
high,foldr,Pos,0.63,T,Oct
high,flip_twice_2,Pos,0.07,F,Oct
high,dotprod3,Pos,0.16,T,Oct
high,map_2,Pos,0.15,T,Oct
high,inc3,Pos,0.21,T,Oct
high,recursive,Pos,0.87,T,Oct
high,call_back,Pos,0.01,F,Oct
high,mixed_id,Pos,0.0,T,Oct
high,dotprod4,Pos,0.19,T,Oct
high,bsearch,Pos,1.89,F,Oct
high,intro-ord2,Pos,0.34,T,Oct
high,apply_twice,Pos,0.03,T,Oct
high,intro1,Pos,0.01,T,Oct
high,array_init,Pos,0.09,T,Oct
high,neg2,Pos,0.02,F,Oct
high,exc-fact,Pos,0.12,T,Oct
high,bcopy5,Pos,0.09,T,Oct
high,sum_cps,Pos,0.17,T,Oct
high,a-max,Pos,1.61,T,Oct
high,foldl,Pos,1.11,T,Oct
high,bcopy2,Pos,0.53,T,Oct
high,queen,Pos,0.46,T,Oct
high,bcopy3,Pos,0.52,T,Oct
high,intro3,Pos,0.01,T,Oct
high,dotprod5,Pos,0.08,T,Oct
high,dotprod,Pos,0.3,T,Oct
high,inc4,Pos,0.02,T,Oct
high,flip_twice_1,Pos,0.67,F,Oct
high,hors,Pos,0.4,T,Oct
high,app-lin-ord3,Pos,0.07,F,Oct
high,repeat4,Pos,0.04,T,Oct
high,neg1,Pos,0.05,T,Oct
high,enc-zip_unzip,Pos,1.68,T,Oct
high,app-succ,Pos,1.13,T,Oct
high,intro2,Pos,0.01,T,Oct
high,a-init,Pos,0.12,T,Oct
high,dotprod_lin,Pos,0.24,T,Oct
high,power,Pos,0.05,T,Oct
high,dotprod2,Pos,1.28,T,Oct
high,a-dotprod,Pos,0.19,T,Oct
high,a-copy-print,Pos,0.04,T,Oct
high,app-lin-ord2,Pos,0.02,F,Oct
high,sigma_sum,Pos,0.12,T,Oct
high,repeat_mochi,Pos,0.11,T,Oct
high,multi_compose,Pos,0.05,F,Oct
high,bcopy4,Pos,0.69,T,Oct
high,exception,Pos,0.01,T,Oct
high,repeat_order,Pos,0.11,T,Oct
high,apply,Pos,0.02,T,Oct
high,mc91_cps,Pos,0.29,T,Oct
high,inc,Pos,0.14,T,Oct
termination,up_down06,Pos,23.06,T,Oct
termination,CE-1CFA03,Pos,28.38,T,Oct
termination,zip02,Pos,2.52,T,Oct
termination,binomial05,Pos,0.0,T,Oct
termination,append02,Pos,0.0,T,Oct
termination,CE-1CFA08,Pos,89.26,T,Oct
termination,toChurch01,Pos,22.51,T,Oct
termination,CE-Jones_Bohr02,Pos,9.68,T,Oct
termination,CE-1CFA06,Pos,90.05,T,Oct
termination,binomial03,Pos,0.01,T,Oct
termination,binomial02,Pos,0.0,T,Oct
termination,toChurch05,Pos,72.36,T,Oct
termination,up_down04,Pos,3.43,T,Oct
termination,Ackermann03,Pos,0.0,T,Oct
termination,CE-1CFA09,Pos,106.24,T,Oct
termination,x_plus_2_pow_n02,Pos,0.53,T,Oct
termination,CE-0CFA05,Pos,240.52,T,Oct
termination,binomial00,Pos,0.0,T,Oct
termination,indirectHO03,Pos,0.09,T,Oct
termination,Ackermann01,Pos,64.66,T,Oct
termination,churchNum03,Pos,280.35,T,Oct
termination,CE-1CFA01,Pos,26.52,T,Oct
termination,alias_partial00,Pos,0.09,T,Oct
termination,Fibonacci00,Pos,0.52,T,Oct
termination,CE-0CFA00,Pos,8.06,T,Oct
termination,McCarthy9102,Pos,0.28,T,Oct
termination,CE-1CFA02,Pos,28.45,T,Oct
termination,toChurch04,Pos,122.65,T,Oct
termination,indirect02,Pos,0.16,T,Oct
termination,CE-0CFA01,Pos,7.27,T,Oct
termination,toChurch03,Pos,115.67,T,Oct
termination,Ackermann02,Pos,0.0,T,Oct
termination,zip01,Pos,7.35,T,Oct
termination,append00,Pos,0.01,T,Oct
termination,indirect00,Pos,0.05,T,Oct
termination,alias_partial02,Pos,0.13,T,Oct
termination,x_plus_2_pow_n00,Pos,0.45,T,Oct
termination,Fibonacci02,Pos,1.05,T,Oct
termination,x_plus_2_pow_n04,Pos,0.41,T,Oct
termination,binomial01,Pos,0.0,T,Oct
termination,up_down03,Pos,3.33,T,Oct
termination,x_plus_2_pow_n03,Pos,0.66,T,Oct
termination,up_down01,Pos,3.34,T,Oct
termination,alias_partial01,Pos,0.1,T,Oct
termination,churchNum01,Pos,16.62,T,Oct
termination,CE-0CFA02,Pos,7.71,T,Oct
termination,Fibonacci03,Pos,1.0,T,Oct
termination,Ackermann04,Pos,0.01,T,Oct
termination,McCarthy9101,Pos,0.4,T,Oct
termination,toChurch00,Pos,266.53,T,Oct
termination,indirectHO02,Pos,0.21,T,Oct
termination,up_down00,Pos,3.25,T,Oct
termination,CE-1CFA00,Pos,28.46,T,Oct
termination,up_down05,Pos,3.44,T,Oct
termination,CE-Jones_Bohr03,Pos,1.89,T,Oct
termination,CE-1CFA04,Pos,210.94,T,Oct
termination,CE-0CFA04,Pos,35.4,T,Oct
termination,indirectHO01,Pos,0.12,T,Oct
termination,McCarthy9100,Pos,0.31,T,Oct
termination,alias_partial03,Pos,0.1,T,Oct
termination,indirectHO00,Pos,0.05,T,Oct
termination,Ackermann05,Pos,0.01,T,Oct
termination,CE-0CFA03,Pos,7.57,T,Oct
termination,zip00,Pos,6.6,T,Oct
termination,churchNum02,Pos,timeout,ER,Oct
termination,CE-1CFA07,Pos,87.58,T,Oct
termination,Ackermann00,Pos,59.36,T,Oct
termination,toChurch02,Pos,22.83,T,Oct
termination,indirect03,Pos,0.13,T,Oct
termination,CE-1CFA05,Pos,timeout,ER,Oct
termination,binomial04,Pos,0.0,T,Oct
termination,Ackermann06,Pos,0.01,T,Oct
termination,McCarthy9103,Pos,0.14,T,Oct
termination,append01,Pos,0.0,T,Oct
termination,indirect01,Pos,0.34,T,Oct
termination,up_down02,Pos,3.41,T,Oct
termination,CE-Jones_Bohr01,Pos,31.47,T,Oct
termination,CE-Jones_Bohr00,Pos,8.94,T,Oct
termination,up_down07,Pos,22.34,T,Oct
termination,Fibonacci01,Pos,0.62,T,Oct
negative,repeat,Neg,0.12,F,Oct
negative,zip_unzip,Neg,1.15,T,Oct
negative,ex23,Neg,0.16,F,Oct
negative,xyz,Neg,0.14,F,Oct
negative,binomial00,Neg,8.21,T,Oct
negative,compose,Neg,0.01,T,Oct
negative,ack01false,Neg,0.53,F,Oct
negative,xy10,Neg,0.18,T,Oct
negative,xy4,Neg,0.05,F,Oct
negative,inductive1-1,Neg,1.09,F,Oct
negative,up_down01,Neg,0.42,F,Oct
negative,xyz2,Neg,0.13,F,Oct
negative,indirectHO01,Neg,0.15,F,Oct
negative,x_plus_2_pow_n01,Neg,1.11,F,Oct
negative,zip00,Neg,6.2,F,Oct
negative,CE-Jones_Bohr04,Neg,3.42,T,Oct
negative,01_ic3,Neg,0.04,T,Oct
list,simple,Pos,0.12,T,Oct
list,fold_left,Pos,0.03,T,Oct
list,nth,Pos,0.02,T,Oct
list,fold_fun_list,Pos,0.02,T,Oct
list,zipunzip,Pos,0.03,T,Oct
list,length,Pos,0.02,T,Oct
list,risers,Pos,0.03,T,Oct
list,forall_leq,Pos,0.03,T,Oct
list,isnil,Pos,0.03,T,Oct
list,mem,Pos,0.07,T,Oct
list,fold_div,Pos,0.03,T,Oct
list,mapfilter,Pos,0.1,T,Oct
list,iter,Pos,0.02,T,Oct
list,fold_right,Pos,0.03,T,Oct
list,list_rec,Pos,0.03,T,Oct
list,list,Pos,0.02,T,Oct
list,sieve,Pos,0.08,T,Oct
list,reverse,Pos,0.03,T,Oct
list,introlist,Pos,0.02,T,Oct
list,zip,Pos,0.03,T,Oct
