subdir,file name,test class,timing (seconds),res (true/false),domain
negative,zip00,Neg,9.14,T,Oct
negative,indirectHO01,Neg,0.47,F,Oct
negative,xyz2,Neg,1.1,F,Oct
negative,xy10,Neg,0.79,T,Oct
negative,01_ic3,Neg,0.06,T,Oct
negative,ex23,Neg,0.08,T,Oct
negative,inductive1-1,Neg,0.57,T,Oct
negative,repeat,Neg,0.33,T,Oct
negative,xyz,Neg,1.05,F,Oct
negative,zip_unzip,Neg,0.39,T,Oct
negative,xy4,Neg,0.59,T,Oct
negative,Ackermann00,Neg,9.51,T,Oct
negative,compose,Neg,0.06,T,Oct
negative,up_down01,Neg,7.61,T,Oct
negative,binomial00,Neg,1.28,T,Oct
first,inductive6-2,Pos,0.06,T,Oct
first,mc91_99,Pos,0.41,F,Oct
first,enc-rev_append-2,Pos,0.87,F,Oct
first,gib2,Pos,1.85,T,Oct
first,enc-zip3,Pos,0.6,T,Oct
first,substring2,Pos,1.13,T,Oct
first,mult,Pos,0.63,F,Oct
first,sum4,Pos,0.39,F,Oct
first,fxx,Pos,0.04,T,Oct
first,map,Pos,0.36,T,Oct
first,enc-zipmap,Pos,0.83,T,Oct
first,lcm,Pos,0.18,F,Oct
first,mc91_98,Pos,0.4,F,Oct
first,enc-zip_map2,Pos,0.86,T,Oct
first,inductive6,Pos,0.04,T,Oct
first,copy_intro,Pos,0.32,T,Oct
first,pldi082_unbounded1,Pos,1.69,F,Oct
first,flow,Pos,0.02,T,Oct
first,inductive2,Pos,0.04,T,Oct
first,inductive1-3,Pos,0.76,T,Oct
first,inductive3,Pos,0.04,T,Oct
first,enc-zip_map,Pos,0.78,T,Oct
first,inductive1-2,Pos,0.67,T,Oct
first,gulwani_cegar1,Pos,2.12,T,Oct
first,xyz2,Pos,1.23,F,Oct
first,xy10,Pos,0.88,T,Oct
first,01_ic3,Pos,0.14,T,Oct
first,sum,Pos,0.33,T,Oct
first,up_down_stair,Pos,1.74,T,Oct
first,up2,Pos,1.63,T,Oct
first,inductive1-1,Pos,0.64,T,Oct
first,mc91_95,Pos,0.42,F,Oct
first,inductive4,Pos,0.46,T,Oct
first,lock,Pos,0.13,F,Oct
first,mc91,Pos,0.45,F,Oct
first,xyz,Pos,1.22,F,Oct
first,enc-rev_accum,Pos,0.53,F,Oct
first,inductive5,Pos,0.07,T,Oct
first,seq-len,Pos,6.81,F,Oct
first,inductive3-2,Pos,0.05,T,Oct
first,pldi082_unbounded2,Pos,0.12,T,Oct
first,file,Pos,1.49,T,Oct
first,xy4,Pos,0.76,F,Oct
first,sum_intro,Pos,0.52,T,Oct
first,map_map,Pos,0.38,T,Oct
first,xy0,Pos,0.32,T,Oct
first,prog2,Pos,0.13,T,Oct
first,sum3,Pos,0.34,F,Oct
first,fib,Pos,0.36,T,Oct
first,svd,Pos,16.22,T,Oct
first,ack,Pos,1.13,T,Oct
first,enc-zip,Pos,0.74,T,Oct
first,gcd,Pos,0.13,T,Oct
first,enc-zip4,Pos,0.7,T,Oct
first,recHanoi03,Pos,0.26,T,Oct
first,enc-rev_append-1,Pos,0.81,T,Oct
first,sum2,Pos,0.33,F,Oct
first,gib,Pos,1.86,T,Oct
first,seq-len1,Pos,6.48,T,Oct
first,substring1,Pos,1.08,T,Oct
high,map_2,Pos,0.76,F,Oct
high,flip_twice_1,Pos,0.29,F,Oct
high,fact_exn,Pos,0.5,T,Oct
high,inc,Pos,0.92,T,Oct
high,intro3,Pos,0.06,T,Oct
high,neg1,Pos,0.08,F,Oct
high,repeat_order,Pos,0.5,T,Oct
high,intro-ord2,Pos,1.29,T,Oct
high,foldr,Pos,1.39,T,Oct
high,sum_cps,Pos,0.62,T,Oct
high,sigma_sum,Pos,0.55,T,Oct
high,apply_twice,Pos,0.05,F,Oct
high,intro-ord3,Pos,2.3,T,Oct
high,intro2,Pos,0.05,T,Oct
high,repeat4,Pos,0.35,T,Oct
high,hors,Pos,0.47,T,Oct
high,repeat,Pos,0.54,T,Oct
high,intro1,Pos,0.06,T,Oct
high,app-lin-ord3,Pos,0.33,F,Oct
high,foldl,Pos,1.25,T,Oct
high,hrec,Pos,0.38,T,Oct
high,app-nonrec,Pos,0.06,T,Oct
high,app-lin-ord2,Pos,0.13,F,Oct
high,max,Pos,0.22,F,Oct
high,apply,Pos,0.7,T,Oct
high,twice,Pos,0.06,T,Oct
high,neg2,Pos,0.08,F,Oct
high,exception,Pos,0.05,T,Oct
high,power,Pos,0.91,T,Oct
high,mixed_id,Pos,0.04,T,Oct
high,app-succ,Pos,1.63,T,Oct
high,call_back,Pos,0.05,F,Oct
high,flip_twice_2,Pos,0.1,F,Oct
high,exc-fact,Pos,0.51,T,Oct
high,multi_compose,Pos,0.13,F,Oct
high,recursive,Pos,0.35,T,Oct
high,mc91_cps,Pos,0.83,T,Oct
high,exc-simple,Pos,0.05,T,Oct
array,a-copy-print,Pos,2.12,T,Oct
array,a-split,Pos,4.8,F,Oct
array,a-dropn,Pos,6.84,T,Oct
array,a-sub,Pos,4.0,F,Oct
array,bcopy,Pos,2.65,T,Oct
array,a-init1,Pos,1.96,F,Oct
array,a-map,Pos,1.16,T,Oct
array,a-iter,Pos,0.59,T,Oct
array,a-dotprod,Pos,2.93,T,Oct
array,a-reverse,Pos,0.88,T,Oct
array,a-mapi,Pos,1.29,T,Oct
array,a-init2,Pos,1.2,F,Oct
array,a-append,Pos,2.85,F,Oct
