subdir,file name,test class,timing (seconds),res (true/false)
high,map_2,Pos,0.12,ER
high,flip_twice_1,Pos,0.15,ER
high,fact_exn,Pos,timeout,F
high,inc,Pos,0.59,T
high,intro3,Pos,0.13,F
high,neg1,Pos,0.12,ER
high,repeat_order,Pos,0.26,T
high,intro-ord2,Pos,0.24,T
high,foldr,Pos,0.23,ER
high,sum_cps,Pos,0.15,F
high,sigma_sum,Pos,0.11,ER
high,apply_twice,Pos,0.8,F
high,intro-ord3,Pos,1.71,F
high,intro2,Pos,0.12,F
high,repeat4,Pos,0.24,T
high,hors,Pos,0.16,T
high,repeat,Pos,10.63,F
high,intro1,Pos,0.13,F
high,app-lin-ord3,Pos,0.68,T
high,foldl,Pos,0.13,ER
high,hrec,Pos,0.18,ER
high,app-nonrec,Pos,0.18,T
high,app-lin-ord2,Pos,0.21,T
high,max,Pos,0.1,ER
high,apply,Pos,0.17,F
high,twice,Pos,0.11,ER
high,neg2,Pos,0.78,F
high,exception,Pos,0.14,F
high,power,Pos,0.08,ER
high,mixed_id,Pos,0.14,ER
high,app-succ,Pos,16.59,F
high,call_back,Pos,0.15,ER
high,flip_twice_2,Pos,0.11,ER
high,exc-fact,Pos,timeout,F
high,multi_compose,Pos,0.15,ER
high,recursive,Pos,0.1,ER
high,mc91_cps,Pos,15.56,ER
high,exc-simple,Pos,0.15,T
array,a-copy-print,Pos,0.13,ER
array,a-split,Pos,5.92,T
array,a-dropn,Pos,18.2,ER
array,a-sub,Pos,0.15,ER
array,bcopy,Pos,1.72,ER
array,a-init1,Pos,0.48,ER
array,a-map,Pos,0.13,ER
array,a-iter,Pos,0.17,T
array,a-dotprod,Pos,0.83,T
array,a-reverse,Pos,0.3,T
array,a-mapi,Pos,0.3,ER
array,a-init2,Pos,0.42,ER
array,a-append,Pos,0.17,ER
first,inductive6-2,Pos,0.91,F
first,mc91_99,Pos,0.33,T
first,enc-rev_append-2,Pos,0.29,T
first,gib2,Pos,0.18,T
first,enc-zip3,Pos,0.3,T
first,substring2,Pos,0.87,ER
first,half,Pos,timeout,F
first,mult,Pos,0.2,T
first,sum4,Pos,timeout,F
first,fxx,Pos,0.12,T
first,nested_loop,Pos,timeout,F
first,map,Pos,0.14,T
first,enc-zipmap,Pos,0.28,T
first,mc91_98,Pos,0.3,T
first,enc-zip_map2,Pos,0.29,T
first,inductive6,Pos,0.22,F
first,copy_intro,Pos,0.23,T
first,pldi082_unbounded1,Pos,3.12,ER
first,inductivea,Pos,0.26,T
first,eq,Pos,0.96,T
first,flow,Pos,0.12,ER
first,inductive2,Pos,0.21,ER
first,inductive1-3,Pos,0.17,T
first,inductive3,Pos,0.14,T
first,enc-zip_map,Pos,0.26,T
first,inductive1-2,Pos,0.36,ER
first,gulwani_cegar1,Pos,3.06,ER
first,xyz2,Pos,0.15,ER
first,xy10,Pos,0.94,ER
first,01_ic3,Pos,0.13,T
first,hanoi,Pos,timeout,F
first,addition,Pos,0.2,T
first,sum,Pos,0.17,T
first,up_down_stair,Pos,2.19,ER
first,up2,Pos,0.39,T
first,inductive1-1,Pos,0.17,T
first,mc91_95,Pos,0.29,T
first,inductive4,Pos,0.81,F
first,lock,Pos,0.16,T
first,mc91,Pos,0.31,T
first,xyz,Pos,0.16,ER
first,enc-rev_accum,Pos,0.46,T
first,inductive5,Pos,0.25,ER
first,seq-len,Pos,1.43,ER
first,inductive3-2,Pos,0.15,T
first,pldi082_unbounded2,Pos,timeout,F
first,file,Pos,timeout,F
first,xy4,Pos,0.13,ER
first,sum_intro,Pos,0.19,T
first,is_prime,Pos,0.69,ER
first,for_bounded_loop1,Pos,0.18,T
first,map_map,Pos,0.14,T
first,xy0,Pos,0.27,T
first,prog2,Pos,0.12,T
first,sum3,Pos,0.57,ER
first,fib,Pos,timeout,F
first,svd,Pos,3.36,ER
first,ack,Pos,0.46,T
first,enc-zip,Pos,0.18,T
first,gcd,Pos,0.22,T
first,sum6,Pos,0.33,ER
first,enc-zip4,Pos,0.14,T
first,recHanoi03,Pos,0.14,T
first,enc-rev_append-1,Pos,0.22,T
first,sum2,Pos,0.34,ER
first,gib,Pos,0.18,T
first,mult_twice,Pos,0.41,ER
first,seq-len1,Pos,1.41,ER
first,substring1,Pos,0.66,ER
negative,zip00,Neg,3.55,ER
negative,indirectHO01,Neg,0.09,ER
negative,xyz2,Neg,0.4,ER
negative,xy10,Neg,0.13,T
negative,01_ic3,Neg,0.12,T
negative,ex23,Neg,1.04,ER
negative,inductive1-1,Neg,0.27,ER
negative,repeat,Neg,0.23,T
negative,ack01false,Neg,0.53,ER
negative,xyz,Neg,0.43,ER
negative,zip_unzip,Neg,0.18,T
negative,xy4,Neg,0.33,ER
negative,compose,Neg,0.12,ER
negative,up_down01,Neg,0.13,ER
negative,binomial00,Neg,1.5,ER
