subdir,file name,test class,timing (seconds),res (true/false)
high,map_2,Pos,0.12,ER
high,flip_twice_1,Pos,0.15,ER
high,fact_exn,Pos,timeout,F
high,inc,Pos,0.65,T
high,intro3,Pos,0.12,F
high,neg1,Pos,0.13,ER
high,repeat_order,Pos,0.26,T
high,intro-ord2,Pos,0.28,T
high,foldr,Pos,0.12,ER
high,sum_cps,Pos,0.18,F
high,sigma_sum,Pos,0.14,ER
high,apply_twice,Pos,3.89,F
high,intro-ord3,Pos,1.9,F
high,intro2,Pos,0.14,F
high,repeat4,Pos,0.4,T
high,hors,Pos,0.16,T
high,repeat,Pos,timeout,F
high,intro1,Pos,0.16,F
high,app-lin-ord3,Pos,0.74,F
high,foldl,Pos,0.14,ER
high,hrec,Pos,0.17,ER
high,app-nonrec,Pos,0.15,T
high,app-lin-ord2,Pos,0.22,T
high,max,Pos,0.1,ER
high,apply,Pos,0.16,F
high,twice,Pos,0.1,ER
high,neg2,Pos,11.97,ER
high,exception,Pos,0.15,F
high,power,Pos,2.5,ER
high,mixed_id,Pos,0.13,ER
high,app-succ,Pos,17.57,F
high,call_back,Pos,timeout,F
high,flip_twice_2,Pos,0.11,ER
high,exc-fact,Pos,timeout,F
high,multi_compose,Pos,0.17,ER
high,recursive,Pos,0.11,ER
high,mc91_cps,Pos,timeout,F
high,exc-simple,Pos,0.14,T
array,a-copy-print,Pos,0.14,ER
array,a-split,Pos,timeout,F
array,a-dropn,Pos,timeout,F
array,a-sub,Pos,0.15,ER
array,bcopy,Pos,timeout,F
array,a-init1,Pos,timeout,F
array,a-map,Pos,timeout,F
array,a-iter,Pos,0.2,T
array,a-dotprod,Pos,0.84,T
array,a-reverse,Pos,0.23,T
array,a-mapi,Pos,timeout,F
array,a-init2,Pos,timeout,F
array,a-append,Pos,timeout,F
first,inductive6-2,Pos,0.94,F
first,mc91_99,Pos,0.35,T
first,enc-rev_append-2,Pos,0.32,T
first,gib2,Pos,0.19,T
first,enc-zip3,Pos,0.3,T
first,substring2,Pos,0.17,ER
first,mult,Pos,0.43,T
first,sum4,Pos,timeout,F
first,fxx,Pos,0.13,T
first,map,Pos,0.14,T
first,enc-zipmap,Pos,0.28,T
first,lcm,Pos,timeout,F
first,mc91_98,Pos,0.3,T
first,enc-zip_map2,Pos,0.31,T
first,inductive6,Pos,0.21,F
first,copy_intro,Pos,0.24,T
first,pldi082_unbounded1,Pos,0.2,ER
first,flow,Pos,0.12,ER
first,inductive2,Pos,0.2,ER
first,inductive1-3,Pos,0.18,T
first,inductive3,Pos,0.14,T
first,enc-zip_map,Pos,0.23,T
first,inductive1-2,Pos,0.54,T
first,gulwani_cegar1,Pos,timeout,F
first,xyz2,Pos,0.17,ER
first,xy10,Pos,0.15,ER
first,01_ic3,Pos,0.15,T
first,sum,Pos,0.17,T
first,up_down_stair,Pos,timeout,F
first,up2,Pos,0.38,T
first,inductive1-1,Pos,0.17,T
first,mc91_95,Pos,0.27,T
first,inductive4,Pos,timeout,F
first,lock,Pos,0.16,T
first,mc91,Pos,0.31,T
first,xyz,Pos,0.15,ER
first,enc-rev_accum,Pos,0.46,T
first,inductive5,Pos,0.28,T
first,seq-len,Pos,0.19,ER
first,inductive3-2,Pos,0.24,T
first,pldi082_unbounded2,Pos,0.16,ER
first,file,Pos,timeout,ER
first,xy4,Pos,0.13,ER
first,sum_intro,Pos,0.2,T
first,map_map,Pos,0.14,T
first,xy0,Pos,0.17,ER
first,prog2,Pos,0.12,T
first,sum3,Pos,timeout,F
first,fib,Pos,timeout,F
first,svd,Pos,timeout,F
first,ack,Pos,0.53,T
first,enc-zip,Pos,0.19,T
first,gcd,Pos,0.2,T
first,enc-zip4,Pos,0.14,T
first,recHanoi03,Pos,0.14,T
first,enc-rev_append-1,Pos,0.2,T
first,sum2,Pos,timeout,F
first,gib,Pos,0.21,T
first,seq-len1,Pos,0.23,ER
first,substring1,Pos,0.16,ER
negative,zip00,Neg,timeout,ER
negative,indirectHO01,Neg,0.09,ER
negative,xyz2,Neg,0.43,ER
negative,xy10,Neg,0.13,ER
negative,01_ic3,Neg,0.13,ER
negative,ex23,Neg,timeout,ER
negative,inductive1-1,Neg,timeout,ER
negative,repeat,Neg,1.21,ER
negative,xyz,Neg,0.43,ER
negative,zip_unzip,Neg,1.18,ER
negative,xy4,Neg,0.36,ER
negative,Ackermann00,Neg,2.26,ER
negative,compose,Neg,0.12,ER
negative,up_down01,Neg,0.13,ER
negative,binomial00,Neg,0.19,ER
