subdir,file name,test class,timing (milseconds),res (true/false)
high,map_2,Pos,12.93,T
high,flip_twice_1,Pos,timeout,F
high,fact_exn,Pos,timeout,F
high,inc,Pos,0.85,T
high,intro3,Pos,0.2,T
high,neg1,Pos,0.17,T
high,repeat_order,Pos,0.99,T
high,intro-ord2,Pos,0.96,T
high,foldr,Pos,timeout,F
high,sum_cps,Pos,1.79,T
high,sigma_sum,Pos,timeout,F
high,apply_twice,Pos,0.19,T
high,intro-ord3,Pos,0.84,T
high,intro2,Pos,0.27,T
high,repeat4,Pos,1.91,T
high,hors,Pos,0.17,T
high,repeat,Pos,7.09,T
high,intro1,Pos,0.2,T
high,app-lin-ord3,Pos,0.17,T
high,foldl,Pos,timeout,F
high,hrec,Pos,timeout,F
high,app-nonrec,Pos,0.19,T
high,app-lin-ord2,Pos,0.17,T
high,max,Pos,0.27,T
high,apply,Pos,0.81,T
high,twice,Pos,0.16,T
high,neg2,Pos,0.24,T
high,exception,Pos,0.21,T
high,power,Pos,1.81,T
high,mixed_id,Pos,0.18,T
high,app-succ,Pos,3.9,T
high,call_back,Pos,0.16,T
high,flip_twice_2,Pos,0.19,T
high,exc-fact,Pos,timeout,F
high,multi_compose,Pos,0.17,T
high,recursive,Pos,1.02,T
high,mc91_cps,Pos,timeout,F
high,exc-simple,Pos,0.21,T
array,a-copy-print,Pos,0.15,T
array,a-split,Pos,0.18,T
array,a-dropn,Pos,0.2,T
array,a-sub,Pos,0.2,T
array,bcopy,Pos,0.94,F
array,a-init1,Pos,0.17,T
array,a-map,Pos,0.19,T
array,a-iter,Pos,0.17,T
array,a-dotprod,Pos,0.15,T
array,a-reverse,Pos,0.16,T
array,a-mapi,Pos,0.41,T
array,a-init2,Pos,0.29,F
array,a-append,Pos,0.18,T
first,inductive6-2,Pos,0.16,T
first,mc91_99,Pos,1.77,T
first,enc-rev_append-2,Pos,1.08,T
first,gib2,Pos,10.67,T
first,enc-zip3,Pos,timeout,F
first,substring2,Pos,14.25,T
first,mult,Pos,2.33,T
first,sum4,Pos,timeout,F
first,fxx,Pos,0.23,T
first,map,Pos,2.25,T
first,enc-zipmap,Pos,timeout,F
first,lcm,Pos,timeout,F
first,mc91_98,Pos,1.96,T
first,enc-zip_map2,Pos,timeout,F
first,inductive6,Pos,0.17,T
first,copy_intro,Pos,timeout,F
first,pldi082_unbounded1,Pos,timeout,F
first,flow,Pos,0.16,T
first,inductive2,Pos,0.78,T
first,inductive1-3,Pos,1.76,T
first,inductive3,Pos,0.69,T
first,enc-zip_map,Pos,timeout,F
first,inductive1-2,Pos,3.6,T
first,gulwani_cegar1,Pos,3.32,T
first,xyz2,Pos,1.66,T
first,xy10,Pos,2.66,T
first,01_ic3,Pos,0.2,T
first,sum,Pos,3.35,T
first,up_down_stair,Pos,timeout,F
first,up2,Pos,timeout,F
first,inductive1-1,Pos,7.03,T
first,mc91_95,Pos,1.58,T
first,inductive4,Pos,1.62,T
first,lock,Pos,0.2,T
first,mc91,Pos,timeout,F
first,xyz,Pos,1.91,T
first,enc-rev_accum,Pos,timeout,F
first,inductive5,Pos,0.79,T
first,seq-len,Pos,timeout,F
first,inductive3-2,Pos,1.0,T
first,pldi082_unbounded2,Pos,10.86,T
first,file,Pos,0.18,T
first,xy4,Pos,1.79,T
first,sum_intro,Pos,2.03,T
first,map_map,Pos,1.37,T
first,xy0,Pos,3.02,T
first,prog2,Pos,0.84,T
first,sum3,Pos,1.52,T
first,fib,Pos,3.95,T
first,svd,Pos,timeout,F
first,ack,Pos,1.33,T
first,enc-zip,Pos,timeout,F
first,gcd,Pos,timeout,F
first,enc-zip4,Pos,4.7,T
first,recHanoi03,Pos,1.02,T
first,enc-rev_append-1,Pos,timeout,F
first,sum2,Pos,1.2,T
first,gib,Pos,11.37,T
first,seq-len1,Pos,timeout,F
first,substring1,Pos,12.9,T
negative,zip00,Pos,timeout,F
negative,indirectHO01,Pos,0.3,F
negative,xyz2,Pos,timeout,F
negative,xy10,Pos,timeout,F
negative,01_ic3,Pos,0.46,F
negative,ex23,Pos,0.65,F
negative,inductive1-1,Pos,timeout,F
negative,repeat,Pos,8.55,T
negative,xyz,Pos,timeout,F
negative,zip_unzip,Pos,10.6,T
negative,xy4,Pos,timeout,F
negative,Ackermann00,Pos,3.37,T
negative,compose,Pos,0.22,F
negative,up_down01,Pos,timeout,F
negative,binomial00,Pos,0.31,F
