subdir,file name,test class,timing (seconds),res (true/false)
first,fxx,Pos,0.08,T
first,sum3,Pos,0.1,F
first,mc91_98,Pos,0.11,F
first,pldi082_unbounded1,Pos,0.43,F
first,seq-len,Pos,0.52,F
first,addition,Pos,0.16,T
first,inductive5-2,Pos,0.14,T
first,substring2,Pos,0.23,T
first,svd,Pos,2.25,T
first,inductive,Pos,0.21,F
first,sum4,Pos,0.1,F
first,enc-zip3,Pos,0.15,T
first,gcd,Pos,0.21,T
first,inductive1-3,Pos,0.15,T
first,enc-zip_map,Pos,0.18,T
first,enc-zip,Pos,0.15,T
first,xyz,Pos,0.37,F
first,recHanoi03,Pos,0.11,T
first,up_down_stair,Pos,0.31,T
first,seq-len1,Pos,0.61,F
first,inductive6-3,Pos,0.1,T
first,enc-zip4,Pos,0.16,T
first,copy_intro,Pos,0.09,T
first,mc91_99,Pos,0.11,F
first,for_bounded_loop1,Pos,0.34,T
first,enc-rev_accum,Pos,0.11,T
first,inductive1-2,Pos,0.16,T
first,xy10,Pos,0.19,T
first,gulwani_cegar1,Pos,0.27,F
first,hanoi,Pos,0.45,F
first,inductive4-1,Pos,0.11,T
first,xy4,Pos,0.2,F
first,eq,Pos,0.69,T
first,nested_loop,Pos,0.58,F
first,mult_twice,Pos,0.16,F
first,mc91,Pos,0.11,F
first,inductive4,Pos,0.12,T
first,sum_intro,Pos,0.1,T
first,inductive6-2,Pos,0.09,T
first,file,Pos,0.03,ER
first,enc-zip_map2,Pos,0.18,T
first,mult,Pos,0.12,T
first,is_prime,Pos,0.6,T
first,map_map,Pos,0.09,T
first,ack,Pos,0.18,T
first,inductive3,Pos,0.1,T
first,sum6,Pos,0.1,F
first,inductive2,Pos,0.11,T
first,inductivea,Pos,0.18,T
first,substring1,Pos,0.2,T
first,inductive3-2,Pos,0.13,F
first,odd_even,Pos,0.13,F
first,fib,Pos,0.1,T
first,xyz2,Pos,0.35,F
first,gib,Pos,0.29,T
first,pldi082_unbounded2,Pos,0.34,T
first,inductive5,Pos,0.12,T
first,xy0,Pos,0.14,T
first,prog2,Pos,0.11,T
first,enc-rev_append,Pos,0.15,T
first,flow,Pos,0.06,T
first,inductive3-3,Pos,0.1,T
first,gib2,Pos,0.22,T
first,inductive6,Pos,0.09,T
first,half,Pos,0.18,F
first,up2,Pos,0.36,T
first,sum2,Pos,0.09,F
