subdir,file name,test class,timing (milseconds),res (true/false)
first,fxx,Pos,0.08,T
first,sum3,Pos,0.87,T
first,mc91_98,Pos,1.41,T
first,pldi082_unbounded1,Pos,timeout,F
first,seq-len,Pos,timeout,F
first,addition,Pos,1.32,T
first,inductive5-2,Pos,2.65,T
first,substring2,Pos,146.03,T
first,svd,Pos,4.17,T
first,sum4,Pos,0.86,T
first,enc-zip3,Pos,1.33,T
first,gcd,Pos,2.35,T
first,inductive1-3,Pos,3.65,T
first,enc-zip_map,Pos,3.99,T
first,enc-zip,Pos,1.77,T
first,xyz,Pos,timeout,F
first,recHanoi03,Pos,0.86,T
first,up_down_stair,Pos,7.54,T
first,seq-len1,Pos,timeout,F
first,inductive6-3,Pos,0.13,T
first,enc-zip4,Pos,1.75,T
first,copy_intro,Pos,1.12,T
first,mc91_99,Pos,1.4,T
first,for_bounded_loop1,Pos,2.37,T
first,enc-rev_accum,Pos,1.11,T
first,inductive1-2,Pos,3.64,T
first,xy10,Pos,1.5,T
first,gulwani_cegar1,Pos,2.03,T
first,hanoi,Pos,timeout,F
first,inductive4-1,Pos,2.25,T
first,xy4,Pos,timeout,F
first,eq,Pos,4.5,T
first,nested_loop,Pos,timeout,F
first,mult_twice,Pos,timeout,F
first,mc91,Pos,1.62,T
first,inductive4,Pos,3.29,T
first,sum_intro,Pos,0.83,T
first,inductive6-2,Pos,0.1,T
first,file,Pos,39.35,T
first,enc-zip_map2,Pos,4.48,T
first,inductive1,Pos,8.04,T
first,mult,Pos,1.23,T
first,is_prime,Pos,22.18,T
first,map_map,Pos,1.54,T
first,ack,Pos,2.1,T
first,inductive3,Pos,0.59,T
first,sum6,Pos,0.93,T
first,inductive2,Pos,0.66,T
first,inductivea,Pos,1.16,T
first,substring1,Pos,3.28,T
first,inductive3-2,Pos,2.2,T
first,odd_even,Pos,0.78,F
first,fib,Pos,1.09,T
first,xyz2,Pos,timeout,F
first,gib,Pos,3.61,T
first,pldi082_unbounded2,Pos,2.44,T
first,inductive5,Pos,0.76,T
first,xy0,Pos,0.07,T
first,prog2,Pos,0.73,T
first,enc-rev_append,Pos,4.91,T
