subdir,file name,test class,timing (milseconds),res (true/false)
first,fxx,Pos,timeout,F
first,sum3,Pos,timeout,F
first,mc91_98,Pos,timeout,F
first,pldi082_unbounded1,Pos,timeout,F
first,seq-len,Pos,timeout,F
first,addition,Pos,timeout,F
first,inductive5-2,Pos,timeout,F
first,substring2,Pos,timeout,F
first,svd,Pos,timeout,F
first,inductive,Pos,timeout,F
first,sum4,Pos,timeout,F
first,enc-zip3,Pos,timeout,F
first,gcd,Pos,timeout,F
first,inductive1-3,Pos,timeout,F
first,enc-zip_map,Pos,timeout,F
first,enc-zip,Pos,timeout,F
first,xyz,Pos,timeout,F
first,recHanoi03,Pos,timeout,F
first,up_down_stair,Pos,timeout,F
first,seq-len1,Pos,timeout,F
first,inductive6-3,Pos,timeout,F
first,enc-zip4,Pos,timeout,F
first,copy_intro,Pos,timeout,F
first,mc91_99,Pos,timeout,F
first,for_bounded_loop1,Pos,timeout,F
first,enc-rev_accum,Pos,timeout,F
first,inductive1-2,Pos,timeout,F
first,xy10,Pos,timeout,F
first,gulwani_cegar1,Pos,timeout,F
first,hanoi,Pos,timeout,F
first,inductive4-1,Pos,timeout,F
first,xy4,Pos,timeout,F
first,eq,Pos,timeout,F
first,nested_loop,Pos,timeout,F
first,mult_twice,Pos,timeout,F
first,mc91,Pos,timeout,F
first,inductive4,Pos,timeout,F
first,sum_intro,Pos,timeout,F
first,inductive6-2,Pos,timeout,F
first,file,Pos,timeout,F
first,enc-zip_map2,Pos,timeout,F
first,mult,Pos,timeout,F
first,is_prime,Pos,timeout,F
first,map_map,Pos,timeout,F
first,ack,Pos,timeout,F
first,inductive3,Pos,timeout,F
first,sum6,Pos,timeout,F
first,inductive2,Pos,timeout,F
first,inductivea,Pos,timeout,F
first,substring1,Pos,timeout,F
first,inductive3-2,Pos,timeout,F
first,odd_even,Pos,timeout,F
first,fib,Pos,timeout,F
first,xyz2,Pos,timeout,F
first,gib,Pos,timeout,F
first,pldi082_unbounded2,Pos,timeout,F
first,inductive5,Pos,timeout,F
first,xy0,Pos,timeout,F
first,prog2,Pos,timeout,F
first,enc-rev_append,Pos,timeout,F
first,flow,Pos,timeout,F
first,inductive3-3,Pos,timeout,F
first,gib2,Pos,timeout,F
first,inductive6,Pos,timeout,F
first,half,Pos,timeout,F
first,up2,Pos,timeout,F
first,sum2,Pos,timeout,F
first,01_ic3,Pos,timeout,F
first,mc91_95,Pos,timeout,F
first,map,Pos,timeout,F
first,enc-zipmap,Pos,timeout,F
first,lock,Pos,timeout,F
first,sum,Pos,timeout,F
array,a-reverse,Pos,timeout,F
array,bcopy,Pos,timeout,F
array,a-split,Pos,timeout,F
array,a-mapi,Pos,timeout,F
array,a-iter,Pos,timeout,F
array,a-dropn,Pos,timeout,F
array,a-sub,Pos,timeout,F
array,a-append,Pos,timeout,F
array,a-init2,Pos,timeout,F
array,a-init1,Pos,timeout,F
array,a-map,Pos,timeout,F
array,a-dotprod,Pos,timeout,F
array,a-copy-print,Pos,timeout,F
high,app-nonrec,Pos,timeout,F
high,exc-simple,Pos,timeout,F
high,kmp,Pos,timeout,F
high,repeat,Pos,timeout,F
high,max,Pos,timeout,F
high,hrec,Pos,timeout,F
high,bcopy,Pos,timeout,F
high,fact_exn,Pos,timeout,F
high,intro-ord3,Pos,timeout,F
high,apply-cr,Pos,timeout,F
high,twice,Pos,timeout,F
high,foldr,Pos,timeout,F
high,flip_twice_2,Pos,timeout,F
high,dotprod3,Pos,timeout,F
high,map_2,Pos,timeout,F
high,inc3,Pos,timeout,F
high,recursive,Pos,timeout,F
high,call_back,Pos,timeout,F
high,mixed_id,Pos,timeout,F
high,dotprod4,Pos,timeout,F
high,bsearch,Pos,timeout,F
high,intro-ord2,Pos,timeout,F
high,apply_twice,Pos,timeout,F
high,intro1,Pos,timeout,F
high,array_init,Pos,timeout,F
high,neg2,Pos,timeout,F
high,exc-fact,Pos,timeout,F
high,bcopy5,Pos,timeout,F
high,sum_cps,Pos,timeout,F
high,a-max,Pos,timeout,F
high,foldl,Pos,timeout,F
high,bcopy2,Pos,timeout,F
high,queen,Pos,timeout,F
high,bcopy3,Pos,timeout,F
high,intro3,Pos,timeout,F
high,dotprod5,Pos,timeout,F
high,dotprod,Pos,timeout,F
high,inc4,Pos,timeout,F
high,flip_twice_1,Pos,timeout,F
high,hors,Pos,timeout,F
high,app-lin-ord3,Pos,timeout,F
high,repeat4,Pos,timeout,F
high,neg1,Pos,timeout,F
high,enc-zip_unzip,Pos,timeout,F
high,app-succ,Pos,timeout,F
high,intro2,Pos,timeout,F
high,a-init,Pos,timeout,F
high,dotprod_lin,Pos,timeout,F
high,power,Pos,timeout,F
high,dotprod2,Pos,timeout,F
high,a-dotprod,Pos,timeout,F
high,a-copy-print,Pos,timeout,F
high,app-lin-ord2,Pos,timeout,F
high,sigma_sum,Pos,timeout,F
high,repeat_mochi,Pos,timeout,F
high,multi_compose,Pos,timeout,F
high,bcopy4,Pos,timeout,F
high,exception,Pos,timeout,F
high,repeat_order,Pos,timeout,F
high,apply,Pos,timeout,F
high,mc91_cps,Pos,timeout,F
high,inc,Pos,timeout,F
termination,up_down06,Pos,timeout,F
termination,CE-1CFA03,Pos,timeout,F
termination,zip02,Pos,timeout,F
termination,binomial05,Pos,timeout,F
termination,append02,Pos,timeout,F
termination,CE-1CFA08,Pos,timeout,F
termination,toChurch01,Pos,timeout,F
termination,CE-Jones_Bohr02,Pos,timeout,F
termination,CE-1CFA06,Pos,timeout,F
termination,binomial03,Pos,timeout,F
termination,binomial02,Pos,timeout,F
termination,toChurch05,Pos,timeout,F
termination,up_down04,Pos,timeout,F
termination,Ackermann03,Pos,timeout,F
termination,CE-1CFA09,Pos,timeout,F
termination,x_plus_2_pow_n02,Pos,timeout,F
termination,CE-0CFA05,Pos,timeout,F
termination,binomial00,Pos,timeout,F
termination,indirectHO03,Pos,timeout,F
termination,Ackermann01,Pos,timeout,F
termination,churchNum03,Pos,timeout,F
termination,CE-1CFA01,Pos,timeout,F
termination,alias_partial00,Pos,timeout,F
termination,Fibonacci00,Pos,timeout,F
termination,CE-0CFA00,Pos,timeout,F
termination,McCarthy9102,Pos,timeout,F
termination,CE-1CFA02,Pos,timeout,F
termination,toChurch04,Pos,timeout,F
termination,indirect02,Pos,timeout,F
termination,CE-0CFA01,Pos,timeout,F
termination,toChurch03,Pos,timeout,F
termination,Ackermann02,Pos,timeout,F
termination,zip01,Pos,timeout,F
termination,append00,Pos,timeout,F
termination,indirect00,Pos,timeout,F
termination,alias_partial02,Pos,timeout,F
termination,x_plus_2_pow_n00,Pos,timeout,F
termination,Fibonacci02,Pos,timeout,F
termination,x_plus_2_pow_n04,Pos,timeout,F
termination,binomial01,Pos,timeout,F
termination,up_down03,Pos,timeout,F
termination,x_plus_2_pow_n03,Pos,timeout,F
termination,up_down01,Pos,timeout,F
termination,alias_partial01,Pos,timeout,F
termination,churchNum01,Pos,timeout,F
termination,CE-0CFA02,Pos,timeout,F
termination,Fibonacci03,Pos,timeout,F
termination,Ackermann04,Pos,timeout,F
termination,McCarthy9101,Pos,timeout,F
termination,toChurch00,Pos,timeout,F
termination,indirectHO02,Pos,timeout,F
termination,up_down00,Pos,timeout,F
termination,CE-1CFA00,Pos,timeout,F
termination,up_down05,Pos,timeout,F
termination,CE-Jones_Bohr03,Pos,timeout,F
termination,CE-1CFA04,Pos,timeout,F
termination,CE-0CFA04,Pos,timeout,F
termination,indirectHO01,Pos,timeout,F
termination,McCarthy9100,Pos,timeout,F
termination,alias_partial03,Pos,timeout,F
termination,indirectHO00,Pos,timeout,F
termination,Ackermann05,Pos,timeout,F
termination,CE-0CFA03,Pos,timeout,F
termination,zip00,Pos,timeout,F
termination,churchNum02,Pos,timeout,F
termination,CE-1CFA07,Pos,timeout,F
termination,Ackermann00,Pos,timeout,F
termination,toChurch02,Pos,timeout,F
termination,indirect03,Pos,timeout,F
termination,CE-1CFA05,Pos,timeout,F
termination,binomial04,Pos,timeout,F
termination,Ackermann06,Pos,timeout,F
termination,McCarthy9103,Pos,timeout,F
termination,append01,Pos,timeout,F
termination,indirect01,Pos,timeout,F
termination,up_down02,Pos,timeout,F
termination,CE-Jones_Bohr01,Pos,timeout,F
termination,CE-Jones_Bohr00,Pos,timeout,F
termination,up_down07,Pos,timeout,F
termination,Fibonacci01,Pos,timeout,F
negative,repeat,Neg,timeout,F
negative,zip_unzip,Neg,timeout,F
negative,ex23,Neg,timeout,F
negative,xyz,Neg,timeout,F
negative,binomial00,Neg,timeout,F
negative,compose,Neg,timeout,F
negative,ack01false,Neg,timeout,F
negative,xy10,Neg,timeout,F
negative,xy4,Neg,timeout,F
negative,inductive1-1,Neg,timeout,F
negative,up_down01,Neg,timeout,F
negative,xyz2,Neg,timeout,F
negative,indirectHO01,Neg,timeout,F
negative,x_plus_2_pow_n01,Neg,timeout,F
negative,zip00,Neg,timeout,F
negative,CE-Jones_Bohr04,Neg,timeout,F
negative,01_ic3,Neg,timeout,F
list,simple,Pos,timeout,F
