subdir,file name,test class,timing (milseconds),res (true/false)
first,fxx,Pos,0.01,ER
first,sum3,Pos,0.01,ER
first,mc91_98,Pos,0.01,ER
first,pldi082_unbounded1,Pos,0.01,ER
first,seq-len,Pos,0.01,ER
first,addition,Pos,0.01,ER
first,inductive5-2,Pos,0.01,ER
first,substring2,Pos,0.01,ER
first,svd,Pos,0.03,ER
first,inductive,Pos,0.01,ER
first,sum4,Pos,0.01,ER
first,enc-zip3,Pos,0.01,ER
first,gcd,Pos,0.01,ER
first,inductive1-3,Pos,0.01,ER
first,enc-zip_map,Pos,0.01,ER
first,enc-zip,Pos,0.01,ER
first,xyz,Pos,0.01,ER
first,recHanoi03,Pos,0.01,ER
first,up_down_stair,Pos,0.01,ER
first,seq-len1,Pos,0.01,ER
first,inductive6-3,Pos,0.01,ER
first,enc-zip4,Pos,0.01,ER
first,copy_intro,Pos,0.01,ER
first,mc91_99,Pos,0.01,ER
first,for_bounded_loop1,Pos,0.01,ER
first,enc-rev_accum,Pos,0.01,ER
first,inductive1-2,Pos,0.01,ER
first,xy10,Pos,0.01,ER
first,gulwani_cegar1,Pos,0.01,ER
first,hanoi,Pos,0.01,ER
first,inductive4-1,Pos,0.01,ER
first,xy4,Pos,0.01,ER
first,eq,Pos,0.01,ER
first,nested_loop,Pos,0.01,ER
first,mult_twice,Pos,0.01,ER
first,mc91,Pos,0.01,ER
first,inductive4,Pos,0.01,ER
first,sum_intro,Pos,0.01,ER
first,inductive6-2,Pos,0.01,ER
first,file,Pos,0.01,ER
first,enc-zip_map2,Pos,0.01,ER
first,mult,Pos,0.01,ER
first,is_prime,Pos,0.02,ER
first,map_map,Pos,0.01,ER
first,ack,Pos,0.01,ER
first,inductive3,Pos,0.01,ER
first,sum6,Pos,0.01,ER
first,inductive2,Pos,0.01,ER
first,inductivea,Pos,0.01,ER
first,substring1,Pos,0.01,ER
first,inductive3-2,Pos,0.01,ER
first,odd_even,Pos,0.01,ER
first,fib,Pos,0.01,ER
first,xyz2,Pos,0.01,ER
first,gib,Pos,0.01,ER
first,pldi082_unbounded2,Pos,0.01,ER
first,inductive5,Pos,0.01,ER
first,xy0,Pos,0.01,ER
first,prog2,Pos,0.01,ER
first,enc-rev_append,Pos,0.01,ER
first,flow,Pos,0.01,ER
first,inductive3-3,Pos,0.01,ER
first,gib2,Pos,0.01,ER
first,inductive6,Pos,0.01,ER
first,half,Pos,0.01,ER
first,up2,Pos,0.01,ER
first,sum2,Pos,0.01,ER
first,01_ic3,Pos,0.01,ER
first,mc91_95,Pos,0.01,ER
first,map,Pos,0.01,ER
first,enc-zipmap,Pos,0.01,ER
first,lock,Pos,0.01,ER
first,sum,Pos,0.01,ER
array,a-reverse,Pos,0.01,ER
array,bcopy,Pos,0.01,ER
array,a-split,Pos,0.02,ER
array,a-mapi,Pos,0.02,ER
array,a-iter,Pos,0.01,ER
array,a-dropn,Pos,0.02,ER
array,a-sub,Pos,0.02,ER
array,a-append,Pos,0.02,ER
array,a-init2,Pos,0.01,ER
array,a-init1,Pos,0.01,ER
array,a-map,Pos,0.02,ER
array,a-dotprod,Pos,0.01,ER
array,a-copy-print,Pos,0.02,ER
high,app-nonrec,Pos,0.01,ER
