subdir,file name,test class,timing (milseconds),res (true/false)
first,fxx,Pos,0.01,T
first,sum3,Pos,0.03,T
first,mc91_98,Pos,0.03,T
first,pldi082_unbounded1,Pos,0.03,F
first,seq-len,Pos,0.04,F
first,addition,Pos,timeout,F
first,inductive5-2,Pos,0.02,T
first,substring2,Pos,0.02,F
first,svd,Pos,0.05,F
first,inductive,Pos,0.03,T
first,sum4,Pos,0.03,T
first,enc-zip3,Pos,timeout,F
first,gcd,Pos,0.02,T
first,inductive1-3,Pos,0.02,T
first,enc-zip_map,Pos,timeout,F
first,enc-zip,Pos,timeout,F
first,xyz,Pos,0.06,F
first,recHanoi03,Pos,0.05,T
first,up_down_stair,Pos,0.03,F
first,seq-len1,Pos,timeout,F
first,inductive6-3,Pos,0.02,T
first,enc-zip4,Pos,timeout,F
first,copy_intro,Pos,timeout,F
first,mc91_99,Pos,0.03,T
first,for_bounded_loop1,Pos,0.03,T
first,enc-rev_accum,Pos,timeout,F
first,inductive1-2,Pos,0.02,T
first,xy10,Pos,0.04,F
first,gulwani_cegar1,Pos,0.02,F
first,hanoi,Pos,timeout,F
first,inductive4-1,Pos,0.02,T
first,xy4,Pos,0.03,F
first,eq,Pos,0.01,ER
first,nested_loop,Pos,0.27,T
first,mult_twice,Pos,timeout,F
first,mc91,Pos,0.02,T
first,inductive4,Pos,0.02,T
first,sum_intro,Pos,0.02,T
first,inductive6-2,Pos,0.02,T
first,file,Pos,0.1,T
first,enc-zip_map2,Pos,0.03,T
first,mult,Pos,0.02,T
first,is_prime,Pos,0.11,T
first,map_map,Pos,0.02,T
first,ack,Pos,0.02,T
first,inductive3,Pos,0.02,T
first,sum6,Pos,0.04,T
first,inductive2,Pos,0.02,T
first,inductivea,Pos,timeout,F
first,substring1,Pos,0.02,F
first,inductive3-2,Pos,0.02,T
first,odd_even,Pos,0.01,ER
first,fib,Pos,timeout,F
first,xyz2,Pos,0.06,F
first,gib,Pos,4.02,T
first,pldi082_unbounded2,Pos,0.03,T
first,inductive5,Pos,0.02,T
first,xy0,Pos,0.01,T
first,prog2,Pos,0.02,T
first,enc-rev_append,Pos,timeout,F
first,flow,Pos,0.01,T
first,inductive3-3,Pos,0.02,T
first,gib2,Pos,0.04,T
first,inductive6,Pos,0.01,T
first,half,Pos,0.01,ER
first,up2,Pos,timeout,F
first,sum2,Pos,0.02,T
first,01_ic3,Pos,0.01,T
first,mc91_95,Pos,0.07,T
first,map,Pos,timeout,F
first,enc-zipmap,Pos,0.03,T
first,lock,Pos,0.03,T
first,sum,Pos,0.02,T
array,a-reverse,Pos,0.03,T
array,bcopy,Pos,0.03,T
array,a-split,Pos,0.07,F
array,a-mapi,Pos,0.05,F
array,a-iter,Pos,0.05,F
array,a-dropn,Pos,timeout,F
array,a-sub,Pos,0.06,F
array,a-append,Pos,0.07,F
array,a-init2,Pos,0.06,T
array,a-init1,Pos,0.19,F
array,a-map,Pos,0.06,F
array,a-dotprod,Pos,0.03,T
array,a-copy-print,Pos,0.15,T
high,app-nonrec,Pos,0.01,T
high,exc-simple,Pos,0.01,T
high,kmp,Pos,4.03,T
high,repeat,Pos,timeout,F
high,max,Pos,0.02,T
high,hrec,Pos,0.02,T
high,bcopy,Pos,0.03,T
high,fact_exn,Pos,0.03,T
high,intro-ord3,Pos,0.03,T
high,apply-cr,Pos,0.02,F
high,twice,Pos,0.01,T
high,foldr,Pos,0.03,F
high,flip_twice_2,Pos,0.02,T
high,dotprod3,Pos,0.03,T
high,map_2,Pos,0.02,T
high,inc3,Pos,0.03,T
high,recursive,Pos,0.03,T
high,call_back,Pos,0.01,T
high,mixed_id,Pos,0.01,T
high,dotprod4,Pos,0.03,T
high,bsearch,Pos,0.03,T
