subdir,file name,test class,timing (seconds),res (true/false),domain
array,a-copy-print,Pos,2.3,T,Polka_st
array,a-split,Pos,4.15,T,Polka_st
array,a-dropn,Pos,9.06,T,Polka_st
array,a-sub,Pos,4.35,T,Polka_st
array,bcopy,Pos,1.7,T,Polka_st
array,a-init1,Pos,0.83,F,Polka_st
array,a-map,Pos,2.21,T,Polka_st
array,a-iter,Pos,0.8,T,Polka_st
array,a-dotprod,Pos,2.25,T,Polka_st
array,a-reverse,Pos,0.91,T,Polka_st
array,a-mapi,Pos,2.84,T,Polka_st
array,a-init2,Pos,0.48,F,Polka_st
array,a-append,Pos,3.41,T,Polka_st
negative,zip00,Neg,9.59,T,Polka_st
negative,indirectHO01,Neg,11.4,T,Polka_st
negative,xyz2,Neg,1.38,T,Polka_st
negative,xy10,Neg,0.3,T,Polka_st
negative,01_ic3,Neg,0.08,T,Polka_st
negative,ex23,Neg,0.18,T,Polka_st
negative,inductive1-1,Neg,0.31,T,Polka_st
negative,repeat,Neg,0.25,T,Polka_st
negative,ack01false,Neg,1.96,T,Polka_st
negative,xyz,Neg,1.59,T,Polka_st
negative,zip_unzip,Neg,1.06,T,Polka_st
negative,xy4,Neg,0.34,T,Polka_st
negative,compose,Neg,0.1,T,Polka_st
negative,up_down01,Neg,3.52,T,Polka_st
negative,binomial00,Neg,3.16,T,Polka_st
first,inductive6-2,Pos,0.07,T,Polka_st
first,mc91_99,Pos,0.23,F,Polka_st
first,enc-rev_append-2,Pos,0.28,T,Polka_st
first,gib2,Pos,0.94,T,Polka_st
first,enc-zip3,Pos,0.25,T,Polka_st
first,substring2,Pos,0.59,T,Polka_st
first,half,Pos,0.69,F,Polka_st
first,mult,Pos,0.21,T,Polka_st
first,sum4,Pos,0.12,F,Polka_st
first,fxx,Pos,0.05,T,Polka_st
first,nested_loop,Pos,4.17,T,Polka_st
first,map,Pos,0.11,T,Polka_st
first,enc-zipmap,Pos,0.49,F,Polka_st
first,mc91_98,Pos,0.21,F,Polka_st
first,enc-zip_map2,Pos,0.52,T,Polka_st
first,inductive6,Pos,0.05,T,Polka_st
first,copy_intro,Pos,0.15,T,Polka_st
first,pldi082_unbounded1,Pos,0.72,F,Polka_st
