subdir,file name,test class,timing (seconds),res (true/false)
high,map_2,Pos,0.1,ER
high,flip_twice_1,Pos,0.15,ER
high,fact_exn,Pos,0.14,F
high,inc,Pos,0.12,F
high,intro3,Pos,0.12,F
high,neg1,Pos,0.12,F
high,repeat_order,Pos,0.12,F
high,intro-ord2,Pos,0.12,F
high,foldr,Pos,0.11,ER
high,sum_cps,Pos,0.14,F
high,sigma_sum,Pos,0.1,ER
high,apply_twice,Pos,0.12,F
high,intro-ord3,Pos,0.14,F
high,intro2,Pos,0.11,F
high,repeat4,Pos,0.12,F
high,hors,Pos,0.14,T
high,repeat,Pos,0.13,F
high,intro1,Pos,0.14,F
high,app-lin-ord3,Pos,0.15,F
high,foldl,Pos,0.12,ER
high,hrec,Pos,0.12,F
high,app-nonrec,Pos,0.11,F
high,app-lin-ord2,Pos,0.14,F
high,max,Pos,0.1,ER
high,apply,Pos,0.14,F
high,twice,Pos,0.11,ER
high,neg2,Pos,0.14,F
high,exception,Pos,0.11,F
high,power,Pos,0.08,ER
high,mixed_id,Pos,0.14,F
high,app-succ,Pos,0.15,F
high,call_back,Pos,0.12,F
high,flip_twice_2,Pos,0.11,ER
high,exc-fact,Pos,0.13,F
high,multi_compose,Pos,0.15,F
high,recursive,Pos,0.1,ER
high,mc91_cps,Pos,0.12,F
high,exc-simple,Pos,0.12,F
array,a-copy-print,Pos,0.11,ER
array,a-split,Pos,0.15,ER
array,a-dropn,Pos,0.15,ER
array,a-sub,Pos,0.15,ER
array,bcopy,Pos,0.12,ER
array,a-init1,Pos,0.12,ER
array,a-map,Pos,0.14,ER
array,a-iter,Pos,0.14,T
array,a-dotprod,Pos,0.11,ER
array,a-reverse,Pos,0.11,ER
array,a-mapi,Pos,0.12,ER
array,a-init2,Pos,0.12,ER
array,a-append,Pos,0.13,ER
first,inductive6-2,Pos,0.13,F
first,mc91_99,Pos,0.08,ER
first,enc-rev_append-2,Pos,0.09,ER
first,gib2,Pos,0.11,ER
first,enc-zip3,Pos,0.1,ER
first,substring2,Pos,0.11,ER
first,half,Pos,0.11,ER
first,mult,Pos,0.09,ER
first,sum4,Pos,0.09,ER
first,fxx,Pos,0.08,ER
first,nested_loop,Pos,0.12,ER
first,map,Pos,0.08,ER
first,enc-zipmap,Pos,0.1,ER
first,mc91_98,Pos,0.1,ER
first,enc-zip_map2,Pos,0.11,ER
first,inductive6,Pos,0.12,F
first,copy_intro,Pos,0.11,ER
first,pldi082_unbounded1,Pos,0.12,ER
first,inductivea,Pos,0.1,ER
first,eq,Pos,0.13,ER
first,flow,Pos,0.12,ER
first,inductive2,Pos,0.08,ER
first,inductive1-3,Pos,0.1,ER
first,inductive3,Pos,0.08,ER
first,enc-zip_map,Pos,0.1,ER
first,inductive1-2,Pos,0.1,ER
first,gulwani_cegar1,Pos,0.11,ER
first,xyz2,Pos,0.09,ER
first,xy10,Pos,0.09,ER
first,01_ic3,Pos,0.08,ER
first,hanoi,Pos,0.11,ER
first,addition,Pos,0.1,ER
first,sum,Pos,0.1,ER
first,up_down_stair,Pos,0.11,ER
first,up2,Pos,0.1,ER
first,inductive1-1,Pos,0.1,ER
first,mc91_95,Pos,0.11,ER
first,inductive4,Pos,0.13,F
first,lock,Pos,0.09,ER
first,mc91,Pos,0.09,ER
first,xyz,Pos,0.1,ER
first,enc-rev_accum,Pos,0.09,ER
first,inductive5,Pos,0.1,ER
first,seq-len,Pos,0.12,ER
first,inductive3-2,Pos,0.09,ER
first,pldi082_unbounded2,Pos,0.12,ER
first,file,Pos,0.13,ER
first,xy4,Pos,0.09,ER
first,sum_intro,Pos,0.1,ER
first,is_prime,Pos,0.14,ER
first,for_bounded_loop1,Pos,0.1,ER
first,map_map,Pos,0.09,ER
first,xy0,Pos,0.09,ER
first,prog2,Pos,0.08,ER
first,sum3,Pos,0.09,ER
first,fib,Pos,0.09,ER
first,svd,Pos,0.23,ER
first,ack,Pos,0.1,ER
first,enc-zip,Pos,0.1,ER
first,gcd,Pos,0.11,ER
first,sum6,Pos,0.09,ER
first,enc-zip4,Pos,0.09,ER
first,recHanoi03,Pos,0.09,ER
first,enc-rev_append-1,Pos,0.1,ER
first,sum2,Pos,0.1,ER
first,gib,Pos,0.1,ER
first,mult_twice,Pos,0.09,ER
first,seq-len1,Pos,0.12,ER
first,substring1,Pos,0.11,ER
negative,zip00,Neg,0.12,ER
negative,indirectHO01,Neg,0.07,ER
negative,xyz2,Neg,0.1,ER
negative,xy10,Neg,0.09,ER
negative,01_ic3,Neg,0.1,ER
negative,ex23,Neg,0.09,ER
negative,inductive1-1,Neg,0.1,ER
negative,repeat,Neg,0.12,T
negative,ack01false,Neg,0.1,ER
negative,xyz,Neg,0.12,ER
negative,zip_unzip,Neg,0.14,T
negative,xy4,Neg,0.1,ER
negative,compose,Neg,0.12,T
negative,up_down01,Neg,0.14,ER
negative,binomial00,Neg,0.15,ER
