subdir,file name,test class,timing (seconds),res (true/false)
high,map_2,Pos,0.44,F
high,flip_twice_1,Pos,0.46,T
high,fact_exn,Pos,0.3,T
high,inc,Pos,0.44,T
high,intro3,Pos,0.28,T
high,neg1,Pos,0.32,F
high,repeat_order,Pos,0.35,T
high,intro-ord2,Pos,0.3,T
high,foldr,Pos,0.47,T
high,sum_cps,Pos,0.29,T
high,sigma_sum,Pos,0.33,T
high,apply_twice,Pos,0.29,F
high,intro-ord3,Pos,0.4,T
high,intro2,Pos,0.27,T
high,repeat4,Pos,0.3,T
high,hors,Pos,0.29,T
high,repeat,Pos,0.33,T
high,intro1,Pos,0.27,T
high,app-lin-ord3,Pos,0.43,T
high,foldl,Pos,0.41,T
high,hrec,Pos,0.26,T
high,app-nonrec,Pos,0.28,T
high,app-lin-ord2,Pos,0.32,T
high,max,Pos,0.39,F
high,apply,Pos,0.31,F
high,twice,Pos,0.3,T
high,neg2,Pos,0.32,F
high,exception,Pos,0.28,T
high,power,Pos,0.34,T
high,mixed_id,Pos,0.27,T
high,app-succ,Pos,0.34,T
high,call_back,Pos,0.29,T
high,flip_twice_2,Pos,0.32,F
high,exc-fact,Pos,0.34,T
high,multi_compose,Pos,0.35,F
high,recursive,Pos,0.3,T
high,mc91_cps,Pos,0.34,F
high,exc-simple,Pos,0.27,T
array,a-copy-print,Pos,0.64,T
array,a-split,Pos,1.02,T
array,a-dropn,Pos,1.92,F
array,a-sub,Pos,0.98,T
array,bcopy,Pos,0.51,T
array,a-init1,Pos,0.47,F
array,a-map,Pos,0.66,T
array,a-iter,Pos,0.39,T
array,a-dotprod,Pos,0.11,ER
array,a-reverse,Pos,0.44,T
array,a-mapi,Pos,1.03,T
array,a-init2,Pos,0.42,F
array,a-append,Pos,0.96,F
first,inductive6-2,Pos,0.29,T
first,mc91_99,Pos,0.29,F
first,enc-rev_append-2,Pos,0.32,T
first,gib2,Pos,0.45,T
first,enc-zip3,Pos,0.35,T
first,substring2,Pos,0.39,T
first,half,Pos,0.37,F
first,mult,Pos,0.28,T
first,sum4,Pos,0.26,F
first,fxx,Pos,0.26,T
first,nested_loop,Pos,0.74,F
first,map,Pos,0.29,T
first,enc-zipmap,Pos,0.34,T
first,mc91_98,Pos,0.28,F
first,enc-zip_map2,Pos,0.36,T
first,inductive6,Pos,0.24,T
first,copy_intro,Pos,0.29,T
first,pldi082_unbounded1,Pos,0.59,F
first,inductivea,Pos,0.36,T
first,eq,Pos,0.82,T
first,flow,Pos,0.21,T
first,inductive2,Pos,0.29,T
first,inductive1-3,Pos,0.36,T
first,inductive3,Pos,0.3,T
first,enc-zip_map,Pos,0.38,T
first,inductive1-2,Pos,0.38,T
first,gulwani_cegar1,Pos,0.41,F
first,xyz2,Pos,0.56,F
first,xy10,Pos,0.34,T
first,01_ic3,Pos,0.31,T
first,hanoi,Pos,0.63,F
first,addition,Pos,0.35,T
first,sum,Pos,0.25,T
first,up_down_stair,Pos,0.48,T
first,up2,Pos,0.54,T
first,inductive1-1,Pos,0.35,T
first,mc91_95,Pos,0.29,F
first,inductive4,Pos,0.28,T
first,lock,Pos,0.35,F
first,mc91,Pos,0.3,F
first,xyz,Pos,0.54,F
first,enc-rev_accum,Pos,0.31,T
first,inductive5,Pos,0.31,T
first,seq-len,Pos,0.68,F
first,inductive3-2,Pos,0.28,T
first,pldi082_unbounded2,Pos,0.56,T
first,file,Pos,0.12,ER
first,xy4,Pos,0.41,F
first,sum_intro,Pos,0.3,T
first,odd_even,Pos,0.32,F
first,is_prime,Pos,0.69,T
first,for_bounded_loop1,Pos,0.52,T
first,map_map,Pos,0.28,T
first,xy0,Pos,0.34,T
first,prog2,Pos,0.33,T
first,sum3,Pos,0.26,F
first,fib,Pos,0.25,T
first,svd,Pos,2.4,T
first,ack,Pos,0.33,T
first,enc-zip,Pos,0.33,T
first,gcd,Pos,0.37,T
first,sum6,Pos,0.27,F
first,enc-zip4,Pos,0.33,T
first,recHanoi03,Pos,0.34,T
first,enc-rev_append-1,Pos,0.39,T
first,sum2,Pos,0.28,F
first,gib,Pos,0.5,T
first,mult_twice,Pos,0.32,F
first,seq-len1,Pos,0.78,F
first,substring1,Pos,0.36,T
negative,zip00,Neg,1.27,T
negative,indirectHO01,Neg,2.34,T
negative,xyz2,Neg,0.48,T
negative,xy10,Neg,0.34,T
negative,01_ic3,Neg,0.56,T
negative,ex23,Neg,0.43,T
negative,inductive1-1,Neg,0.32,T
negative,repeat,Neg,0.27,T
negative,ack01false,Neg,0.36,T
negative,xyz,Neg,0.53,T
negative,zip_unzip,Neg,0.42,T
negative,xy4,Neg,0.38,T
negative,compose,Neg,0.31,T
negative,up_down01,Neg,1.33,ER
negative,binomial00,Neg,1.31,T
list,sieve,Pos,0.72,F
list,risers,Pos,1.07,T
list,list,Pos,0.37,F
list,fold_div,Pos,0.45,F
list,mem,Pos,0.49,F
list,forall_leq,Pos,0.35,T
list,iter,Pos,0.35,T
list,zip,Pos,0.55,F
list,mapfilter,Pos,0.66,F
list,length,Pos,0.32,F
list,zipunzip,Pos,0.75,T
list,isnil,Pos,0.34,F
list,reverse,Pos,0.49,F
list,fold_left,Pos,0.42,T
list,introlist,Pos,0.3,T
list,fold_fun_list,Pos,0.42,T
list,simple,Pos,0.45,F
list,nth,Pos,0.4,F
list,fold_right,Pos,0.41,T
