subdir,file name,test class,timing (milseconds),res (true/false)
negative,zip00,Neg,0.34,T
negative,indirectHO01,Neg,0.41,T
negative,xyz2,Neg,timeout,F
negative,xy10,Neg,timeout,F
negative,01_ic3,Neg,0.52,T
negative,ex23,Neg,0.86,T
negative,inductive1-1,Neg,0.38,T
negative,repeat,Neg,0.81,T
negative,ack01false,Neg,0.45,T
negative,xyz,Neg,timeout,F
negative,zip_unzip,Neg,3.17,T
negative,xy4,Neg,149.38,T
negative,compose,Neg,0.37,T
negative,up_down01,Neg,0.32,T
negative,binomial00,Neg,0.48,T
first,inductive6-2,Pos,0.22,T
first,mc91_99,Pos,1.51,T
first,enc-rev_append-2,Pos,7.69,T
first,gib2,Pos,11.12,T
first,enc-zip3,Pos,7.89,T
first,substring2,Pos,1.73,T
first,half,Pos,5.99,F
first,mult,Pos,1.22,T
first,sum4,Pos,1.0,T
first,fxx,Pos,0.17,T
first,nested_loop,Pos,timeout,F
first,map,Pos,8.55,T
first,enc-zipmap,Pos,timeout,F
first,mc91_98,Pos,1.49,T
first,enc-zip_map2,Pos,timeout,F
first,inductive6,Pos,0.18,T
first,copy_intro,Pos,timeout,F
first,pldi082_unbounded1,Pos,timeout,F
first,inductivea,Pos,8.35,T
first,eq,Pos,5.11,T
first,flow,Pos,0.14,T
first,inductive2,Pos,0.75,T
first,inductive1-3,Pos,3.22,T
first,inductive3,Pos,0.73,T
first,enc-zip_map,Pos,timeout,F
first,inductive1-2,Pos,3.39,T
first,gulwani_cegar1,Pos,1.82,T
first,xyz2,Pos,1.73,T
first,xy10,Pos,1.81,T
first,01_ic3,Pos,0.17,T
first,hanoi,Pos,39.84,T
first,addition,Pos,8.54,T
first,sum,Pos,0.99,T
first,up_down_stair,Pos,14.81,T
first,up2,Pos,29.54,T
first,inductive1-1,Pos,1.83,T
first,mc91_95,Pos,1.42,T
first,inductive4,Pos,3.61,T
first,lock,Pos,0.2,T
first,mc91,Pos,1.67,T
first,xyz,Pos,2.03,T
first,enc-rev_accum,Pos,timeout,F
first,inductive5,Pos,4.37,T
first,seq-len,Pos,timeout,F
first,inductive3-2,Pos,1.41,T
first,pldi082_unbounded2,Pos,2.33,T
first,file,Pos,0.17,T
first,xy4,Pos,1.96,T
first,sum_intro,Pos,0.97,T
first,odd_even,Pos,0.97,F
first,is_prime,Pos,timeout,F
first,for_bounded_loop1,Pos,2.79,T
first,map_map,Pos,timeout,F
first,xy0,Pos,0.14,T
first,prog2,Pos,0.92,T
first,sum3,Pos,0.98,T
first,fib,Pos,8.1,T
first,svd,Pos,3.95,T
first,ack,Pos,2.13,T
first,enc-zip,Pos,7.8,T
first,gcd,Pos,3.01,T
first,sum6,Pos,1.25,T
first,enc-zip4,Pos,8.53,T
first,recHanoi03,Pos,1.11,T
first,enc-rev_append-1,Pos,timeout,F
first,sum2,Pos,0.96,T
first,gib,Pos,3.61,T
first,mult_twice,Pos,timeout,F
first,seq-len1,Pos,timeout,F
first,substring1,Pos,2.28,T
list,sieve,Pos,timeout,F
list,risers,Pos,timeout,F
list,list,Pos,4.01,T
list,fold_div,Pos,timeout,F
list,mem,Pos,timeout,F
list,forall_leq,Pos,timeout,F
list,iter,Pos,11.62,T
list,zip,Pos,timeout,F
list,mapfilter,Pos,timeout,F
list,length,Pos,timeout,F
list,zipunzip,Pos,timeout,F
list,isnil,Pos,1.68,T
list,reverse,Pos,timeout,F
list,list_rec,Pos,9.97,T
list,fold_left,Pos,184.19,T
list,introlist,Pos,1.74,T
list,fold_fun_list,Pos,timeout,F
list,simple,Pos,timeout,F
list,nth,Pos,timeout,F
list,fold_right,Pos,110.49,T
array,a-copy-print,Pos,0.16,T
array,a-split,Pos,0.26,T
array,a-dropn,Pos,0.23,T
array,a-sub,Pos,0.22,T
array,bcopy,Pos,1.46,F
array,a-init1,Pos,0.2,T
array,a-map,Pos,0.4,F
array,a-iter,Pos,0.2,T
array,a-dotprod,Pos,0.16,T
array,a-reverse,Pos,0.23,T
array,a-mapi,Pos,0.66,F
array,a-init2,Pos,0.34,F
array,a-append,Pos,0.23,T
high,map_2,Pos,5.55,T
high,flip_twice_1,Pos,timeout,F
high,fact_exn,Pos,timeout,F
high,inc,Pos,0.92,T
high,intro3,Pos,0.17,T
high,neg1,Pos,0.22,T
high,repeat_order,Pos,7.62,T
high,intro-ord2,Pos,timeout,F
high,foldr,Pos,9.83,T
high,sum_cps,Pos,1.0,T
high,sigma_sum,Pos,2.85,T
high,apply_twice,Pos,0.26,T
high,intro-ord3,Pos,timeout,F
high,intro2,Pos,0.18,T
high,repeat4,Pos,7.93,T
high,hors,Pos,0.16,T
high,repeat,Pos,7.71,T
high,intro1,Pos,0.18,T
high,app-lin-ord3,Pos,0.17,T
high,foldl,Pos,8.31,T
high,hrec,Pos,2.6,T
high,app-nonrec,Pos,0.15,T
high,app-lin-ord2,Pos,0.17,T
high,max,Pos,0.28,T
high,apply,Pos,1.23,T
high,twice,Pos,0.17,T
high,neg2,Pos,0.2,T
high,exception,Pos,0.18,T
high,power,Pos,2.12,T
high,mixed_id,Pos,0.26,T
high,app-succ,Pos,0.72,T
high,call_back,Pos,0.18,T
high,flip_twice_2,Pos,0.27,T
high,exc-fact,Pos,timeout,F
high,multi_compose,Pos,0.17,T
high,recursive,Pos,2.66,T
high,mc91_cps,Pos,4.2,T
high,exc-simple,Pos,0.16,T
