subdir,file name,test class,timing (milseconds),res (true/false)
first,inductive6-2,Pos,0.07,T
first,mc91_99,Pos,0.11,T
first,enc-rev_append-2,Pos,0.09,T
first,gib2,Pos,0.1,T
first,enc-zip3,Pos,0.08,T
first,substring2,Pos,0.07,F
first,half,Pos,timeout,F
first,mult,Pos,0.08,T
first,sum4,Pos,0.1,T
first,fxx,Pos,0.09,T
first,nested_loop,Pos,timeout,F
first,map,Pos,0.08,T
first,enc-zipmap,Pos,timeout,F
first,mc91_98,Pos,0.1,T
first,enc-zip_map2,Pos,timeout,F
first,inductive6,Pos,0.1,T
first,copy_intro,Pos,timeout,F
first,pldi082_unbounded1,Pos,0.13,F
first,inductivea,Pos,0.1,T
first,eq,Pos,timeout,F
first,flow,Pos,0.08,T
first,inductive2,Pos,0.1,T
first,inductive1-3,Pos,0.1,T
first,inductive3,Pos,0.07,T
first,enc-zip_map,Pos,timeout,F
first,inductive1-2,Pos,0.08,T
first,gulwani_cegar1,Pos,0.08,F
first,xyz2,Pos,0.19,F
first,xy10,Pos,0.38,F
first,01_ic3,Pos,0.07,T
first,hanoi,Pos,1.62,T
first,addition,Pos,0.08,T
first,sum,Pos,0.08,T
first,up_down_stair,Pos,0.09,F
first,up2,Pos,timeout,F
first,inductive1-1,Pos,0.08,T
first,mc91_95,Pos,0.1,T
first,inductive4,Pos,0.08,T
first,lock,Pos,0.09,T
first,mc91,Pos,0.1,T
first,xyz,Pos,0.2,F
first,enc-rev_accum,Pos,timeout,F
first,inductive5,Pos,0.1,T
first,seq-len,Pos,0.1,F
first,inductive3-2,Pos,0.07,T
first,pldi082_unbounded2,Pos,0.11,T
first,file,Pos,0.08,T
first,xy4,Pos,0.15,F
first,sum_intro,Pos,0.08,T
first,odd_even,Pos,timeout,F
first,is_prime,Pos,0.15,T
first,for_bounded_loop1,Pos,0.09,T
first,map_map,Pos,timeout,F
first,xy0,Pos,0.09,T
first,prog2,Pos,0.1,T
first,sum3,Pos,0.09,T
first,fib,Pos,0.08,T
first,svd,Pos,0.12,F
first,ack,Pos,0.1,T
first,enc-zip,Pos,0.09,T
first,gcd,Pos,0.09,T
first,sum6,Pos,0.12,T
first,enc-zip4,Pos,0.1,T
first,recHanoi03,Pos,0.11,T
first,enc-rev_append-1,Pos,0.12,T
first,sum2,Pos,0.08,T
first,gib,Pos,0.11,T
first,mult_twice,Pos,timeout,F
first,seq-len1,Pos,timeout,F
first,substring1,Pos,0.08,F
high,map_2,Pos,0.08,T
high,flip_twice_1,Pos,timeout,F
high,fact_exn,Pos,timeout,F
high,inc,Pos,0.08,T
high,intro3,Pos,0.07,T
high,neg1,Pos,0.1,F
high,repeat_order,Pos,0.08,T
high,intro-ord2,Pos,0.08,T
high,foldr,Pos,0.11,F
high,sum_cps,Pos,0.08,T
high,sigma_sum,Pos,0.09,T
high,apply_twice,Pos,0.07,F
high,intro-ord3,Pos,0.1,T
high,intro2,Pos,0.07,T
high,repeat4,Pos,0.08,T
high,hors,Pos,0.07,T
high,repeat,Pos,0.08,T
high,intro1,Pos,0.09,T
high,app-lin-ord3,Pos,0.09,T
high,foldl,Pos,0.1,F
high,hrec,Pos,0.1,T
high,app-nonrec,Pos,0.08,T
high,app-lin-ord2,Pos,0.08,T
high,max,Pos,0.09,T
high,apply,Pos,0.07,F
high,twice,Pos,0.07,T
high,neg2,Pos,0.07,T
high,exception,Pos,0.09,T
high,power,Pos,0.11,T
high,mixed_id,Pos,0.07,T
high,app-succ,Pos,0.09,T
high,call_back,Pos,0.08,T
high,flip_twice_2,Pos,0.07,T
high,exc-fact,Pos,timeout,F
high,multi_compose,Pos,0.07,F
high,recursive,Pos,0.08,T
high,mc91_cps,Pos,0.1,F
high,exc-simple,Pos,0.07,T
negative,zip00,Neg,0.08,T
negative,indirectHO01,Neg,0.1,T
negative,xyz2,Neg,0.29,T
negative,xy10,Neg,0.13,T
negative,01_ic3,Neg,0.09,T
negative,ex23,Neg,0.07,T
negative,inductive1-1,Neg,0.07,T
negative,repeat,Neg,0.08,T
negative,ack01false,Neg,0.09,T
negative,xyz,Neg,0.3,T
negative,zip_unzip,Neg,0.13,T
negative,xy4,Neg,0.23,T
negative,compose,Neg,0.08,T
negative,up_down01,Neg,0.1,T
negative,binomial00,Neg,0.09,T
array,a-copy-print,Pos,0.25,T
array,a-split,Pos,0.14,F
array,a-dropn,Pos,timeout,F
array,a-sub,Pos,0.15,F
array,bcopy,Pos,0.12,T
array,a-init1,Pos,0.18,F
array,a-map,Pos,0.12,F
array,a-iter,Pos,0.12,F
array,a-dotprod,Pos,0.11,T
array,a-reverse,Pos,0.1,T
array,a-mapi,Pos,0.12,F
array,a-init2,Pos,timeout,F
array,a-append,Pos,0.16,F
