subdir,file name,test class,timing (seconds),res (true/false),domain
array,a-copy-print,Pos,3.45,T,Oct
array,a-split,Pos,0.06,T,Oct
array,a-dropn,Pos,0.05,T,Oct
array,a-sub,Pos,0.09,T,Oct
array,bcopy,Pos,0.18,T,Oct
array,a-init1,Pos,3.34,F,Oct
array,a-map,Pos,0.06,T,Oct
array,a-iter,Pos,0.04,T,Oct
array,a-dotprod,Pos,4.03,T,Oct
array,a-reverse,Pos,1.62,T,Oct
array,a-mapi,Pos,0.06,T,Oct
array,a-init2,Pos,1.76,F,Oct
array,a-append,Pos,0.06,T,Oct
high,map_2,Pos,1.47,F,Oct
high,flip_twice_1,Pos,0.62,F,Oct
high,fact_exn,Pos,1.18,T,Oct
high,inc,Pos,2.42,T,Oct
high,intro3,Pos,0.08,T,Oct
high,neg1,Pos,0.21,T,Oct
high,repeat_order,Pos,0.86,T,Oct
high,intro-ord2,Pos,1.83,T,Oct
high,foldr,Pos,3.04,T,Oct
high,sum_cps,Pos,1.58,T,Oct
high,sigma_sum,Pos,0.86,T,Oct
high,apply_twice,Pos,0.09,T,Oct
high,intro-ord3,Pos,3.62,T,Oct
high,intro2,Pos,0.07,T,Oct
high,repeat4,Pos,0.61,T,Oct
high,hors,Pos,1.25,T,Oct
high,repeat,Pos,0.86,T,Oct
high,intro1,Pos,0.06,T,Oct
high,app-lin-ord3,Pos,0.39,F,Oct
high,foldl,Pos,2.49,T,Oct
high,hrec,Pos,1.23,T,Oct
high,app-nonrec,Pos,0.09,T,Oct
high,app-lin-ord2,Pos,0.14,F,Oct
high,max,Pos,0.4,T,Oct
high,apply,Pos,1.11,T,Oct
high,twice,Pos,0.09,T,Oct
high,neg2,Pos,0.1,F,Oct
high,exception,Pos,0.07,T,Oct
high,power,Pos,1.64,T,Oct
high,mixed_id,Pos,0.09,T,Oct
high,app-succ,Pos,2.91,T,Oct
high,call_back,Pos,0.07,F,Oct
high,flip_twice_2,Pos,0.23,F,Oct
high,exc-fact,Pos,1.23,T,Oct
high,multi_compose,Pos,0.29,F,Oct
high,recursive,Pos,1.31,T,Oct
high,mc91_cps,Pos,1.78,T,Oct
high,exc-simple,Pos,0.07,T,Oct
negative,zip00,Neg,14.79,T,Oct
negative,indirectHO01,Neg,0.86,F,Oct
negative,xyz2,Neg,2.31,F,Oct
negative,xy10,Neg,1.19,T,Oct
negative,01_ic3,Neg,0.12,T,Oct
negative,ex23,Neg,0.18,T,Oct
negative,inductive1-1,Neg,1.47,T,Oct
negative,repeat,Neg,0.68,T,Oct
negative,xyz,Neg,2.48,F,Oct
negative,zip_unzip,Neg,1.62,T,Oct
negative,xy4,Neg,1.29,T,Oct
negative,Ackermann00,Neg,22.41,T,Oct
negative,compose,Neg,0.09,T,Oct
negative,up_down01,Neg,9.86,T,Oct
negative,binomial00,Neg,3.05,T,Oct
first,inductive6-2,Pos,0.07,T,Oct
first,mc91_99,Pos,0.72,T,Oct
first,enc-rev_append-2,Pos,1.12,F,Oct
first,gib2,Pos,3.62,T,Oct
first,enc-zip3,Pos,0.98,T,Oct
first,substring2,Pos,1.68,T,Oct
first,mult,Pos,0.81,T,Oct
first,sum4,Pos,0.47,F,Oct
first,fxx,Pos,0.05,T,Oct
first,map,Pos,0.48,T,Oct
first,enc-zipmap,Pos,1.47,T,Oct
first,lcm,Pos,0.35,F,Oct
first,mc91_98,Pos,0.67,T,Oct
first,enc-zip_map2,Pos,1.44,T,Oct
first,inductive6,Pos,0.05,T,Oct
first,copy_intro,Pos,0.6,T,Oct
first,pldi082_unbounded1,Pos,2.12,T,Oct
first,flow,Pos,0.04,T,Oct
first,inductive2,Pos,0.05,T,Oct
first,inductive1-3,Pos,1.48,T,Oct
first,inductive3,Pos,0.05,T,Oct
first,enc-zip_map,Pos,1.39,T,Oct
first,inductive1-2,Pos,1.55,T,Oct
first,gulwani_cegar1,Pos,2.75,T,Oct
first,xyz2,Pos,2.49,F,Oct
first,xy10,Pos,1.4,T,Oct
first,01_ic3,Pos,0.25,T,Oct
first,sum,Pos,0.45,T,Oct
first,up_down_stair,Pos,3.59,T,Oct
first,up2,Pos,2.54,T,Oct
first,inductive1-1,Pos,1.52,T,Oct
first,mc91_95,Pos,0.7,T,Oct
first,inductive4,Pos,1.35,T,Oct
first,lock,Pos,0.14,F,Oct
first,mc91,Pos,0.69,T,Oct
first,xyz,Pos,2.58,F,Oct
first,enc-rev_accum,Pos,0.79,F,Oct
first,inductive5,Pos,0.08,T,Oct
first,seq-len,Pos,9.77,F,Oct
first,inductive3-2,Pos,0.05,T,Oct
first,pldi082_unbounded2,Pos,0.21,T,Oct
first,file,Pos,3.4,T,Oct
first,xy4,Pos,1.35,F,Oct
first,sum_intro,Pos,0.6,T,Oct
first,map_map,Pos,0.69,T,Oct
first,xy0,Pos,0.76,T,Oct
first,prog2,Pos,0.22,T,Oct
first,sum3,Pos,0.47,F,Oct
first,fib,Pos,0.69,T,Oct
first,svd,Pos,27.49,T,Oct
first,ack,Pos,2.73,T,Oct
first,enc-zip,Pos,1.11,T,Oct
first,gcd,Pos,0.28,T,Oct
first,enc-zip4,Pos,1.2,T,Oct
first,recHanoi03,Pos,0.39,T,Oct
first,enc-rev_append-1,Pos,1.26,T,Oct
first,sum2,Pos,0.46,F,Oct
first,gib,Pos,3.67,T,Oct
first,seq-len1,Pos,10.28,T,Oct
first,substring1,Pos,1.61,T,Oct
