subdir,file name,test class,timing (seconds),res (true/false),domain
array,a-copy-print,Pos,4.36,T,Polka_st
array,a-split,Pos,0.14,T,Polka_st
array,a-dropn,Pos,0.12,T,Polka_st
array,a-sub,Pos,0.21,T,Polka_st
array,bcopy,Pos,0.62,T,Polka_st
array,a-init1,Pos,2.45,F,Polka_st
array,a-map,Pos,0.15,T,Polka_st
array,a-iter,Pos,0.11,T,Polka_st
array,a-dotprod,Pos,5.13,T,Polka_st
array,a-reverse,Pos,7.74,T,Polka_st
array,a-mapi,Pos,0.16,T,Polka_st
array,a-init2,Pos,8.76,F,Polka_st
array,a-append,Pos,0.15,T,Polka_st
first,inductive6-2,Pos,0.29,T,Polka_st
first,mc91_99,Pos,0.73,F,Polka_st
first,enc-rev_append-2,Pos,1.08,T,Polka_st
first,gib2,Pos,3.23,T,Polka_st
first,enc-zip3,Pos,1.28,T,Polka_st
first,substring2,Pos,2.23,T,Polka_st
first,mult,Pos,0.75,T,Polka_st
first,sum4,Pos,0.36,F,Polka_st
first,fxx,Pos,0.12,T,Polka_st
first,map,Pos,2.96,T,Polka_st
first,enc-zipmap,Pos,2.02,T,Polka_st
first,lcm,Pos,2.09,F,Polka_st
first,mc91_98,Pos,0.81,F,Polka_st
first,enc-zip_map2,Pos,2.04,T,Polka_st
first,inductive6,Pos,0.13,T,Polka_st
first,copy_intro,Pos,3.98,T,Polka_st
first,pldi082_unbounded1,Pos,1.13,T,Polka_st
first,flow,Pos,0.08,T,Polka_st
first,inductive2,Pos,0.1,T,Polka_st
first,inductive1-3,Pos,5.83,T,Polka_st
first,inductive3,Pos,0.14,T,Polka_st
first,enc-zip_map,Pos,1.97,T,Polka_st
first,inductive1-2,Pos,1.16,F,Polka_st
first,gulwani_cegar1,Pos,2.96,T,Polka_st
first,xyz2,Pos,6.18,T,Polka_st
first,xy10,Pos,4.66,T,Polka_st
first,01_ic3,Pos,1.41,T,Polka_st
first,sum,Pos,0.3,T,Polka_st
first,up_down_stair,Pos,3.52,T,Polka_st
first,up2,Pos,2.55,T,Polka_st
first,inductive1-1,Pos,1.43,T,Polka_st
first,mc91_95,Pos,0.75,F,Polka_st
first,inductive4,Pos,8.61,F,Polka_st
first,lock,Pos,0.47,F,Polka_st
first,mc91,Pos,0.59,F,Polka_st
first,xyz,Pos,4.52,T,Polka_st
first,enc-rev_accum,Pos,5.31,T,Polka_st
first,inductive5,Pos,0.32,T,Polka_st
first,seq-len,Pos,19.58,F,Polka_st
first,inductive3-2,Pos,0.16,T,Polka_st
first,pldi082_unbounded2,Pos,0.64,T,Polka_st
first,file,Pos,16.22,T,Polka_st
first,xy4,Pos,1.25,T,Polka_st
first,sum_intro,Pos,1.03,F,Polka_st
first,map_map,Pos,4.48,T,Polka_st
first,xy0,Pos,2.43,T,Polka_st
first,prog2,Pos,0.82,T,Polka_st
first,sum3,Pos,0.36,T,Polka_st
