subdir,file name,test class,timing (seconds),res (true/false),domain
array,a-copy-print,Pos,6.4,T,Ppl_st
array,a-split,Pos,0.14,T,Ppl_st
array,a-dropn,Pos,0.1,T,Ppl_st
array,a-sub,Pos,0.24,T,Ppl_st
array,bcopy,Pos,1.02,T,Ppl_st
array,a-init1,Pos,3.88,F,Ppl_st
array,a-map,Pos,0.18,T,Ppl_st
array,a-iter,Pos,0.13,T,Ppl_st
array,a-dotprod,Pos,8.07,T,Ppl_st
array,a-reverse,Pos,2.38,T,Ppl_st
array,a-mapi,Pos,0.18,T,Ppl_st
array,a-init2,Pos,2.12,F,Ppl_st
array,a-append,Pos,0.17,T,Ppl_st
high,map_2,Pos,2.29,T,Ppl_st
high,flip_twice_1,Pos,3.15,T,Ppl_st
high,fact_exn,Pos,0.77,T,Ppl_st
high,inc,Pos,3.34,T,Ppl_st
high,intro3,Pos,0.33,T,Ppl_st
high,neg1,Pos,0.75,T,Ppl_st
high,repeat_order,Pos,1.42,T,Ppl_st
high,intro-ord2,Pos,2.84,T,Ppl_st
high,foldr,Pos,5.35,T,Ppl_st
high,sum_cps,Pos,2.37,T,Ppl_st
high,sigma_sum,Pos,0.67,T,Ppl_st
high,apply_twice,Pos,0.25,T,Ppl_st
high,intro-ord3,Pos,16.43,T,Ppl_st
high,intro2,Pos,0.25,T,Ppl_st
high,repeat4,Pos,0.79,T,Ppl_st
high,hors,Pos,1.94,T,Ppl_st
high,repeat,Pos,1.38,T,Ppl_st
high,intro1,Pos,0.24,T,Ppl_st
high,app-lin-ord3,Pos,2.62,T,Ppl_st
high,foldl,Pos,3.55,T,Ppl_st
high,hrec,Pos,3.46,T,Ppl_st
high,app-nonrec,Pos,0.28,T,Ppl_st
high,app-lin-ord2,Pos,0.67,T,Ppl_st
high,max,Pos,2.22,T,Ppl_st
high,apply,Pos,0.88,T,Ppl_st
high,twice,Pos,0.32,T,Ppl_st
high,neg2,Pos,0.44,T,Ppl_st
high,exception,Pos,0.21,T,Ppl_st
high,power,Pos,3.98,T,Ppl_st
high,mixed_id,Pos,0.18,T,Ppl_st
high,app-succ,Pos,9.34,T,Ppl_st
high,call_back,Pos,0.19,T,Ppl_st
high,flip_twice_2,Pos,0.96,F,Ppl_st
high,exc-fact,Pos,0.77,T,Ppl_st
high,multi_compose,Pos,1.12,T,Ppl_st
high,recursive,Pos,3.54,T,Ppl_st
high,mc91_cps,Pos,2.82,T,Ppl_st
high,exc-simple,Pos,0.23,T,Ppl_st
first,inductive6-2,Pos,0.22,T,Ppl_st
first,mc91_99,Pos,0.53,F,Ppl_st
first,enc-rev_append-2,Pos,0.73,T,Ppl_st
first,gib2,Pos,3.24,T,Ppl_st
first,enc-zip3,Pos,0.5,T,Ppl_st
first,substring2,Pos,2.64,T,Ppl_st
first,mult,Pos,0.51,T,Ppl_st
first,sum4,Pos,0.23,F,Ppl_st
first,fxx,Pos,0.1,T,Ppl_st
first,map,Pos,0.19,T,Ppl_st
first,enc-zipmap,Pos,1.04,T,Ppl_st
first,lcm,Pos,2.11,F,Ppl_st
first,mc91_98,Pos,0.52,F,Ppl_st
first,enc-zip_map2,Pos,1.04,T,Ppl_st
first,inductive6,Pos,0.12,T,Ppl_st
first,copy_intro,Pos,0.29,T,Ppl_st
first,pldi082_unbounded1,Pos,1.28,T,Ppl_st
first,flow,Pos,0.06,T,Ppl_st
first,inductive2,Pos,0.07,T,Ppl_st
first,inductive1-3,Pos,0.56,T,Ppl_st
first,inductive3,Pos,0.1,T,Ppl_st
first,enc-zip_map,Pos,1.01,T,Ppl_st
first,inductive1-2,Pos,1.39,F,Ppl_st
first,gulwani_cegar1,Pos,4.05,T,Ppl_st
first,xyz2,Pos,4.73,T,Ppl_st
first,xy10,Pos,1.35,T,Ppl_st
first,01_ic3,Pos,0.72,T,Ppl_st
first,sum,Pos,0.2,T,Ppl_st
first,up_down_stair,Pos,4.34,T,Ppl_st
first,up2,Pos,3.78,T,Ppl_st
first,inductive1-1,Pos,0.57,T,Ppl_st
first,mc91_95,Pos,0.52,F,Ppl_st
first,inductive4,Pos,2.17,F,Ppl_st
first,lock,Pos,0.66,F,Ppl_st
first,mc91,Pos,0.79,F,Ppl_st
first,xyz,Pos,4.86,F,Ppl_st
first,enc-rev_accum,Pos,0.47,T,Ppl_st
first,inductive5,Pos,0.2,T,Ppl_st
first,seq-len,Pos,28.89,F,Ppl_st
first,inductive3-2,Pos,0.12,T,Ppl_st
first,pldi082_unbounded2,Pos,0.9,T,Ppl_st
first,file,Pos,19.18,T,Ppl_st
first,xy4,Pos,1.3,F,Ppl_st
first,sum_intro,Pos,1.07,F,Ppl_st
first,map_map,Pos,0.29,T,Ppl_st
