subdir,file name,test class,timing (seconds),res (true/false),domain
high,map_2,Pos,1.77,T,Polka_gd
high,flip_twice_1,Pos,4.17,F,Polka_gd
high,fact_exn,Pos,0.68,T,Polka_gd
high,inc,Pos,2.97,T,Polka_gd
high,intro3,Pos,0.36,T,Polka_gd
high,neg1,Pos,0.92,F,Polka_gd
high,repeat_order,Pos,1.08,T,Polka_gd
high,intro-ord2,Pos,1.33,T,Polka_gd
high,foldr,Pos,5.63,T,Polka_gd
high,sum_cps,Pos,0.34,T,Polka_gd
high,sigma_sum,Pos,0.38,T,Polka_gd
high,apply_twice,Pos,0.84,F,Polka_gd
high,intro-ord3,Pos,6.05,T,Polka_gd
high,intro2,Pos,0.23,T,Polka_gd
high,repeat4,Pos,0.57,T,Polka_gd
high,hors,Pos,1.05,T,Polka_gd
high,repeat,Pos,0.99,T,Polka_gd
high,intro1,Pos,0.25,T,Polka_gd
high,app-lin-ord3,Pos,3.85,T,Polka_gd
high,foldl,Pos,7.38,T,Polka_gd
high,hrec,Pos,0.59,T,Polka_gd
high,app-nonrec,Pos,0.46,T,Polka_gd
high,app-lin-ord2,Pos,1.06,T,Polka_gd
high,max,Pos,2.29,T,Polka_gd
high,apply,Pos,0.86,T,Polka_gd
high,twice,Pos,0.3,T,Polka_gd
high,neg2,Pos,1.37,T,Polka_gd
high,exception,Pos,0.23,T,Polka_gd
high,power,Pos,3.09,T,Polka_gd
high,mixed_id,Pos,0.81,T,Polka_gd
high,app-succ,Pos,2.6,T,Polka_gd
high,call_back,Pos,0.84,T,Polka_gd
high,flip_twice_2,Pos,3.26,F,Polka_gd
high,exc-fact,Pos,0.7,T,Polka_gd
high,multi_compose,Pos,5.18,T,Polka_gd
high,recursive,Pos,0.34,T,Polka_gd
high,mc91_cps,Pos,1.6,F,Polka_gd
high,exc-simple,Pos,0.15,T,Polka_gd
array,a-copy-print,Pos,6.71,T,Polka_gd
array,a-split,Pos,14.08,T,Polka_gd
array,a-dropn,Pos,36.35,T,Polka_gd
array,a-sub,Pos,17.34,T,Polka_gd
array,bcopy,Pos,5.94,F,Polka_gd
array,a-init1,Pos,2.52,F,Polka_gd
array,a-map,Pos,6.42,F,Polka_gd
array,a-iter,Pos,2.34,T,Polka_gd
array,a-dotprod,Pos,6.36,T,Polka_gd
array,a-reverse,Pos,2.23,T,Polka_gd
array,a-mapi,Pos,7.36,F,Polka_gd
array,a-init2,Pos,1.7,F,Polka_gd
array,a-append,Pos,11.32,F,Polka_gd
negative,zip00,Neg,timeout,ER,Polka_gd
negative,indirectHO01,Neg,timeout,ER,Polka_gd
negative,xyz2,Neg,3.12,T,Polka_gd
negative,xy10,Neg,0.9,T,Polka_gd
negative,01_ic3,Neg,0.23,T,Polka_gd
negative,ex23,Neg,0.61,T,Polka_gd
negative,inductive1-1,Neg,0.48,T,Polka_gd
negative,repeat,Neg,0.43,T,Polka_gd
negative,ack01false,Neg,1.31,T,Polka_gd
negative,xyz,Neg,3.1,T,Polka_gd
negative,zip_unzip,Neg,1.47,T,Polka_gd
negative,xy4,Neg,0.76,T,Polka_gd
negative,compose,Neg,0.55,T,Polka_gd
negative,up_down01,Neg,timeout,ER,Polka_gd
negative,binomial00,Neg,23.14,T,Polka_gd
first,inductive6-2,Pos,0.21,T,Polka_gd
first,mc91_99,Pos,0.23,F,Polka_gd
first,loop4_12,Pos,6.09,F,Polka_gd
first,enc-rev_append-2,Pos,0.48,T,Polka_gd
first,gib2,Pos,1.77,F,Polka_gd
first,enc-zip3,Pos,0.34,T,Polka_gd
first,substring2,Pos,1.91,F,Polka_gd
first,even_mod,Pos,3.6,F,Polka_gd
first,half,Pos,1.28,F,Polka_gd
first,mult,Pos,0.32,T,Polka_gd
first,sum4,Pos,0.16,F,Polka_gd
first,fxx,Pos,0.17,T,Polka_gd
first,nested_loop,Pos,8.04,T,Polka_gd
first,map,Pos,0.16,T,Polka_gd
first,enc-zipmap,Pos,0.76,F,Polka_gd
first,mc91_98,Pos,0.24,F,Polka_gd
first,enc-zip_map2,Pos,0.91,T,Polka_gd
first,inductive6,Pos,0.14,T,Polka_gd
first,copy_intro,Pos,0.17,T,Polka_gd
first,pldi082_unbounded1,Pos,2.3,F,Polka_gd
first,inductivea,Pos,1.09,T,Polka_gd
first,eq,Pos,11.4,T,Polka_gd
first,flow,Pos,0.04,T,Polka_gd
first,inductive2,Pos,0.1,T,Polka_gd
first,inverse_mod,Pos,0.91,F,Polka_gd
first,inductive1-3,Pos,0.37,T,Polka_gd
first,inductive3,Pos,0.12,T,Polka_gd
first,enc-zip_map,Pos,0.82,T,Polka_gd
first,inductive1-2,Pos,0.63,F,Polka_gd
first,gulwani_cegar1,Pos,4.42,T,Polka_gd
first,xyz2,Pos,5.09,T,Polka_gd
first,xy10,Pos,1.23,T,Polka_gd
first,01_ic3,Pos,0.37,T,Polka_gd
first,hanoi,Pos,5.07,F,Polka_gd
first,addition,Pos,0.63,T,Polka_gd
first,sum,Pos,0.16,T,Polka_gd
first,up_down_stair,Pos,5.51,T,Polka_gd
first,up2,Pos,2.89,F,Polka_gd
first,inductive1-1,Pos,0.36,T,Polka_gd
first,mc91_95,Pos,0.23,F,Polka_gd
first,inductive4,Pos,0.68,F,Polka_gd
first,lock,Pos,0.61,T,Polka_gd
first,mc91,Pos,0.25,F,Polka_gd
first,xyz,Pos,4.99,F,Polka_gd
first,enc-rev_accum,Pos,0.32,T,Polka_gd
first,inductive5,Pos,0.14,T,Polka_gd
first,seq-len,Pos,32.66,F,Polka_gd
first,inductive3-2,Pos,0.29,T,Polka_gd
first,pldi082_unbounded2,Pos,2.85,T,Polka_gd
first,file,Pos,10.07,T,Polka_gd
first,xy4,Pos,0.97,F,Polka_gd
first,sum_intro,Pos,0.42,T,Polka_gd
first,odd_even,Pos,0.45,T,Polka_gd
first,is_prime,Pos,1.77,T,Polka_gd
first,for_bounded_loop1,Pos,5.29,T,Polka_gd
first,map_map,Pos,0.15,T,Polka_gd
first,xy0,Pos,0.46,T,Polka_gd
first,prog2,Pos,0.21,T,Polka_gd
first,sum3,Pos,0.17,F,Polka_gd
first,fib,Pos,0.18,T,Polka_gd
first,svd,Pos,85.77,T,Polka_gd
first,ack,Pos,1.39,F,Polka_gd
first,enc-zip,Pos,0.34,F,Polka_gd
first,gcd,Pos,0.92,F,Polka_gd
first,sum6,Pos,0.21,F,Polka_gd
first,enc-zip4,Pos,0.4,F,Polka_gd
first,recHanoi03,Pos,0.14,T,Polka_gd
first,enc-rev_append-1,Pos,0.64,T,Polka_gd
first,sum2,Pos,0.16,F,Polka_gd
first,gib,Pos,1.82,F,Polka_gd
first,mult_twice,Pos,1.17,F,Polka_gd
first,seq-len1,Pos,19.84,F,Polka_gd
first,substring1,Pos,1.85,T,Polka_gd
