subdir,file name,test class,timing (seconds),res (true/false),domain
negative,zip00,Neg,30.41,T,Ppl_st
negative,indirectHO01,Neg,30.37,T,Ppl_st
negative,xyz2,Neg,1.17,T,Ppl_st
negative,xy10,Neg,0.43,T,Ppl_st
negative,01_ic3,Neg,0.23,T,Ppl_st
negative,ex23,Neg,0.26,T,Ppl_st
negative,inductive1-1,Neg,0.25,T,Ppl_st
negative,repeat,Neg,0.18,T,Ppl_st
negative,ack01false,Neg,0.56,T,Ppl_st
negative,xyz,Neg,1.11,T,Ppl_st
negative,zip_unzip,Neg,0.64,T,Ppl_st
negative,xy4,Neg,0.32,T,Ppl_st
negative,compose,Neg,0.24,T,Ppl_st
negative,up_down01,Neg,23.95,T,Ppl_st
negative,binomial00,Neg,6.17,T,Ppl_st
first,inductive6-2,Pos,0.1,T,Ppl_st
first,mc91_99,Pos,0.09,F,Ppl_st
first,enc-rev_append-2,Pos,0.2,T,Ppl_st
first,gib2,Pos,0.64,F,Ppl_st
first,enc-zip3,Pos,0.15,T,Ppl_st
first,substring2,Pos,0.83,F,Ppl_st
first,half,Pos,0.54,F,Ppl_st
first,mult,Pos,0.14,T,Ppl_st
first,sum4,Pos,0.07,F,Ppl_st
first,fxx,Pos,0.07,T,Ppl_st
first,nested_loop,Pos,2.1,T,Ppl_st
first,map,Pos,0.08,T,Ppl_st
first,enc-zipmap,Pos,0.33,F,Ppl_st
first,mc91_98,Pos,0.09,F,Ppl_st
first,enc-zip_map2,Pos,0.36,T,Ppl_st
first,inductive6,Pos,0.07,T,Ppl_st
first,copy_intro,Pos,0.08,T,Ppl_st
first,pldi082_unbounded1,Pos,1.13,F,Ppl_st
first,inductivea,Pos,0.39,T,Ppl_st
first,eq,Pos,3.56,T,Ppl_st
first,flow,Pos,0.04,T,Ppl_st
first,inductive2,Pos,0.07,T,Ppl_st
first,inductive1-3,Pos,0.18,T,Ppl_st
first,inductive3,Pos,0.04,T,Ppl_st
first,enc-zip_map,Pos,0.34,T,Ppl_st
first,inductive1-2,Pos,0.3,F,Ppl_st
first,gulwani_cegar1,Pos,1.79,T,Ppl_st
first,xyz2,Pos,1.77,T,Ppl_st
first,xy10,Pos,0.53,T,Ppl_st
first,01_ic3,Pos,0.17,T,Ppl_st
first,hanoi,Pos,1.56,F,Ppl_st
first,addition,Pos,0.28,T,Ppl_st
first,sum,Pos,0.07,T,Ppl_st
first,up_down_stair,Pos,1.53,T,Ppl_st
first,up2,Pos,1.14,F,Ppl_st
first,inductive1-1,Pos,0.17,T,Ppl_st
first,mc91_95,Pos,0.09,F,Ppl_st
first,inductive4,Pos,0.29,F,Ppl_st
first,lock,Pos,0.23,T,Ppl_st
first,mc91,Pos,0.09,F,Ppl_st
first,xyz,Pos,1.66,F,Ppl_st
first,enc-rev_accum,Pos,0.14,T,Ppl_st
first,inductive5,Pos,0.05,T,Ppl_st
first,seq-len,Pos,12.23,F,Ppl_st
first,inductive3-2,Pos,0.1,T,Ppl_st
first,pldi082_unbounded2,Pos,0.31,T,Ppl_st
first,file,Pos,2.53,T,Ppl_st
first,xy4,Pos,0.43,F,Ppl_st
first,sum_intro,Pos,0.19,T,Ppl_st
first,is_prime,Pos,2.52,F,Ppl_st
first,for_bounded_loop1,Pos,1.68,T,Ppl_st
first,map_map,Pos,0.08,T,Ppl_st
first,xy0,Pos,0.2,T,Ppl_st
first,prog2,Pos,0.1,T,Ppl_st
first,sum3,Pos,0.07,F,Ppl_st
first,fib,Pos,0.08,T,Ppl_st
first,svd,Pos,39.48,T,Ppl_st
first,ack,Pos,0.56,F,Ppl_st
first,enc-zip,Pos,0.19,F,Ppl_st
first,gcd,Pos,0.39,F,Ppl_st
first,sum6,Pos,0.08,F,Ppl_st
first,enc-zip4,Pos,0.18,F,Ppl_st
first,recHanoi03,Pos,0.09,T,Ppl_st
first,enc-rev_append-1,Pos,0.28,T,Ppl_st
first,sum2,Pos,0.08,F,Ppl_st
first,gib,Pos,0.64,F,Ppl_st
first,mult_twice,Pos,0.53,F,Ppl_st
first,seq-len1,Pos,8.13,F,Ppl_st
first,substring1,Pos,0.73,T,Ppl_st
high,map_2,Pos,0.86,T,Ppl_st
high,flip_twice_1,Pos,1.26,F,Ppl_st
high,fact_exn,Pos,0.3,T,Ppl_st
high,inc,Pos,1.1,T,Ppl_st
high,intro3,Pos,0.14,T,Ppl_st
high,neg1,Pos,0.32,F,Ppl_st
high,repeat_order,Pos,0.39,T,Ppl_st
high,intro-ord2,Pos,0.4,T,Ppl_st
high,foldr,Pos,1.86,T,Ppl_st
high,sum_cps,Pos,0.14,T,Ppl_st
high,sigma_sum,Pos,0.18,T,Ppl_st
high,apply_twice,Pos,0.36,F,Ppl_st
high,intro-ord3,Pos,1.86,T,Ppl_st
high,intro2,Pos,0.11,T,Ppl_st
high,repeat4,Pos,0.23,T,Ppl_st
high,hors,Pos,0.44,T,Ppl_st
high,repeat,Pos,0.39,T,Ppl_st
high,intro1,Pos,0.11,T,Ppl_st
high,app-lin-ord3,Pos,1.32,T,Ppl_st
high,foldl,Pos,0.72,T,Ppl_st
high,hrec,Pos,0.23,T,Ppl_st
high,app-nonrec,Pos,0.16,T,Ppl_st
high,app-lin-ord2,Pos,0.41,T,Ppl_st
high,max,Pos,0.71,T,Ppl_st
high,apply,Pos,0.32,T,Ppl_st
