subdir,file name,test class,timing (seconds),res (true/false),domain
first,inductive6-2,Pos,0.23,T,Ppl_st
first,mc91_99,Pos,0.17,F,Ppl_st
first,enc-rev_append-2,Pos,0.36,T,Ppl_st
first,gib2,Pos,1.38,T,Ppl_st
first,enc-zip3,Pos,0.3,T,Ppl_st
first,substring2,Pos,1.3,T,Ppl_st
first,mult,Pos,0.25,T,Ppl_st
first,sum4,Pos,0.13,F,Ppl_st
first,fxx,Pos,0.09,T,Ppl_st
first,map,Pos,0.1,T,Ppl_st
first,enc-zipmap,Pos,0.59,T,Ppl_st
first,lcm,Pos,1.47,F,Ppl_st
first,mc91_98,Pos,0.17,F,Ppl_st
first,enc-zip_map2,Pos,0.54,T,Ppl_st
first,inductive6,Pos,0.1,T,Ppl_st
first,copy_intro,Pos,0.13,T,Ppl_st
first,pldi082_unbounded1,Pos,1.33,F,Ppl_st
first,flow,Pos,0.05,T,Ppl_st
first,inductive2,Pos,0.06,T,Ppl_st
first,inductive1-3,Pos,0.28,T,Ppl_st
first,inductive3,Pos,0.09,T,Ppl_st
first,enc-zip_map,Pos,0.53,T,Ppl_st
first,inductive1-2,Pos,0.52,F,Ppl_st
first,gulwani_cegar1,Pos,1.94,T,Ppl_st
first,xyz2,Pos,2.26,T,Ppl_st
first,xy10,Pos,0.61,T,Ppl_st
first,01_ic3,Pos,0.35,T,Ppl_st
first,sum,Pos,0.12,T,Ppl_st
first,up_down_stair,Pos,2.82,T,Ppl_st
first,up2,Pos,1.83,F,Ppl_st
first,inductive1-1,Pos,0.29,T,Ppl_st
first,mc91_95,Pos,0.16,F,Ppl_st
first,inductive4,Pos,0.35,F,Ppl_st
first,lock,Pos,0.56,F,Ppl_st
first,mc91,Pos,0.19,F,Ppl_st
first,xyz,Pos,2.4,F,Ppl_st
first,enc-rev_accum,Pos,0.26,T,Ppl_st
first,inductive5,Pos,0.25,F,Ppl_st
first,seq-len,Pos,11.23,F,Ppl_st
first,inductive3-2,Pos,0.11,T,Ppl_st
first,pldi082_unbounded2,Pos,0.49,T,Ppl_st
first,file,Pos,12.36,T,Ppl_st
first,xy4,Pos,0.64,F,Ppl_st
first,sum_intro,Pos,0.28,T,Ppl_st
first,map_map,Pos,0.13,T,Ppl_st
first,xy0,Pos,0.59,T,Ppl_st
first,prog2,Pos,0.22,T,Ppl_st
