subdir,file name,test class,timing (seconds),res (true/false),domain
first,fxx,Pos,0.01,T,Polka_ls
first,sum3,Pos,0.08,F,Polka_ls
first,mc91_98,Pos,0.1,F,Polka_ls
first,pldi082_unbounded1,Pos,1.2,F,Polka_ls
first,seq-len,Pos,7.34,F,Polka_ls
first,addition,Pos,0.29,T,Polka_ls
first,inductive5-2,Pos,0.08,T,Polka_ls
first,substring2,Pos,0.38,T,Polka_ls
first,svd,Pos,12.75,T,Polka_ls
first,inductive,Pos,0.35,T,Polka_ls
first,sum4,Pos,0.09,F,Polka_ls
first,enc-zip3,Pos,0.18,T,Polka_ls
first,gcd,Pos,0.21,T,Polka_ls
first,inductive1-3,Pos,0.24,T,Polka_ls
first,enc-zip_map,Pos,0.28,T,Polka_ls
first,enc-zip,Pos,0.17,F,Polka_ls
first,xyz,Pos,1.46,T,Polka_ls
first,recHanoi03,Pos,0.06,T,Polka_ls
first,up_down_stair,Pos,2.33,T,Polka_ls
first,seq-len1,Pos,4.35,T,Polka_ls
first,inductive6-3,Pos,0.01,F,Polka_ls
first,enc-zip4,Pos,0.2,F,Polka_ls
first,copy_intro,Pos,0.08,T,Polka_ls
first,mc91_99,Pos,0.1,F,Polka_ls
first,for_bounded_loop1,Pos,1.42,T,Polka_ls
first,enc-rev_accum,Pos,0.17,T,Polka_ls
first,inductive1-2,Pos,0.24,T,Polka_ls
first,xy10,Pos,0.38,T,Polka_ls
first,gulwani_cegar1,Pos,0.59,T,Polka_ls
first,hanoi,Pos,1.34,F,Polka_ls
first,inductive4-1,Pos,0.11,T,Polka_ls
first,xy4,Pos,0.31,T,Polka_ls
first,eq,Pos,3.6,T,Polka_ls
first,nested_loop,Pos,timeout,ER,Polka_ls
first,mult_twice,Pos,0.16,F,Polka_ls
first,mc91,Pos,0.09,F,Polka_ls
first,inductive4,Pos,0.1,T,Polka_ls
first,sum_intro,Pos,0.11,T,Polka_ls
first,inductive6-2,Pos,0.01,T,Polka_ls
first,file,Pos,0.54,F,Polka_ls
first,enc-zip_map2,Pos,0.27,F,Polka_ls
first,mult,Pos,0.1,F,Polka_ls
first,is_prime,Pos,1.5,T,Polka_ls
first,map_map,Pos,0.08,T,Polka_ls
first,ack,Pos,0.44,T,Polka_ls
first,inductive3,Pos,0.01,T,Polka_ls
first,sum6,Pos,0.1,F,Polka_ls
first,inductive2,Pos,0.01,T,Polka_ls
first,inductivea,Pos,0.24,T,Polka_ls
first,substring1,Pos,0.39,T,Polka_ls
first,inductive3-2,Pos,0.03,T,Polka_ls
first,odd_even,Pos,0.16,F,Polka_ls
first,fib,Pos,0.06,T,Polka_ls
first,xyz2,Pos,1.41,T,Polka_ls
first,gib,Pos,0.42,T,Polka_ls
first,pldi082_unbounded2,Pos,0.05,T,Polka_ls
first,inductive5,Pos,0.01,T,Polka_ls
first,xy0,Pos,0.1,T,Polka_ls
first,prog2,Pos,0.07,T,Polka_ls
first,enc-rev_append,Pos,0.24,T,Polka_ls
first,flow,Pos,0.0,T,Polka_ls
first,inductive3-3,Pos,0.01,T,Polka_ls
first,gib2,Pos,0.34,T,Polka_ls
first,inductive6,Pos,0.01,T,Polka_ls
first,half,Pos,0.47,F,Polka_ls
first,up2,Pos,0.7,T,Polka_ls
first,sum2,Pos,0.08,T,Polka_ls
first,01_ic3,Pos,0.06,T,Polka_ls
first,mc91_95,Pos,0.11,F,Polka_ls
first,map,Pos,0.06,T,Polka_ls
first,enc-zipmap,Pos,0.28,F,Polka_ls
first,lock,Pos,0.01,F,Polka_ls
first,sum,Pos,0.07,T,Polka_ls
array,a-reverse,Pos,0.94,T,Polka_ls
array,bcopy,Pos,1.17,T,Polka_ls
array,a-split,Pos,3.74,T,Polka_ls
array,a-mapi,Pos,2.24,F,Polka_ls
array,a-iter,Pos,0.79,T,Polka_ls
array,a-dropn,Pos,9.2,T,Polka_ls
array,a-sub,Pos,2.72,T,Polka_ls
array,a-append,Pos,3.0,F,Polka_ls
array,a-init2,Pos,0.2,F,Polka_ls
array,a-init1,Pos,0.32,F,Polka_ls
array,a-map,Pos,2.07,F,Polka_ls
array,a-dotprod,Pos,1.35,T,Polka_ls
array,a-copy-print,Pos,1.58,T,Polka_ls
high,app-nonrec,Pos,0.01,T,Polka_ls
high,exc-simple,Pos,0.01,T,Polka_ls
high,kmp,Pos,8.85,F,Polka_ls
high,repeat,Pos,0.34,T,Polka_ls
high,max,Pos,0.06,F,Polka_ls
high,hrec,Pos,0.09,T,Polka_ls
high,bcopy,Pos,0.8,T,Polka_ls
high,fact_exn,Pos,0.05,T,Polka_ls
high,intro-ord3,Pos,0.52,T,Polka_ls
high,apply-cr,Pos,0.12,T,Polka_ls
high,twice,Pos,0.03,T,Polka_ls
high,foldr,Pos,2.12,T,Polka_ls
high,flip_twice_2,Pos,0.11,F,Polka_ls
high,dotprod3,Pos,2.06,T,Polka_ls
high,map_2,Pos,0.57,T,Polka_ls
high,inc3,Pos,0.43,T,Polka_ls
high,recursive,Pos,0.09,T,Polka_ls
high,call_back,Pos,0.01,T,Polka_ls
high,mixed_id,Pos,0.01,T,Polka_ls
