subdir,file name,test class,timing (milseconds),res (true/false),domain
high,flip_twice_1,Pos,708,F;IM,Oct
high,fact_exn,Pos,818,T,Oct
high,inc,Pos,600,T,Oct
high,intro3,Pos,117,T,Oct
high,neg1,Pos,304,F;IM,Oct
high,sum_cps,Pos,526,T,Oct
high,sigma_sum,Pos,445,T,Oct
high,intro2,Pos,91,T,Oct
high,repeat4,Pos,373,T,Oct
high,hors,Pos,317,T,Oct
high,repeat,Pos,479,T,Oct
high,intro1,Pos,87,T,Oct
high,app-lin-ord3,Pos,445,T,Oct
high,hrec,Pos,384,T,Oct
high,app-nonrec,Pos,70,T,Oct
high,app-lin-ord2,Pos,117,T,Oct
high,max,Pos,339,T,Oct
high,apply,Pos,555,T,Oct
high,twice,Pos,337,T,Oct
high,neg2,Pos,136,T,Oct
high,exception,Pos,70,T,Oct
high,power,Pos,824,T,Oct
high,flip_twice_2,Pos,251,F;IM,Oct
high,exc-fact,Pos,686,T,Oct
high,recursive,Pos,59,T,Oct
high,mc91_cps,Pos,693,F;IM,Oct
high,exc-simple,Pos,79,T,Oct
array,a-copy-print,Pos,523,ER,Oct
array,array_init,Pos,407,F;IM,Oct
array,bcopy,Pos,538,T,Oct
array,a-dotprod,Pos,1003,F;IM,Oct
array,a-init,Pos,580,F;IM,Oct
first,mc91_99,Pos,279,F;IM,Oct
first,enc-rev_append-2,Pos,150,T,Oct
first,gib2,Pos,816,T,Oct
first,enc-zip3,Pos,505,T,Oct
first,substring2,Pos,134,T,Oct
first,mult,Pos,341,T,Oct
first,sum4,Pos,244,F;IM,Oct
first,fxx,Pos,32,T,Oct
first,map,Pos,242,T,Oct
first,enc-zipmap,Pos,1097,T,Oct
first,lcm,Pos,497,F;IM,Oct
first,mc91_98,Pos,134,F;IM,Oct
first,enc-zip_map2,Pos,787,T,Oct
first,inductive6,Pos,65,T,Oct
first,copy_intro,Pos,232,T,Oct
first,pldi082_unbounded1,Pos,1685,F;IM,Oct
first,flow,Pos,19,T,Oct
first,inductive2,Pos,35,T,Oct
first,inductive1-3,Pos,522,T,Oct
first,inductive3,Pos,44,T,Oct
first,enc-zip_map,Pos,692,T,Oct
first,inductive1-2,Pos,299,T,Oct
first,xyz2,Pos,1178,F;IM,Oct
first,xy10,Pos,559,T,Oct
first,01_ic3,Pos,325,T,Oct
first,sum,Pos,221,T,Oct
first,up_down_stair,Pos,1752,F;IM,Oct
first,up2,Pos,1076,F;IM,Oct
first,inductive1-1,Pos,542,T,Oct
first,mc91_95,Pos,123,F;IM,Oct
first,inductive4,Pos,306,T,Oct
first,lock,Pos,246,T,Oct
first,mc91,Pos,276,F;IM,Oct
first,xyz,Pos,1046,F;IM,Oct
first,enc-rev_accum,Pos,330,T,Oct
first,inductive5,Pos,50,T,Oct
first,inductive3-2,Pos,43,T,Oct
first,pldi082_unbounded2,Pos,173,T,Oct
first,file,Pos,1110,T;UR,Oct
first,xy4,Pos,585,F;IM,Oct
first,sum_intro,Pos,327,T,Oct
first,map_map,Pos,265,T,Oct
first,xy0,Pos,616,T,Oct
first,prog2,Pos,355,T,Oct
first,sum3,Pos,238,F;IM,Oct
first,fib,Pos,250,T,Oct
first,svd,Pos,14997,T,Oct
first,ack,Pos,755,T,Oct
first,enc-zip,Pos,740,T,Oct
first,gcd,Pos,368,T,Oct
first,enc-zip4,Pos,806,T,Oct
first,recHanoi03,Pos,270,T,Oct
first,enc-rev_append-1,Pos,290,T,Oct
first,sum2,Pos,241,F;IM,Oct
first,gib,Pos,934,T,Oct
first,seq-len1,Pos,4033,T,Oct
first,substring1,Pos,789,T,Oct
negative,zip00,Pos,11940,F;IM,Oct
negative,indirectHO01,Pos,19027,F,Oct
negative,xyz2,Pos,1202,F;IM,Oct
negative,xy10,Pos,564,F,Oct
negative,01_ic3,Pos,129,F,Oct
negative,ex23,Pos,88,F,Oct
negative,inductive1-1,Pos,508,F,Oct
negative,repeat,Pos,305,T,Oct
negative,xyz,Pos,1153,F;IM,Oct
negative,zip_unzip,Pos,617,T,Oct
negative,xy4,Pos,536,F,Oct
negative,Ackermann00,Pos,10009,T,Oct
negative,compose,Pos,74,F,Oct
negative,up_down01,Pos,7716,T,Oct
negative,binomial00,Pos,11464,T,Oct
universe,id,Pos,71,F,Oct
universe,idc1,Pos,655,T,Oct
universe,sigma_sum,Pos,523,T,Oct
universe,repeat4,Pos,399,T,Oct
universe,ack00,Pos,32270,F;IM,Oct
universe,idc2,Pos,795,T,Oct
universe,gcd,Pos,208,T,Oct
universe,fib_u,Pos,309,T,Oct
