subdir,file name,test class,timing (milseconds),res (true/false),domain
high,flip_twice_1,Pos,801,F;IM,Oct
high,fact_exn,Pos,262,T,Oct
high,inc,Pos,570,T,Oct
high,intro3,Pos,117,T,Oct
high,neg1,Pos,297,F;IM,Oct
high,sum_cps,Pos,211,T,Oct
high,sigma_sum,Pos,129,T,Oct
high,intro2,Pos,103,T,Oct
high,repeat4,Pos,139,T,Oct
high,hors,Pos,209,T,Oct
high,repeat,Pos,198,T,Oct
high,intro1,Pos,96,T,Oct
high,app-lin-ord3,Pos,462,T,Oct
high,hrec,Pos,144,T,Oct
high,app-nonrec,Pos,85,T,Oct
high,app-lin-ord2,Pos,137,T,Oct
high,max,Pos,402,T,Oct
high,apply,Pos,199,T,Oct
high,twice,Pos,99,T,Oct
high,neg2,Pos,155,T,Oct
high,exception,Pos,79,T,Oct
high,power,Pos,849,T,Oct
high,flip_twice_2,Pos,246,F;IM,Oct
high,exc-fact,Pos,233,T,Oct
high,recursive,Pos,63,T,Oct
high,mc91_cps,Pos,308,F;IM,Oct
high,exc-simple,Pos,79,T,Oct
array,a-copy-print,Pos,294,ER,Oct
array,array_init,Pos,140,ER,Oct
array,bcopy,Pos,394,ER,Oct
array,a-dotprod,Pos,421,ER,Oct
array,a-init,Pos,200,ER,Oct
first,mc91_99,Pos,71,F;IM,Oct
first,enc-rev_append-2,Pos,101,T,Oct
first,gib2,Pos,363,T,Oct
first,enc-zip3,Pos,114,T,Oct
first,substring2,Pos,132,T,Oct
first,mult,Pos,83,T,Oct
first,sum4,Pos,49,F;IM,Oct
first,fxx,Pos,37,T,Oct
first,map,Pos,50,T,Oct
first,enc-zipmap,Pos,271,F;IM,Oct
first,lcm,Pos,322,F;IM,Oct
first,mc91_98,Pos,70,F;IM,Oct
first,enc-zip_map2,Pos,262,T,Oct
first,inductive6,Pos,66,T,Oct
first,copy_intro,Pos,51,T,Oct
first,pldi082_unbounded1,Pos,743,F;IM,Oct
first,flow,Pos,23,T,Oct
first,inductive2,Pos,44,T,Oct
first,inductive1-3,Pos,152,F;IM,Oct
first,inductive3,Pos,51,T,Oct
first,enc-zip_map,Pos,238,T,Oct
first,inductive1-2,Pos,146,F;IM,Oct
first,xyz2,Pos,584,F;IM,Oct
first,xy10,Pos,182,T,Oct
first,01_ic3,Pos,140,T,Oct
first,sum,Pos,51,T,Oct
first,up_down_stair,Pos,1159,F;IM,Oct
first,up2,Pos,496,F;IM,Oct
first,inductive1-1,Pos,128,T,Oct
first,mc91_95,Pos,69,F;IM,Oct
first,inductive4,Pos,160,F;IM,Oct
first,lock,Pos,288,T,Oct
first,mc91,Pos,70,F;IM,Oct
first,xyz,Pos,527,F;IM,Oct
first,enc-rev_accum,Pos,91,F;IM,Oct
first,inductive5,Pos,63,T,Oct
first,inductive3-2,Pos,53,T,Oct
first,pldi082_unbounded2,Pos,195,T,Oct
first,file,Pos,1341,T;UR,Oct
first,xy4,Pos,246,F;IM,Oct
first,sum_intro,Pos,103,T,Oct
first,map_map,Pos,49,T,Oct
first,xy0,Pos,237,T,Oct
first,prog2,Pos,88,T,Oct
first,sum3,Pos,49,F;IM,Oct
first,fib,Pos,50,T,Oct
first,svd,Pos,15239,T,Oct
first,ack,Pos,309,F;IM,Oct
first,enc-zip,Pos,149,F;IM,Oct
first,gcd,Pos,278,T,Oct
first,enc-zip4,Pos,185,F;IM,Oct
first,recHanoi03,Pos,59,T,Oct
first,enc-rev_append-1,Pos,144,T,Oct
first,sum2,Pos,52,F;IM,Oct
first,gib,Pos,480,F;IM,Oct
first,seq-len1,Pos,3117,T,Oct
first,substring1,Pos,312,T,Oct
negative,zip00,Pos,11878,F;IM,Oct
negative,indirectHO01,Pos,20133,F,Oct
negative,xyz2,Pos,601,F;IM,Oct
negative,xy10,Pos,187,F,Oct
negative,01_ic3,Pos,226,F;IM,Oct
negative,ex23,Pos,111,F,Oct
negative,inductive1-1,Pos,127,F,Oct
negative,repeat,Pos,92,T,Oct
negative,xyz,Pos,699,F;IM,Oct
negative,zip_unzip,Pos,264,T,Oct
negative,xy4,Pos,195,F,Oct
negative,Ackermann00,Pos,10448,T,Oct
negative,compose,Pos,84,F,Oct
negative,up_down01,Pos,8347,T,Oct
negative,binomial00,Pos,12284,T,Oct
universe,id,Pos,88,F,Oct
universe,idc1,Pos,138,T,Oct
universe,sigma_sum,Pos,196,T,Oct
universe,repeat4,Pos,156,T,Oct
universe,ack00,Pos,33329,F;IM,Oct
universe,idc2,Pos,261,F;IM,Oct
universe,gcd,Pos,254,T,Oct
universe,fib_u,Pos,56,T,Oct
