subdir,file name,test class,timing (seconds),res (true/false),domain
high,map_2,Pos,1.45,F,Oct
high,flip_twice_1,Pos,0.3,F,Oct
high,fact_exn,Pos,0.83,T,Oct
high,inc,Pos,1.19,T,Oct
high,intro3,Pos,0.05,T,Oct
high,neg1,Pos,0.07,F,Oct
high,repeat_order,Pos,0.75,T,Oct
high,intro-ord2,Pos,1.43,T,Oct
high,foldr,Pos,2.73,F,Oct
high,sum_cps,Pos,0.93,T,Oct
high,sigma_sum,Pos,0.79,T,Oct
high,apply_twice,Pos,0.05,F,Oct
high,intro-ord3,Pos,2.58,T,Oct
high,intro2,Pos,0.04,T,Oct
high,repeat4,Pos,0.54,T,Oct
high,hors,Pos,0.32,T,Oct
high,repeat,Pos,0.72,T,Oct
high,intro1,Pos,0.04,T,Oct
high,app-lin-ord3,Pos,0.29,F,Oct
high,foldl,Pos,2.1,F,Oct
high,hrec,Pos,0.53,T,Oct
high,app-nonrec,Pos,0.05,T,Oct
high,app-lin-ord2,Pos,0.09,F,Oct
high,max,Pos,0.2,F,Oct
high,apply,Pos,0.97,T,Oct
high,twice,Pos,0.04,T,Oct
high,neg2,Pos,0.07,F,Oct
high,exception,Pos,0.05,T,Oct
high,power,Pos,1.09,T,Oct
high,mixed_id,Pos,0.04,T,Oct
high,app-succ,Pos,1.89,T,Oct
high,call_back,Pos,0.04,F,Oct
high,flip_twice_2,Pos,0.11,F,Oct
high,exc-fact,Pos,0.81,T,Oct
high,multi_compose,Pos,0.16,F,Oct
high,recursive,Pos,0.53,T,Oct
high,mc91_cps,Pos,1.16,F,Oct
high,exc-simple,Pos,0.05,T,Oct
array,a-copy-print,Pos,1.5,T,Oct
array,array_init,Pos,0.26,F,Oct
array,bcopy,Pos,0.32,T,Oct
array,a-dotprod,Pos,0.64,F,Oct
array,a-init,Pos,0.31,F,Oct
first,inductive6-2,Pos,0.04,T,Oct
first,mc91_99,Pos,0.48,F,Oct
first,enc-rev_append-2,Pos,0.9,F,Oct
first,gib2,Pos,1.92,T,Oct
first,enc-zip3,Pos,0.82,T,Oct
first,substring2,Pos,1.21,T,Oct
first,mult,Pos,0.71,F,Oct
first,sum4,Pos,0.48,F,Oct
first,fxx,Pos,0.03,T,Oct
first,map,Pos,0.46,T,Oct
first,enc-zipmap,Pos,1.19,T,Oct
first,lcm,Pos,0.25,F,Oct
first,mc91_98,Pos,0.49,F,Oct
first,enc-zip_map2,Pos,1.12,T,Oct
first,inductive6,Pos,0.04,T,Oct
first,copy_intro,Pos,0.43,T,Oct
first,pldi082_unbounded1,Pos,2.02,F,Oct
first,flow,Pos,0.02,T,Oct
first,inductive2,Pos,0.03,T,Oct
first,inductive1-3,Pos,0.91,T,Oct
first,inductive3,Pos,0.03,T,Oct
first,enc-zip_map,Pos,1.06,T,Oct
first,inductive1-2,Pos,0.96,T,Oct
first,gulwani_cegar1,Pos,2.17,T,Oct
first,xyz2,Pos,1.72,F,Oct
first,xy10,Pos,1.1,T,Oct
first,01_ic3,Pos,0.16,T,Oct
first,sum,Pos,0.49,T,Oct
first,up_down_stair,Pos,2.38,T,Oct
first,up2,Pos,2.05,T,Oct
first,inductive1-1,Pos,0.89,T,Oct
first,mc91_95,Pos,0.49,F,Oct
first,inductive4,Pos,0.66,T,Oct
first,lock,Pos,0.12,F,Oct
first,mc91,Pos,0.48,F,Oct
first,xyz,Pos,1.74,F,Oct
first,enc-rev_accum,Pos,0.68,F,Oct
first,inductive5,Pos,0.06,T,Oct
first,seq-len,Pos,5.91,F,Oct
first,inductive3-2,Pos,0.03,T,Oct
first,pldi082_unbounded2,Pos,0.09,T,Oct
first,file,Pos,1.37,T,Oct
first,xy4,Pos,1.15,F,Oct
first,sum_intro,Pos,0.63,T,Oct
first,map_map,Pos,0.47,T,Oct
first,xy0,Pos,0.54,T,Oct
first,prog2,Pos,0.2,T,Oct
first,sum3,Pos,0.48,F,Oct
first,fib,Pos,0.47,T,Oct
first,svd,Pos,18.13,T,Oct
first,ack,Pos,1.25,T,Oct
first,enc-zip,Pos,0.91,T,Oct
first,gcd,Pos,0.07,T,Oct
first,enc-zip4,Pos,1.03,T,Oct
first,recHanoi03,Pos,0.51,T,Oct
first,enc-rev_append-1,Pos,0.95,T,Oct
first,sum2,Pos,0.56,F,Oct
first,gib,Pos,1.77,T,Oct
first,seq-len1,Pos,5.65,T,Oct
first,substring1,Pos,1.19,T,Oct
negative,zip00,Neg,7.71,T,Oct
negative,indirectHO01,Neg,7.55,T,Oct
negative,xyz2,Neg,1.68,F,Oct
negative,xy10,Neg,1.04,T,Oct
negative,01_ic3,Neg,0.08,T,Oct
negative,ex23,Neg,0.08,T,Oct
negative,inductive1-1,Neg,0.88,T,Oct
negative,repeat,Neg,0.54,T,Oct
negative,xyz,Neg,1.87,F,Oct
negative,zip_unzip,Neg,0.77,T,Oct
negative,xy4,Neg,1.19,T,Oct
negative,Ackermann00,Neg,7.07,T,Oct
negative,compose,Neg,0.06,T,Oct
negative,up_down01,Neg,6.62,T,Oct
negative,binomial00,Neg,1.3,T,Oct
