subdir,file name,test class,timing (milseconds),res (true/false),domain
high,flip_twice_1,Pos,1294,F;IM,Oct
high,fact_exn,Pos,230,T,Oct
high,inc,Pos,745,T,Oct
high,intro3,Pos,89,T,Oct
high,neg1,Pos,133,F;IM,Oct
high,sum_cps,Pos,278,T,Oct
high,sigma_sum,Pos,149,T,Oct
high,intro2,Pos,68,T,Oct
high,repeat4,Pos,169,T,Oct
high,hors,Pos,221,T,Oct
high,repeat,Pos,225,T,Oct
high,intro1,Pos,68,T,Oct
high,app-lin-ord3,Pos,642,F;IM,Oct
high,hrec,Pos,160,T,Oct
high,app-nonrec,Pos,95,T,Oct
high,app-lin-ord2,Pos,173,F;IM,Oct
high,max,Pos,595,F;IM,Oct
high,apply,Pos,234,T,Oct
high,twice,Pos,70,T,Oct
high,neg2,Pos,165,F;IM,Oct
high,exception,Pos,99,T,Oct
high,power,Pos,1128,T,Oct
high,flip_twice_2,Pos,195,F;IM,Oct
high,exc-fact,Pos,206,T,Oct
high,recursive,Pos,207,T,Oct
high,mc91_cps,Pos,274,F;IM,Oct
high,exc-simple,Pos,118,T,Oct
array,a-copy-print,Pos,353,ER,Oct
array,array_init,Pos,156,ER,Oct
array,bcopy,Pos,499,ER,Oct
array,a-dotprod,Pos,369,ER,Oct
array,a-init,Pos,213,ER,Oct
first,inductive6-2,Pos,77,T,Oct
first,mc91_99,Pos,55,F;IM,Oct
first,enc-rev_append-2,Pos,132,F;IM,Oct
first,gib2,Pos,449,T,Oct
first,enc-zip3,Pos,134,T,Oct
first,substring2,Pos,328,T,Oct
first,mult,Pos,93,F;IM,Oct
first,sum4,Pos,55,F;IM,Oct
first,fxx,Pos,39,T,Oct
first,map,Pos,52,T,Oct
first,enc-zipmap,Pos,306,F;IM,Oct
first,lcm,Pos,486,F;IM,Oct
first,mc91_98,Pos,58,F;IM,Oct
first,enc-zip_map2,Pos,282,T,Oct
first,inductive6,Pos,74,T,Oct
first,copy_intro,Pos,53,T,Oct
first,pldi082_unbounded1,Pos,472,F;IM,Oct
first,flow,Pos,23,T,Oct
first,inductive2,Pos,48,T,Oct
first,inductive1-3,Pos,126,T,Oct
first,inductive3,Pos,42,T,Oct
first,enc-zip_map,Pos,278,T,Oct
first,inductive1-2,Pos,156,F;IM,Oct
first,xyz2,Pos,811,F;IM,Oct
first,xy10,Pos,242,T,Oct
first,01_ic3,Pos,163,T,Oct
first,sum,Pos,52,T,Oct
first,up_down_stair,Pos,1225,F;IM,Oct
first,up2,Pos,570,F;IM,Oct
first,inductive1-1,Pos,136,T,Oct
first,mc91_95,Pos,60,F;IM,Oct
first,inductive4,Pos,138,F;IM,Oct
first,lock,Pos,298,F;IM,Oct
first,mc91,Pos,58,F;IM,Oct
first,xyz,Pos,717,F;IM,Oct
first,enc-rev_accum,Pos,103,F;IM,Oct
first,inductive5,Pos,105,F;IM,Oct
first,inductive3-2,Pos,44,T,Oct
first,pldi082_unbounded2,Pos,194,T,Oct
first,file,Pos,3326,T;UR,Oct
first,xy4,Pos,285,F;IM,Oct
first,sum_intro,Pos,126,T,Oct
first,map_map,Pos,56,T,Oct
first,xy0,Pos,268,T,Oct
first,prog2,Pos,103,T,Oct
first,sum3,Pos,55,F;IM,Oct
first,fib,Pos,54,T,Oct
first,svd,Pos,20059,T,Oct
first,ack,Pos,242,F;IM,Oct
first,enc-zip,Pos,202,F;IM,Oct
first,gcd,Pos,212,T,Oct
first,enc-zip4,Pos,239,F;IM,Oct
first,recHanoi03,Pos,65,T,Oct
first,enc-rev_append-1,Pos,167,T,Oct
first,sum2,Pos,54,F;IM,Oct
first,gib,Pos,429,T,Oct
first,seq-len1,Pos,3384,T,Oct
first,substring1,Pos,283,T,Oct
negative,zip00,Neg,12388,T,Oct
negative,indirectHO01,Neg,21595,T,Oct
negative,xyz2,Neg,776,F,Oct
negative,xy10,Neg,204,T,Oct
negative,01_ic3,Neg,179,F,Oct
negative,ex23,Neg,122,T,Oct
negative,inductive1-1,Neg,132,T,Oct
negative,repeat,Neg,104,T,Oct
negative,xyz,Neg,758,F,Oct
negative,zip_unzip,Neg,257,T,Oct
negative,xy4,Neg,235,T,Oct
negative,Ackermann00,Neg,10627,T,Oct
negative,compose,Neg,96,T,Oct
negative,up_down01,Neg,8127,T,Oct
negative,binomial00,Neg,4409,T,Oct
universe,id,Pos,85,F,Oct
universe,idc1,Pos,3370,T,Oct
universe,sigma_sum,Pos,2943,T,Oct
universe,repeat4,Pos,2085,T,Oct
universe,ack00,Pos,68458,F;IM,Oct
universe,idc2,Pos,4857,T,Oct
universe,gcd,Pos,235,T,Oct
universe,fib_u,Pos,1490,T,Oct
