subdir,file name,test class,timing (seconds),res (true/false),domain
high,map_2,Pos,0.95,F,Polka_st
high,flip_twice_1,Pos,1.13,T,Polka_st
high,fact_exn,Pos,0.25,T,Polka_st
high,inc,Pos,0.9,T,Polka_st
high,intro3,Pos,0.09,T,Polka_st
high,neg1,Pos,0.13,F,Polka_st
high,repeat_order,Pos,2.42,T,Polka_st
high,intro-ord2,Pos,0.73,T,Polka_st
high,foldr,Pos,2.66,F,Polka_st
high,sum_cps,Pos,0.33,T,Polka_st
high,sigma_sum,Pos,0.24,T,Polka_st
high,apply_twice,Pos,0.09,F,Polka_st
high,intro-ord3,Pos,2.13,T,Polka_st
high,intro2,Pos,0.07,T,Polka_st
high,repeat4,Pos,1.85,T,Polka_st
high,hors,Pos,0.86,T,Polka_st
high,repeat,Pos,2.34,T,Polka_st
high,intro1,Pos,0.07,T,Polka_st
high,app-lin-ord3,Pos,0.82,T,Polka_st
high,foldl,Pos,1.41,F,Polka_st
high,hrec,Pos,1.53,T,Polka_st
high,app-nonrec,Pos,0.09,T,Polka_st
high,app-lin-ord2,Pos,0.23,T,Polka_st
high,max,Pos,0.61,F,Polka_st
high,apply,Pos,0.34,T,Polka_st
high,twice,Pos,0.09,T,Polka_st
high,neg2,Pos,0.17,T,Polka_st
high,exception,Pos,0.09,T,Polka_st
high,power,Pos,3.5,T,Polka_st
high,mixed_id,Pos,0.07,T,Polka_st
high,app-succ,Pos,1.59,T,Polka_st
high,call_back,Pos,0.07,T,Polka_st
high,flip_twice_2,Pos,0.34,F,Polka_st
high,exc-fact,Pos,0.25,T,Polka_st
high,multi_compose,Pos,0.46,T,Polka_st
high,recursive,Pos,1.52,T,Polka_st
high,mc91_cps,Pos,0.49,F,Polka_st
high,exc-simple,Pos,0.1,T,Polka_st
array,a-copy-print,Pos,4.62,T,Polka_st
array,array_init,Pos,0.62,F,Polka_st
array,bcopy,Pos,0.98,T,Polka_st
array,a-dotprod,Pos,0.68,ER,Polka_st
array,a-init,Pos,0.81,F,Polka_st
first,inductive6-2,Pos,0.07,T,Polka_st
first,mc91_99,Pos,0.12,F,Polka_st
first,enc-rev_append-2,Pos,0.21,T,Polka_st
first,gib2,Pos,0.73,T,Polka_st
first,enc-zip3,Pos,0.37,T,Polka_st
first,substring2,Pos,0.74,T,Polka_st
first,mult,Pos,0.18,F,Polka_st
first,sum4,Pos,0.11,F,Polka_st
first,fxx,Pos,0.04,T,Polka_st
first,map,Pos,1.44,T,Polka_st
first,enc-zipmap,Pos,0.59,T,Polka_st
first,lcm,Pos,0.91,F,Polka_st
first,mc91_98,Pos,0.12,F,Polka_st
first,enc-zip_map2,Pos,0.52,T,Polka_st
first,inductive6,Pos,0.06,T,Polka_st
first,copy_intro,Pos,1.51,T,Polka_st
first,pldi082_unbounded1,Pos,0.79,F,Polka_st
first,flow,Pos,0.02,T,Polka_st
first,inductive2,Pos,0.04,T,Polka_st
first,inductive1-3,Pos,3.0,T,Polka_st
first,inductive3,Pos,0.04,T,Polka_st
first,enc-zip_map,Pos,0.5,T,Polka_st
first,inductive1-2,Pos,0.29,F,Polka_st
first,gulwani_cegar1,Pos,0.86,T,Polka_st
first,xyz2,Pos,2.33,T,Polka_st
first,xy10,Pos,1.87,T,Polka_st
first,01_ic3,Pos,0.57,T,Polka_st
first,sum,Pos,0.09,T,Polka_st
first,up_down_stair,Pos,1.64,T,Polka_st
first,up2,Pos,0.96,T,Polka_st
first,inductive1-1,Pos,0.25,T,Polka_st
first,mc91_95,Pos,0.13,F,Polka_st
first,inductive4,Pos,0.19,F,Polka_st
first,lock,Pos,0.29,F,Polka_st
first,mc91,Pos,0.13,F,Polka_st
first,xyz,Pos,2.34,T,Polka_st
first,enc-rev_accum,Pos,0.36,T,Polka_st
first,inductive5,Pos,0.17,F,Polka_st
first,seq-len,Pos,5.26,F,Polka_st
first,inductive3-2,Pos,0.05,T,Polka_st
first,pldi082_unbounded2,Pos,0.22,T,Polka_st
first,file,Pos,7.13,T,Polka_st
first,xy4,Pos,0.67,T,Polka_st
first,sum_intro,Pos,0.26,T,Polka_st
first,map_map,Pos,1.62,T,Polka_st
first,xy0,Pos,1.35,T,Polka_st
first,prog2,Pos,0.49,T,Polka_st
first,sum3,Pos,0.1,F,Polka_st
first,fib,Pos,0.08,T,Polka_st
first,svd,Pos,27.94,T,Polka_st
first,ack,Pos,0.57,F,Polka_st
first,enc-zip,Pos,0.46,T,Polka_st
first,gcd,Pos,0.54,F,Polka_st
first,enc-zip4,Pos,0.42,T,Polka_st
first,recHanoi03,Pos,0.26,T,Polka_st
first,enc-rev_append-1,Pos,0.76,T,Polka_st
first,sum2,Pos,0.09,T,Polka_st
first,gib,Pos,0.77,T,Polka_st
first,seq-len1,Pos,7.46,T,Polka_st
first,substring1,Pos,0.67,T,Polka_st
negative,zip00,Neg,14.95,T,Polka_st
negative,indirectHO01,Neg,18.7,T,Polka_st
negative,xyz2,Neg,2.48,T,Polka_st
negative,xy10,Neg,1.81,T,Polka_st
negative,01_ic3,Neg,0.2,T,Polka_st
negative,ex23,Neg,0.19,T,Polka_st
negative,inductive1-1,Neg,3.02,T,Polka_st
negative,repeat,Neg,1.28,T,Polka_st
negative,xyz,Neg,2.33,T,Polka_st
negative,zip_unzip,Neg,1.24,T,Polka_st
negative,xy4,Neg,0.72,T,Polka_st
negative,Ackermann00,Neg,17.92,T,Polka_st
negative,compose,Neg,0.11,T,Polka_st
negative,up_down01,Neg,11.48,T,Polka_st
negative,binomial00,Neg,3.21,T,Polka_st
