subdir,file name,test class,timing (seconds),res (true/false),domain
high,map_2,Pos,0.97,F,Polka_st
high,flip_twice_1,Pos,1.3,T,Polka_st
high,fact_exn,Pos,0.21,T,Polka_st
high,inc,Pos,0.9,T,Polka_st
high,intro3,Pos,0.1,T,Polka_st
high,neg1,Pos,0.18,F,Polka_st
high,repeat_order,Pos,0.32,T,Polka_st
high,intro-ord2,Pos,0.75,T,Polka_st
high,foldr,Pos,2.34,F,Polka_st
high,sum_cps,Pos,0.34,T,Polka_st
high,sigma_sum,Pos,0.18,T,Polka_st
high,apply_twice,Pos,0.11,F,Polka_st
high,intro-ord3,Pos,2.25,T,Polka_st
high,intro2,Pos,0.07,T,Polka_st
high,repeat4,Pos,0.2,T,Polka_st
high,hors,Pos,0.31,T,Polka_st
high,repeat,Pos,0.35,T,Polka_st
high,intro1,Pos,0.09,T,Polka_st
high,app-lin-ord3,Pos,1.02,T,Polka_st
high,foldl,Pos,1.63,F,Polka_st
high,hrec,Pos,0.21,T,Polka_st
high,app-nonrec,Pos,0.11,T,Polka_st
high,app-lin-ord2,Pos,0.25,T,Polka_st
high,max,Pos,0.64,F,Polka_st
high,apply,Pos,0.35,T,Polka_st
high,twice,Pos,0.1,T,Polka_st
high,neg2,Pos,0.22,T,Polka_st
high,exception,Pos,0.1,T,Polka_st
high,power,Pos,0.97,T,Polka_st
high,mixed_id,Pos,0.08,T,Polka_st
high,app-succ,Pos,1.6,T,Polka_st
high,call_back,Pos,0.1,T,Polka_st
high,flip_twice_2,Pos,0.47,F,Polka_st
high,exc-fact,Pos,0.22,T,Polka_st
high,multi_compose,Pos,0.61,T,Polka_st
high,recursive,Pos,0.2,T,Polka_st
high,mc91_cps,Pos,0.45,F,Polka_st
high,exc-simple,Pos,0.12,T,Polka_st
array,a-copy-print,Pos,0.56,ER,Polka_st
array,array_init,Pos,0.22,ER,Polka_st
array,bcopy,Pos,0.79,ER,Polka_st
array,a-dotprod,Pos,0.54,ER,Polka_st
array,a-init,Pos,0.31,ER,Polka_st
first,inductive6-2,Pos,0.08,T,Polka_st
first,mc91_99,Pos,0.07,F,Polka_st
first,enc-rev_append-2,Pos,0.22,T,Polka_st
first,gib2,Pos,0.81,T,Polka_st
first,enc-zip3,Pos,0.15,T,Polka_st
first,substring2,Pos,0.68,T,Polka_st
first,mult,Pos,0.13,F,Polka_st
first,sum4,Pos,0.07,F,Polka_st
first,fxx,Pos,0.06,T,Polka_st
first,map,Pos,0.07,T,Polka_st
first,enc-zipmap,Pos,0.36,T,Polka_st
first,lcm,Pos,0.88,F,Polka_st
first,mc91_98,Pos,0.07,F,Polka_st
first,enc-zip_map2,Pos,0.37,T,Polka_st
first,inductive6,Pos,0.07,T,Polka_st
first,copy_intro,Pos,0.07,T,Polka_st
first,pldi082_unbounded1,Pos,0.69,F,Polka_st
first,flow,Pos,0.03,T,Polka_st
first,inductive2,Pos,0.04,T,Polka_st
first,inductive1-3,Pos,0.15,T,Polka_st
first,inductive3,Pos,0.04,T,Polka_st
first,enc-zip_map,Pos,0.4,T,Polka_st
first,inductive1-2,Pos,0.28,F,Polka_st
first,gulwani_cegar1,Pos,0.82,T,Polka_st
first,xyz2,Pos,1.49,F,Polka_st
first,xy10,Pos,0.32,T,Polka_st
first,01_ic3,Pos,0.2,T,Polka_st
first,sum,Pos,0.07,T,Polka_st
first,up_down_stair,Pos,1.58,T,Polka_st
first,up2,Pos,0.98,F,Polka_st
first,inductive1-1,Pos,0.17,T,Polka_st
first,mc91_95,Pos,0.07,F,Polka_st
first,inductive4,Pos,0.17,F,Polka_st
first,lock,Pos,0.33,F,Polka_st
first,mc91,Pos,0.08,F,Polka_st
first,xyz,Pos,1.31,F,Polka_st
first,enc-rev_accum,Pos,0.14,T,Polka_st
first,inductive5,Pos,0.12,F,Polka_st
first,seq-len,Pos,4.95,F,Polka_st
first,inductive3-2,Pos,0.06,T,Polka_st
first,pldi082_unbounded2,Pos,0.21,T,Polka_st
first,file,Pos,7.22,T,Polka_st
first,xy4,Pos,0.39,F,Polka_st
first,sum_intro,Pos,0.18,T,Polka_st
first,map_map,Pos,0.07,T,Polka_st
first,xy0,Pos,0.38,T,Polka_st
first,prog2,Pos,0.13,T,Polka_st
first,sum3,Pos,0.07,F,Polka_st
first,fib,Pos,0.07,T,Polka_st
first,svd,Pos,26.84,T,Polka_st
first,ack,Pos,0.57,F,Polka_st
first,enc-zip,Pos,0.18,T,Polka_st
first,gcd,Pos,0.47,F,Polka_st
first,enc-zip4,Pos,0.23,T,Polka_st
first,recHanoi03,Pos,0.08,T,Polka_st
first,enc-rev_append-1,Pos,0.22,T,Polka_st
first,sum2,Pos,0.07,F,Polka_st
first,gib,Pos,0.81,T,Polka_st
first,seq-len1,Pos,7.43,T,Polka_st
first,substring1,Pos,0.65,T,Polka_st
negative,zip00,Neg,15.4,T,Polka_st
negative,indirectHO01,Neg,19.4,T,Polka_st
negative,xyz2,Neg,1.46,F,Polka_st
negative,xy10,Neg,0.31,T,Polka_st
negative,01_ic3,Neg,0.38,F,Polka_st
negative,ex23,Neg,0.22,T,Polka_st
negative,inductive1-1,Neg,0.16,T,Polka_st
negative,repeat,Neg,0.12,T,Polka_st
negative,xyz,Neg,1.44,F,Polka_st
negative,zip_unzip,Neg,0.2,T,Polka_st
negative,xy4,Neg,0.39,T,Polka_st
negative,Ackermann00,Neg,17.96,T,Polka_st
negative,compose,Neg,0.12,T,Polka_st
negative,up_down01,Neg,11.45,T,Polka_st
negative,binomial00,Neg,3.45,T,Polka_st
