subdir,file name,test class,timing (seconds),res (true/false),domain
high,map_2,Pos,3.17,F,Ppl_st
high,flip_twice_1,Pos,5.89,T,Ppl_st
high,fact_exn,Pos,0.74,T,Ppl_st
high,inc,Pos,3.2,T,Ppl_st
high,intro3,Pos,0.37,T,Ppl_st
high,neg1,Pos,0.72,F,Ppl_st
high,repeat_order,Pos,1.06,T,Ppl_st
high,intro-ord2,Pos,2.73,T,Ppl_st
high,foldr,Pos,9.14,F,Ppl_st
high,sum_cps,Pos,1.06,T,Ppl_st
high,sigma_sum,Pos,0.61,T,Ppl_st
high,apply_twice,Pos,0.4,F,Ppl_st
high,intro-ord3,Pos,8.39,T,Ppl_st
high,intro2,Pos,0.26,T,Ppl_st
high,repeat4,Pos,0.67,T,Ppl_st
high,hors,Pos,1.11,T,Ppl_st
high,repeat,Pos,1.12,T,Ppl_st
high,intro1,Pos,0.26,T,Ppl_st
high,app-lin-ord3,Pos,3.81,T,Ppl_st
high,foldl,Pos,5.55,F,Ppl_st
high,hrec,Pos,0.7,T,Ppl_st
high,app-nonrec,Pos,0.38,T,Ppl_st
high,app-lin-ord2,Pos,0.98,T,Ppl_st
high,max,Pos,2.74,F,Ppl_st
high,apply,Pos,1.18,T,Ppl_st
high,twice,Pos,0.36,T,Ppl_st
high,neg2,Pos,0.78,T,Ppl_st
high,exception,Pos,0.32,T,Ppl_st
high,power,Pos,3.93,T,Ppl_st
high,mixed_id,Pos,0.3,T,Ppl_st
high,app-succ,Pos,6.28,T,Ppl_st
high,call_back,Pos,0.38,T,Ppl_st
high,flip_twice_2,Pos,2.02,F,Ppl_st
high,exc-fact,Pos,0.76,T,Ppl_st
high,multi_compose,Pos,2.31,T,Ppl_st
high,recursive,Pos,0.72,T,Ppl_st
high,mc91_cps,Pos,1.59,F,Ppl_st
high,exc-simple,Pos,0.35,T,Ppl_st
array,a-copy-print,Pos,2.03,ER,Ppl_st
array,array_init,Pos,0.72,ER,Ppl_st
array,bcopy,Pos,2.91,ER,Ppl_st
array,a-dotprod,Pos,1.84,ER,Ppl_st
array,a-init,Pos,1.05,ER,Ppl_st
first,inductive6-2,Pos,0.28,T,Ppl_st
first,mc91_99,Pos,0.25,F,Ppl_st
first,enc-rev_append-2,Pos,0.75,T,Ppl_st
first,gib2,Pos,2.58,T,Ppl_st
first,enc-zip3,Pos,0.56,T,Ppl_st
first,substring2,Pos,2.67,T,Ppl_st
first,mult,Pos,0.46,F,Ppl_st
first,sum4,Pos,0.21,F,Ppl_st
first,fxx,Pos,0.13,T,Ppl_st
first,map,Pos,0.2,T,Ppl_st
first,enc-zipmap,Pos,1.15,T,Ppl_st
first,lcm,Pos,2.98,F,Ppl_st
first,mc91_98,Pos,0.24,F,Ppl_st
first,enc-zip_map2,Pos,1.19,T,Ppl_st
first,inductive6,Pos,0.17,T,Ppl_st
first,copy_intro,Pos,0.2,T,Ppl_st
first,pldi082_unbounded1,Pos,2.34,F,Ppl_st
first,flow,Pos,0.03,T,Ppl_st
first,inductive2,Pos,0.09,T,Ppl_st
first,inductive1-3,Pos,0.5,T,Ppl_st
first,inductive3,Pos,0.12,T,Ppl_st
first,enc-zip_map,Pos,1.17,T,Ppl_st
first,inductive1-2,Pos,0.89,F,Ppl_st
first,gulwani_cegar1,Pos,3.36,T,Ppl_st
first,xyz2,Pos,4.68,F,Ppl_st
first,xy10,Pos,1.01,T,Ppl_st
first,01_ic3,Pos,0.69,T,Ppl_st
first,sum,Pos,0.18,T,Ppl_st
first,up_down_stair,Pos,5.83,T,Ppl_st
first,up2,Pos,3.44,F,Ppl_st
first,inductive1-1,Pos,0.56,T,Ppl_st
first,mc91_95,Pos,0.24,F,Ppl_st
first,inductive4,Pos,0.66,F,Ppl_st
first,lock,Pos,1.06,F,Ppl_st
first,mc91,Pos,0.27,F,Ppl_st
first,xyz,Pos,4.35,F,Ppl_st
first,enc-rev_accum,Pos,0.44,T,Ppl_st
first,inductive5,Pos,0.38,F,Ppl_st
first,seq-len,Pos,18.36,F,Ppl_st
first,inductive3-2,Pos,0.14,T,Ppl_st
first,pldi082_unbounded2,Pos,0.79,T,Ppl_st
first,file,Pos,20.64,T,Ppl_st
first,xy4,Pos,1.2,F,Ppl_st
first,sum_intro,Pos,0.52,T,Ppl_st
first,map_map,Pos,0.24,T,Ppl_st
first,xy0,Pos,1.17,T,Ppl_st
first,prog2,Pos,0.43,T,Ppl_st
first,sum3,Pos,0.21,F,Ppl_st
first,fib,Pos,0.21,T,Ppl_st
first,svd,Pos,117.4,T,Ppl_st
first,ack,Pos,1.81,F,Ppl_st
first,enc-zip,Pos,0.57,T,Ppl_st
first,gcd,Pos,1.68,F,Ppl_st
first,enc-zip4,Pos,0.69,T,Ppl_st
first,recHanoi03,Pos,0.23,T,Ppl_st
first,enc-rev_append-1,Pos,0.77,T,Ppl_st
first,sum2,Pos,0.22,F,Ppl_st
first,gib,Pos,2.6,T,Ppl_st
first,seq-len1,Pos,25.26,T,Ppl_st
first,substring1,Pos,2.49,T,Ppl_st
negative,zip00,Neg,66.96,T,Ppl_st
negative,indirectHO01,Neg,75.96,T,Ppl_st
negative,xyz2,Neg,4.75,F,Ppl_st
negative,xy10,Neg,1.0,T,Ppl_st
negative,01_ic3,Neg,1.14,F,Ppl_st
negative,ex23,Neg,0.75,T,Ppl_st
negative,inductive1-1,Neg,0.52,T,Ppl_st
negative,repeat,Neg,0.43,T,Ppl_st
negative,xyz,Neg,4.93,F,Ppl_st
negative,zip_unzip,Neg,0.5,T,Ppl_st
negative,xy4,Neg,1.25,T,Ppl_st
negative,Ackermann00,Neg,77.04,T,Ppl_st
negative,compose,Neg,0.55,T,Ppl_st
negative,up_down01,Neg,48.93,T,Ppl_st
negative,binomial00,Neg,12.37,T,Ppl_st
