subdir,file name,test class,timing (seconds),res (true/false),domain
high,map_2,Pos,3.05,F,Ppl_st
high,flip_twice_1,Pos,5.17,T,Ppl_st
high,fact_exn,Pos,0.7,T,Ppl_st
high,inc,Pos,3.38,T,Ppl_st
high,intro3,Pos,0.4,T,Ppl_st
high,neg1,Pos,0.76,F,Ppl_st
high,repeat_order,Pos,1.14,T,Ppl_st
high,intro-ord2,Pos,2.76,T,Ppl_st
high,foldr,Pos,8.28,F,Ppl_st
high,sum_cps,Pos,1.09,T,Ppl_st
high,sigma_sum,Pos,0.62,T,Ppl_st
high,apply_twice,Pos,0.39,F,Ppl_st
high,intro-ord3,Pos,8.76,T,Ppl_st
high,intro2,Pos,0.26,T,Ppl_st
high,repeat4,Pos,0.69,T,Ppl_st
high,hors,Pos,1.11,T,Ppl_st
high,repeat,Pos,1.15,T,Ppl_st
high,intro1,Pos,0.26,T,Ppl_st
high,app-lin-ord3,Pos,3.83,T,Ppl_st
high,foldl,Pos,5.07,F,Ppl_st
high,hrec,Pos,0.71,T,Ppl_st
high,app-nonrec,Pos,0.42,T,Ppl_st
high,app-lin-ord2,Pos,1.01,T,Ppl_st
high,max,Pos,2.84,F,Ppl_st
high,apply,Pos,1.19,T,Ppl_st
high,twice,Pos,0.34,T,Ppl_st
high,neg2,Pos,0.77,T,Ppl_st
high,exception,Pos,0.32,T,Ppl_st
high,power,Pos,4.07,T,Ppl_st
high,mixed_id,Pos,0.43,T,Ppl_st
high,app-succ,Pos,6.7,T,Ppl_st
high,call_back,Pos,0.33,T,Ppl_st
high,flip_twice_2,Pos,1.85,F,Ppl_st
high,exc-fact,Pos,0.72,T,Ppl_st
high,multi_compose,Pos,2.18,T,Ppl_st
high,recursive,Pos,0.73,T,Ppl_st
high,mc91_cps,Pos,1.59,F,Ppl_st
high,exc-simple,Pos,0.36,T,Ppl_st
array,a-copy-print,Pos,2.02,ER,Ppl_st
array,array_init,Pos,0.81,ER,Ppl_st
array,bcopy,Pos,3.11,ER,Ppl_st
array,a-dotprod,Pos,2.02,ER,Ppl_st
array,a-init,Pos,1.03,ER,Ppl_st
first,inductive6-2,Pos,0.28,T,Ppl_st
first,mc91_99,Pos,0.26,F,Ppl_st
first,enc-rev_append-2,Pos,0.76,T,Ppl_st
first,gib2,Pos,2.64,T,Ppl_st
first,enc-zip3,Pos,0.55,T,Ppl_st
first,substring2,Pos,2.7,T,Ppl_st
first,mult,Pos,0.44,F,Ppl_st
first,sum4,Pos,0.22,F,Ppl_st
first,fxx,Pos,0.13,T,Ppl_st
first,map,Pos,0.19,T,Ppl_st
first,enc-zipmap,Pos,1.17,T,Ppl_st
first,lcm,Pos,2.78,F,Ppl_st
first,mc91_98,Pos,0.25,F,Ppl_st
first,enc-zip_map2,Pos,1.21,T,Ppl_st
first,inductive6,Pos,0.19,T,Ppl_st
first,copy_intro,Pos,0.19,T,Ppl_st
first,pldi082_unbounded1,Pos,2.33,F,Ppl_st
first,flow,Pos,0.06,T,Ppl_st
first,inductive2,Pos,0.09,T,Ppl_st
first,inductive1-3,Pos,0.51,T,Ppl_st
first,inductive3,Pos,0.11,T,Ppl_st
first,enc-zip_map,Pos,1.13,T,Ppl_st
first,inductive1-2,Pos,0.91,F,Ppl_st
first,gulwani_cegar1,Pos,3.37,T,Ppl_st
first,xyz2,Pos,4.89,F,Ppl_st
first,xy10,Pos,1.04,T,Ppl_st
first,01_ic3,Pos,0.66,T,Ppl_st
first,sum,Pos,0.17,T,Ppl_st
first,up_down_stair,Pos,5.42,T,Ppl_st
first,up2,Pos,3.59,F,Ppl_st
first,inductive1-1,Pos,0.49,T,Ppl_st
first,mc91_95,Pos,0.23,F,Ppl_st
first,inductive4,Pos,0.69,F,Ppl_st
first,lock,Pos,1.1,F,Ppl_st
first,mc91,Pos,0.25,F,Ppl_st
first,xyz,Pos,4.67,F,Ppl_st
first,enc-rev_accum,Pos,0.46,T,Ppl_st
first,inductive5,Pos,0.38,F,Ppl_st
first,seq-len,Pos,18.84,F,Ppl_st
first,inductive3-2,Pos,0.14,T,Ppl_st
first,pldi082_unbounded2,Pos,0.76,T,Ppl_st
first,file,Pos,21.32,T,Ppl_st
first,xy4,Pos,1.22,F,Ppl_st
first,sum_intro,Pos,0.52,T,Ppl_st
first,map_map,Pos,0.21,T,Ppl_st
first,xy0,Pos,1.16,T,Ppl_st
first,prog2,Pos,0.5,T,Ppl_st
first,sum3,Pos,0.2,F,Ppl_st
first,fib,Pos,0.2,T,Ppl_st
first,svd,Pos,125.23,T,Ppl_st
first,ack,Pos,1.82,F,Ppl_st
first,enc-zip,Pos,0.58,T,Ppl_st
first,gcd,Pos,1.7,F,Ppl_st
first,enc-zip4,Pos,0.74,T,Ppl_st
first,recHanoi03,Pos,0.24,T,Ppl_st
first,enc-rev_append-1,Pos,0.77,T,Ppl_st
first,sum2,Pos,0.2,F,Ppl_st
first,gib,Pos,2.55,T,Ppl_st
first,seq-len1,Pos,25.57,T,Ppl_st
first,substring1,Pos,2.57,T,Ppl_st
negative,zip00,Neg,68.59,T,Ppl_st
negative,indirectHO01,Neg,71.02,T,Ppl_st
negative,xyz2,Neg,4.77,F,Ppl_st
negative,xy10,Neg,0.98,T,Ppl_st
negative,01_ic3,Neg,1.13,F,Ppl_st
negative,ex23,Neg,0.71,T,Ppl_st
negative,inductive1-1,Neg,0.5,T,Ppl_st
negative,repeat,Neg,0.44,T,Ppl_st
negative,xyz,Neg,4.91,F,Ppl_st
negative,zip_unzip,Neg,0.54,T,Ppl_st
negative,xy4,Neg,1.2,T,Ppl_st
negative,Ackermann00,Neg,74.53,T,Ppl_st
negative,compose,Neg,0.51,T,Ppl_st
negative,up_down01,Neg,50.47,T,Ppl_st
negative,binomial00,Neg,12.23,T,Ppl_st
