subdir,file name,test class,timing (seconds),res (true/false),domain
high,map_2,Pos,3.27,F,Ppl_st
high,flip_twice_1,Pos,5.52,T,Ppl_st
high,fact_exn,Pos,0.8,T,Ppl_st
high,inc,Pos,3.4,T,Ppl_st
high,intro3,Pos,0.39,T,Ppl_st
high,neg1,Pos,0.77,F,Ppl_st
high,repeat_order,Pos,1.16,T,Ppl_st
high,intro-ord2,Pos,2.93,T,Ppl_st
high,foldr,Pos,8.75,F,Ppl_st
high,sum_cps,Pos,1.15,T,Ppl_st
high,sigma_sum,Pos,0.66,T,Ppl_st
high,apply_twice,Pos,0.4,F,Ppl_st
high,intro-ord3,Pos,8.93,T,Ppl_st
high,intro2,Pos,0.27,T,Ppl_st
high,repeat4,Pos,0.72,T,Ppl_st
high,hors,Pos,1.19,T,Ppl_st
high,repeat,Pos,1.18,T,Ppl_st
high,intro1,Pos,0.27,T,Ppl_st
high,app-lin-ord3,Pos,3.98,T,Ppl_st
high,foldl,Pos,5.44,F,Ppl_st
high,hrec,Pos,0.75,T,Ppl_st
high,app-nonrec,Pos,0.44,T,Ppl_st
high,app-lin-ord2,Pos,1.0,T,Ppl_st
high,max,Pos,2.88,F,Ppl_st
high,apply,Pos,1.26,T,Ppl_st
high,twice,Pos,0.37,T,Ppl_st
high,neg2,Pos,0.77,T,Ppl_st
high,exception,Pos,0.35,T,Ppl_st
high,power,Pos,3.9,T,Ppl_st
high,mixed_id,Pos,0.36,T,Ppl_st
high,app-succ,Pos,6.6,T,Ppl_st
high,call_back,Pos,0.35,T,Ppl_st
high,flip_twice_2,Pos,1.9,F,Ppl_st
high,exc-fact,Pos,0.81,T,Ppl_st
high,multi_compose,Pos,2.31,T,Ppl_st
high,recursive,Pos,0.77,T,Ppl_st
high,mc91_cps,Pos,1.68,F,Ppl_st
high,exc-simple,Pos,0.36,T,Ppl_st
array,a-copy-print,Pos,2.12,ER,Ppl_st
array,array_init,Pos,0.77,ER,Ppl_st
array,bcopy,Pos,3.08,ER,Ppl_st
array,a-dotprod,Pos,2.05,ER,Ppl_st
array,a-init,Pos,1.15,ER,Ppl_st
first,inductive6-2,Pos,0.29,T,Ppl_st
first,mc91_99,Pos,0.26,F,Ppl_st
first,enc-rev_append-2,Pos,0.79,T,Ppl_st
first,gib2,Pos,2.74,T,Ppl_st
first,enc-zip3,Pos,0.57,T,Ppl_st
first,substring2,Pos,2.85,T,Ppl_st
first,mult,Pos,0.47,F,Ppl_st
first,sum4,Pos,0.23,F,Ppl_st
first,fxx,Pos,0.15,T,Ppl_st
first,map,Pos,0.21,T,Ppl_st
first,enc-zipmap,Pos,1.25,T,Ppl_st
first,lcm,Pos,2.96,F,Ppl_st
first,mc91_98,Pos,0.26,F,Ppl_st
first,enc-zip_map2,Pos,1.29,T,Ppl_st
first,inductive6,Pos,0.19,T,Ppl_st
first,copy_intro,Pos,0.21,T,Ppl_st
first,pldi082_unbounded1,Pos,2.44,F,Ppl_st
first,flow,Pos,0.06,T,Ppl_st
first,inductive2,Pos,0.1,T,Ppl_st
first,inductive1-3,Pos,0.54,T,Ppl_st
first,inductive3,Pos,0.12,T,Ppl_st
first,enc-zip_map,Pos,1.23,T,Ppl_st
first,inductive1-2,Pos,0.96,F,Ppl_st
first,gulwani_cegar1,Pos,3.52,T,Ppl_st
first,xyz2,Pos,4.97,F,Ppl_st
first,xy10,Pos,1.05,T,Ppl_st
first,01_ic3,Pos,0.7,T,Ppl_st
first,sum,Pos,0.2,T,Ppl_st
first,up_down_stair,Pos,5.76,T,Ppl_st
first,up2,Pos,3.62,F,Ppl_st
first,inductive1-1,Pos,0.54,T,Ppl_st
first,mc91_95,Pos,0.26,F,Ppl_st
first,inductive4,Pos,0.73,F,Ppl_st
first,lock,Pos,1.17,F,Ppl_st
first,mc91,Pos,0.28,F,Ppl_st
first,xyz,Pos,4.55,F,Ppl_st
first,enc-rev_accum,Pos,0.48,T,Ppl_st
first,inductive5,Pos,0.4,F,Ppl_st
first,seq-len,Pos,19.44,F,Ppl_st
first,inductive3-2,Pos,0.15,T,Ppl_st
first,pldi082_unbounded2,Pos,0.82,T,Ppl_st
first,file,Pos,21.74,T,Ppl_st
first,xy4,Pos,1.3,F,Ppl_st
first,sum_intro,Pos,0.57,T,Ppl_st
first,map_map,Pos,0.24,T,Ppl_st
first,xy0,Pos,1.25,T,Ppl_st
first,prog2,Pos,0.48,T,Ppl_st
first,sum3,Pos,0.23,F,Ppl_st
first,fib,Pos,0.23,T,Ppl_st
first,svd,Pos,124.22,T,Ppl_st
first,ack,Pos,1.9,F,Ppl_st
first,enc-zip,Pos,0.62,T,Ppl_st
first,gcd,Pos,1.77,F,Ppl_st
first,enc-zip4,Pos,0.76,T,Ppl_st
first,recHanoi03,Pos,0.27,T,Ppl_st
first,enc-rev_append-1,Pos,0.8,T,Ppl_st
first,sum2,Pos,0.23,F,Ppl_st
first,gib,Pos,2.74,T,Ppl_st
first,seq-len1,Pos,26.57,T,Ppl_st
first,substring1,Pos,2.65,T,Ppl_st
negative,zip00,Neg,68.09,T,Ppl_st
negative,indirectHO01,Neg,73.19,T,Ppl_st
negative,xyz2,Neg,5.02,F,Ppl_st
negative,xy10,Neg,1.05,T,Ppl_st
negative,01_ic3,Neg,1.2,F,Ppl_st
negative,ex23,Neg,0.78,T,Ppl_st
negative,inductive1-1,Neg,0.52,T,Ppl_st
