subdir,file name,test class,timing (milseconds),res (true/false),domain
high,flip_twice_1,Pos,675,F;IM,Oct
high,fact_exn,Pos,245,T,Oct
high,inc,Pos,546,T,Oct
high,intro3,Pos,112,T,Oct
high,neg1,Pos,298,F;IM,Oct
high,sum_cps,Pos,201,T,Oct
high,sigma_sum,Pos,120,T,Oct
high,intro2,Pos,88,T,Oct
high,repeat4,Pos,128,T,Oct
high,hors,Pos,199,T,Oct
high,repeat,Pos,185,T,Oct
high,intro1,Pos,82,T,Oct
high,app-lin-ord3,Pos,449,T,Oct
high,hrec,Pos,136,T,Oct
high,app-nonrec,Pos,72,T,Oct
high,app-lin-ord2,Pos,122,T,Oct
high,max,Pos,377,T,Oct
high,apply,Pos,181,T,Oct
high,twice,Pos,92,T,Oct
high,neg2,Pos,143,T,Oct
high,exception,Pos,69,T,Oct
high,power,Pos,714,T,Oct
high,flip_twice_2,Pos,233,F;IM,Oct
high,exc-fact,Pos,219,T,Oct
high,recursive,Pos,58,T,Oct
high,mc91_cps,Pos,282,F;IM,Oct
high,exc-simple,Pos,67,T,Oct
array,a-copy-print,Pos,298,ER,Oct
array,array_init,Pos,145,ER,Oct
array,bcopy,Pos,436,ER,Oct
array,a-dotprod,Pos,422,ER,Oct
array,a-init,Pos,250,ER,Oct
first,mc91_99,Pos,60,F;IM,Oct
first,enc-rev_append-2,Pos,88,T,Oct
first,gib2,Pos,345,T,Oct
first,enc-zip3,Pos,105,T,Oct
first,substring2,Pos,124,T,Oct
first,mult,Pos,73,T,Oct
first,sum4,Pos,44,F;IM,Oct
first,fxx,Pos,29,T,Oct
first,map,Pos,39,T,Oct
first,enc-zipmap,Pos,249,F;IM,Oct
first,lcm,Pos,285,F;IM,Oct
first,mc91_98,Pos,60,F;IM,Oct
first,enc-zip_map2,Pos,238,T,Oct
first,inductive6,Pos,59,T,Oct
first,copy_intro,Pos,46,T,Oct
first,pldi082_unbounded1,Pos,720,F;IM,Oct
first,flow,Pos,19,T,Oct
first,inductive2,Pos,34,T,Oct
first,inductive1-3,Pos,130,F;IM,Oct
first,inductive3,Pos,44,T,Oct
first,enc-zip_map,Pos,210,T,Oct
first,inductive1-2,Pos,134,F;IM,Oct
first,xyz2,Pos,533,F;IM,Oct
first,xy10,Pos,163,T,Oct
first,01_ic3,Pos,129,T,Oct
first,sum,Pos,40,T,Oct
first,up_down_stair,Pos,1059,F;IM,Oct
first,up2,Pos,463,F;IM,Oct
first,inductive1-1,Pos,113,T,Oct
first,mc91_95,Pos,60,F;IM,Oct
first,inductive4,Pos,148,F;IM,Oct
first,lock,Pos,227,T,Oct
first,mc91,Pos,62,F;IM,Oct
first,xyz,Pos,502,F;IM,Oct
first,enc-rev_accum,Pos,76,F;IM,Oct
first,inductive5,Pos,49,T,Oct
first,inductive3-2,Pos,44,T,Oct
first,pldi082_unbounded2,Pos,170,T,Oct
first,file,Pos,1258,T;UR,Oct
first,xy4,Pos,233,F;IM,Oct
first,sum_intro,Pos,94,T,Oct
first,map_map,Pos,44,T,Oct
first,xy0,Pos,213,T,Oct
first,prog2,Pos,87,T,Oct
first,sum3,Pos,45,F;IM,Oct
first,fib,Pos,46,T,Oct
first,svd,Pos,14614,T,Oct
first,ack,Pos,288,F;IM,Oct
first,enc-zip,Pos,127,F;IM,Oct
first,gcd,Pos,255,T,Oct
first,enc-zip4,Pos,157,F;IM,Oct
first,recHanoi03,Pos,55,T,Oct
first,enc-rev_append-1,Pos,132,T,Oct
first,sum2,Pos,45,F;IM,Oct
first,gib,Pos,464,F;IM,Oct
first,seq-len1,Pos,2745,T,Oct
first,substring1,Pos,286,T,Oct
negative,zip00,Pos,11174,F;IM,Oct
negative,indirectHO01,Pos,18102,F,Oct
negative,xyz2,Pos,556,F;IM,Oct
negative,xy10,Pos,165,F,Oct
negative,01_ic3,Pos,195,F;IM,Oct
negative,ex23,Pos,91,F,Oct
negative,inductive1-1,Pos,104,F,Oct
negative,repeat,Pos,85,T,Oct
negative,xyz,Pos,626,F;IM,Oct
negative,zip_unzip,Pos,220,T,Oct
negative,xy4,Pos,186,F,Oct
negative,Ackermann00,Pos,9530,T,Oct
negative,compose,Pos,72,F,Oct
negative,up_down01,Pos,7789,T,Oct
negative,binomial00,Pos,10844,T,Oct
universe,id,Pos,83,F,Oct
universe,idc1,Pos,130,T,Oct
universe,sigma_sum,Pos,135,T,Oct
universe,repeat4,Pos,148,T,Oct
universe,ack00,Pos,31846,F;IM,Oct
universe,idc2,Pos,266,F;IM,Oct
universe,gcd,Pos,218,T,Oct
universe,fib_u,Pos,51,T,Oct
