subdir,file name,test class,timing (seconds),res (true/false)
high,flip_twice_1,Pos,0.15,F
high,fact_exn,Pos,timeout,F
high,inc,Pos,0.65,T
high,intro3,Pos,0.18,F
high,neg1,Pos,0.13,F
high,sum_cps,Pos,0.17,F
high,sigma_sum,Pos,0.11,F
high,intro2,Pos,0.13,F
high,repeat4,Pos,12.94,T
high,hors,Pos,0.21,T
high,repeat,Pos,timeout,F
high,repeat_do,Pos,0.52,F
high,intro1,Pos,0.12,F
high,app-lin-ord3,Pos,16.2,F
high,hrec,Pos,0.16,F
high,app-nonrec,Pos,0.22,T
high,app-lin-ord2,Pos,0.26,T
high,max,Pos,0.11,F
high,apply,Pos,0.19,F
high,twice,Pos,0.1,F
high,neg2,Pos,1.9,F
high,exception,Pos,0.14,F
high,power,Pos,0.09,F
high,flip_twice_2,Pos,0.1,F
high,exc-fact,Pos,timeout,F
high,recursive,Pos,0.12,F
high,mc91_cps,Pos,timeout,F
high,exc-simple,Pos,0.16,T
first,inductive6-2,Pos,0.06,T
first,mc91_99,Pos,2.16,F
first,enc-rev_append-2,Pos,0.16,F
first,gib2,Pos,1.06,T
first,enc-zip3,Pos,0.6,T
first,substring2,Pos,timeout,F
first,mult,Pos,2.98,T
first,sum4,Pos,1.32,F
first,fxx,Pos,0.14,T
first,map,Pos,2.86,T
first,enc-zipmap,Pos,0.33,T
first,lcm,Pos,0.91,F
first,mc91_98,Pos,0.68,F
first,enc-zip_map2,Pos,0.33,T
first,inductive6,Pos,0.25,F
first,copy_intro,Pos,3.81,T
first,pldi082_unbounded1,Pos,0.39,F
first,flow,Pos,0.15,F
first,inductive2,Pos,0.18,T
first,inductive1-3,Pos,0.21,T
first,inductive3,Pos,0.21,F
first,enc-zip_map,Pos,0.26,T
first,inductive1-2,Pos,0.34,F
first,xyz2,Pos,0.27,F
first,xy10,Pos,0.3,F
first,01_ic3,Pos,0.16,T
first,sum,Pos,1.52,T
first,up_down_stair,Pos,timeout,F
first,up2,Pos,0.9,T
first,inductive1-1,Pos,0.24,F
first,mc91_95,Pos,0.56,F
first,inductive4,Pos,timeout,F
first,lock,Pos,0.21,T
first,mc91,Pos,timeout,F
first,xyz,Pos,0.3,F
first,enc-rev_accum,Pos,1.68,F
first,inductive5,Pos,0.18,F
first,inductive3-2,Pos,0.16,F
first,pldi082_unbounded2,Pos,0.34,F
first,file,Pos,timeout,F
first,xy4,Pos,0.3,F
first,sum_intro,Pos,4.32,T
first,map_map,Pos,timeout,F
first,xy0,Pos,0.34,F
first,prog2,Pos,0.17,T
first,sum3,Pos,15.4,F
first,fib,Pos,timeout,F
first,svd,Pos,0.88,F
first,ack,Pos,1.6,T
first,enc-zip,Pos,0.43,T
first,gcd,Pos,0.22,T
first,enc-zip4,Pos,timeout,F
first,recHanoi03,Pos,0.15,T
first,enc-rev_append-1,Pos,0.24,T
first,sum2,Pos,7.86,F
first,gib,Pos,0.96,T
first,seq-len1,Pos,1.79,F
first,substring1,Pos,timeout,F
negative,zip00,Neg,timeout,T
negative,indirectHO01,Neg,0.09,T
negative,xyz2,Neg,0.26,T
negative,xy10,Neg,0.34,T
negative,01_ic3,Neg,0.05,F
negative,ex23,Neg,0.61,F
negative,inductive1-1,Neg,timeout,T
negative,repeat,Neg,0.56,T
negative,xyz,Neg,0.23,T
negative,zip_unzip,Neg,0.57,T
negative,xy4,Neg,0.27,T
negative,Ackermann00,Neg,0.85,T
negative,compose,Neg,timeout,T
negative,up_down01,Neg,0.14,T
negative,binomial00,Neg,0.25,T
