tool		drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo
run set		NOTEjuly2-TL0-TPfalse-THfalse-DMpg-TRtrans.effects	NOTEjuly2-TL0-TPfalse-THfalse-DMpg-TRtrans.effects	NOTEjuly2-TL0-TPfalse-THfalse-DMpg-TRtrans.effects	NOTEjuly2-TL0-TPfalse-THfalse-DMpg-TRtrans.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMls-TRtrans.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMls-TRtrans.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMls-TRtrans.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMls-TRtrans.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMst-TRtrans.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMst-TRtrans.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMst-TRtrans.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMst-TRtrans.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMoct-TRtrans.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMoct-TRtrans.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMoct-TRtrans.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMoct-TRtrans.effects	NOTEjuly2-TL1-TPtrue-THfalse-DMpg-TRtrans.effects	NOTEjuly2-TL1-TPtrue-THfalse-DMpg-TRtrans.effects	NOTEjuly2-TL1-TPtrue-THfalse-DMpg-TRtrans.effects	NOTEjuly2-TL1-TPtrue-THfalse-DMpg-TRtrans.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMls-TRtrans.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMls-TRtrans.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMls-TRtrans.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMls-TRtrans.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMst-TRtrans.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMst-TRtrans.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMst-TRtrans.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMst-TRtrans.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMoct-TRtrans.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMoct-TRtrans.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMoct-TRtrans.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMoct-TRtrans.effects	NOTEjuly2-TL1-TPfalse-THfalse-DMpg-TRtrans.effects	NOTEjuly2-TL1-TPfalse-THfalse-DMpg-TRtrans.effects	NOTEjuly2-TL1-TPfalse-THfalse-DMpg-TRtrans.effects	NOTEjuly2-TL1-TPfalse-THfalse-DMpg-TRtrans.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMls-TRtrans.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMls-TRtrans.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMls-TRtrans.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMls-TRtrans.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMst-TRtrans.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMst-TRtrans.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMst-TRtrans.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMst-TRtrans.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMoct-TRtrans.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMoct-TRtrans.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMoct-TRtrans.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMoct-TRtrans.effects	NOTEjuly2-TL0-TPfalse-THfalse-DMpg-TRdirect.effects	NOTEjuly2-TL0-TPfalse-THfalse-DMpg-TRdirect.effects	NOTEjuly2-TL0-TPfalse-THfalse-DMpg-TRdirect.effects	NOTEjuly2-TL0-TPfalse-THfalse-DMpg-TRdirect.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMls-TRdirect.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMls-TRdirect.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMls-TRdirect.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMls-TRdirect.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMst-TRdirect.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMst-TRdirect.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMst-TRdirect.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMst-TRdirect.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMoct-TRdirect.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMoct-TRdirect.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMoct-TRdirect.effects	NOTEjuly2-TL0-TPfalse-THtrue-DMoct-TRdirect.effects	NOTEjuly2-TL1-TPtrue-THfalse-DMpg-TRdirect.effects	NOTEjuly2-TL1-TPtrue-THfalse-DMpg-TRdirect.effects	NOTEjuly2-TL1-TPtrue-THfalse-DMpg-TRdirect.effects	NOTEjuly2-TL1-TPtrue-THfalse-DMpg-TRdirect.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMls-TRdirect.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMls-TRdirect.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMls-TRdirect.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMls-TRdirect.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMst-TRdirect.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMst-TRdirect.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMst-TRdirect.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMst-TRdirect.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMoct-TRdirect.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMoct-TRdirect.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMoct-TRdirect.effects	NOTEjuly2-TL1-TPtrue-THtrue-DMoct-TRdirect.effects	NOTEjuly2-TL1-TPfalse-THfalse-DMpg-TRdirect.effects	NOTEjuly2-TL1-TPfalse-THfalse-DMpg-TRdirect.effects	NOTEjuly2-TL1-TPfalse-THfalse-DMpg-TRdirect.effects	NOTEjuly2-TL1-TPfalse-THfalse-DMpg-TRdirect.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMls-TRdirect.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMls-TRdirect.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMls-TRdirect.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMls-TRdirect.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMst-TRdirect.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMst-TRdirect.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMst-TRdirect.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMst-TRdirect.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMoct-TRdirect.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMoct-TRdirect.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMoct-TRdirect.effects	NOTEjuly2-TL1-TPfalse-THtrue-DMoct-TRdirect.effects
../../tests/effects/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
all-ev-pos.yml	all-ev-pos.yml	unknown	14.310785257	14.313450563699007	17.010688	true	2.612030199	2.6141919139772654	22.343680	true	2.962570185	2.964438658207655	24.158208	true	4.85504043	4.857210730202496	37.023744	true	44.828791331	44.834267743863165	29.896704	true	6.872542737	6.8745092721655965	21.110784	true	8.017203175	8.01952778082341	24.174592	true	12.705527151	12.707987104542553	50.262016	unknown	40.632237829	40.63953961059451	28.368896	true	5.25871004	5.26086581684649	20.111360	true	6.123938519	6.126128082163632	23.261184	true	9.899553691	9.902178310789168	44.679168	unknown	0.805004749	0.8062999676913023	10.350592	true	0.164143389	0.16563297249376774	8.413184	true	0.183407625	0.1854544524103403	9.457664	true	0.166595912	0.16820482071489096	8.810496	true	2.359591968	2.361568388529122	12.124160	true	0.6210462	0.6226906348019838	10.014720	true	0.757525572	0.759220452979207	12.644352	true	0.704054376	0.7057081963866949	11.218944	true	2.045220992	2.047016194090247	12.050432	true	0.569346957	0.5711116185411811	10.293248	true	0.699276356	0.7009625658392906	12.648448	true	0.655866047	0.6574443029239774	11.292672
auction.yml	auction.yml	unknown	98.813166813	98.8343116287142	38.027264	OUT OF MEMORY	63.804304468	63.80752654466778	999.997440	OUT OF MEMORY	124.519630487	124.52370734792203	999.997440	unknown	162.585896462	162.62244143616408	241.061888	unknown	254.030451832	254.06941854581237	68.489216	unknown	145.652267276	145.65945675503463	62.992384	unknown	180.222814977	180.26696079783142	82.599936	unknown	271.237618717	271.28239515516907	368.713728	unknown	197.116065929	197.1242191651836	62.849024	unknown	138.824142373	138.86297301016748	107.257856	unknown	180.568668606	180.6173393651843	136.257536	unknown	244.291385	244.36393269803375	195.735552	unknown	1.338688175	1.3403382580727339	10.915840	unknown	1.337781618	1.3392593739554286	16.064512	unknown	1.728963379	1.7308622216805816	22.487040	unknown	2.089606749	2.092634005472064	16.134144	true	2.750297997	2.751875122077763	12.591104	true	1.719176625	1.7207617135718465	15.831040	true	2.111113545	2.1125647826120257	20.029440	unknown	3.294929304	3.296515205875039	22.618112	true	2.675248356	2.6773958122357726	12.316672	true	1.6293835	1.6313334424048662	15.855616	true	1.987416008	1.9890684867277741	19.394560	unknown	3.171633429	3.173193451948464	21.557248
binomial_heap.yml	binomial_heap.yml	ERROR (1)	0.432651359	0.43366504833102226	11.452416	ERROR (1)	0.132189604	0.1337902219966054	15.441920	ERROR (1)	0.157712754	0.15949258394539356	17.276928	ERROR (1)	0.329406192	0.3311572642996907	23.494656	ERROR (1)	0.244953415	0.2464500553905964	10.608640	ERROR (1)	0.092529268	0.09484687726944685	10.792960	ERROR (1)	0.104603495	0.10644357372075319	11.821056	ERROR (1)	0.230190028	0.2319225212559104	14.868480	ERROR (1)	0.243575883	0.24586282670497894	10.493952	ERROR (1)	0.092694954	0.09455597307533026	10.756096	ERROR (1)	0.10287113	0.10447306837886572	11.976704	ERROR (1)	0.248267171	0.2495697671547532	15.388672	true	11.524932218	11.527043937705457	16.429056	true	6.39110464	6.392955504357815	40.665088	true	7.516609486	7.518634996376932	57.311232	unknown	10.441896763	10.443706190213561	56.283136	true	11.729507507	11.733972415328026	17.690624	true	6.78027677	6.782206129282713	28.368896	true	7.466193935	7.468473215587437	32.174080	unknown	14.906729061	14.909883368760347	60.194816	true	11.720751379	11.72329496126622	18.345984	true	6.550323927	6.552582699805498	29.003776	true	7.324201386	7.32684491481632	34.263040	unknown	14.667647441	14.670097220689058	63.213568
depend.yml	depend.yml	true	0.601967523	0.6032744310796261	10.522624	true	0.15763223	0.1589142670854926	10.641408	true	0.186336009	0.1874732943251729	12.345344	true	0.416302411	0.41700838040560484	14.090240	true	0.287645875	0.2893263725563884	9.936896	true	0.110112887	0.11134191229939461	8.654848	true	0.127792531	0.12955075316131115	9.773056	true	0.261701563	0.26311742328107357	10.678272	true	0.287397753	0.2887067040428519	9.973760	true	0.114407841	0.1158377630636096	8.613888	true	0.123337328	0.12775480281561613	9.662464	true	0.260611019	0.26213894318789244	10.526720	true	0.035979654	0.044410048983991146	6.864896	true	0.019176493	0.020270751789212227	5.042176	true	0.020427589	0.023860237561166286	5.537792	true	0.023051461	0.02485508844256401	5.931008	true	0.037508791	0.041638352908194065	6.975488	true	0.018385409	0.01959526166319847	5.177344	true	0.01972507	0.02089108992367983	5.656576	true	0.022960247	0.025145946070551872	5.922816	true	0.035799758	0.043391856364905834	6.856704	true	0.021925547	0.02977859042584896	5.038080	true	0.020822821	0.029755945317447186	5.545984	true	0.023749818	0.02533668279647827	5.926912
disj-gte.yml	disj-gte.yml	TIMEOUT	900.24380532	900.2606158228591	91.656192	unknown	145.96029351	145.96530267316848	223.592448	unknown	226.518067566	226.5245596189052	353.468416	unknown	420.585482387	420.605834283866	528.920576	TIMEOUT	900.245938128	900.2666771197692	171.261952	true	343.70934732	343.7216463210061	153.182208	true	380.575280368	380.58880664780736	167.010304	TIMEOUT	900.251175829	900.2957930630073	999.997440	TIMEOUT	900.245021498	900.262039238587	139.796480	unknown	347.97650600000003	347.98491055797786	205.541376	unknown	519.209821454	519.2225003903732	288.563200	unknown	698.0246109999999	698.0514141581953	264.167424	unknown	36.991078601	36.99716947413981	30.224384	unknown	5.135507665	5.138075668364763	42.868736	unknown	5.520320811	5.522635084576905	47.190016	unknown	7.895955666	7.898793814703822	81.281024	true	26.882451177	26.886069514788687	28.446720	true	7.631220954	7.633723191916943	26.746880	true	8.673097798	8.675411728210747	30.179328	true	11.000727313	11.003533421084285	59.375616	true	25.880527527	25.88542464096099	27.295744	true	6.421050398	6.423068666830659	28.069888	true	7.220961779	7.224571764469147	31.870976	true	9.889000569	9.891825042665005	62.476288
disj.yml	disj.yml	unknown	666.444292762	666.4554261006415	77.180928	unknown	102.848869106	102.85266804881394	163.078144	unknown	157.480361685	157.4865370290354	379.101184	unknown	314.938526863	314.94572600349784	487.002112	TIMEOUT	900.330294908	900.3495870158076	164.261888	TIMEOUT	900.249564586	900.2659749444574	283.459584	TIMEOUT	930.985243	931.0121563691646	220.725248	TIMEOUT	900.25350234	900.3620040602982	999.997440	TIMEOUT	900.364785717	900.4093023687601	132.354048	unknown	205.940112824	205.94983701501042	199.946240	unknown	338.238497785	338.2460650354624	279.240704	unknown	360.767223	360.77469540107995	285.728768	true	9.607008677	9.609254118055105	21.315584	unknown	3.262231728	3.2638764195144176	46.256128	unknown	3.666103452	3.6679810723289847	52.682752	unknown	6.37315774	6.375604130327702	105.947136	true	22.472725577	22.47483487892896	26.890240	unknown	11.406078232	11.408068937249482	38.920192	unknown	12.65311891	12.65499978326261	43.909120	unknown	16.755411496	16.757223969325423	91.131904	true	16.145207313	16.147217818535864	23.781376	unknown	5.117242081	5.1195115353912115	39.452672	unknown	5.738914095	5.740957867354155	44.429312	unknown	8.898424103	8.900185792706907	88.092672
higher-order.yml	higher-order.yml	unknown	86.618569836	86.6229017758742	28.819456	unknown	21.654421801	21.6569384932518	74.854400	unknown	29.897178863	29.900038533844054	83.685376	unknown	50.194979947	50.198813086375594	127.168512	true	133.488187789	133.49411068763584	47.771648	true	35.513165246	35.51687840092927	35.172352	true	40.216192537	40.22002337500453	38.952960	true	86.286322515	86.29139497131109	195.620864	unknown	205.652085024	205.66022334434092	49.885184	true	28.920447927	28.923414090648293	34.369536	true	33.345514076	33.34820071235299	38.838272	true	69.80754419	69.81816126592457	171.016192	true	1.953430094	1.9556425092741847	11.628544	true	0.588718826	0.5903706923127174	12.615680	true	0.682320499	0.6844017831608653	15.007744	true	0.835564599	0.8378627579659224	14.544896	true	4.916846604	4.919189274311066	13.725696	true	1.152936225	1.1548008853569627	12.480512	true	1.374225923	1.3758772695437074	14.708736	true	2.043769839	2.0457411324605346	17.358848	true	4.877510187	4.879919329658151	13.996032	true	1.125843988	1.1281983880326152	12.914688	true	1.32856923	1.3301256960257888	15.011840	true	1.980561443	1.9822385432198644	17.141760
last-ev-even.yml	last-ev-even.yml	unknown	82.488046767	82.49225955083966	31.698944	unknown	11.62293982	11.62455946020782	37.961728	unknown	13.681995243	13.684350326657295	44.507136	unknown	34.184243808	34.187925504520535	91.410432	true	341.431643932	341.4512763377279	86.470656	unknown	86.079032855	86.08272760175169	57.331712	unknown	97.849033062	97.85336690023541	64.643072	unknown	132.340502466	132.35151829291135	277.229568	unknown	158.713342697	158.71836156211793	58.195968	unknown	39.822888475	39.82605555653572	42.192896	unknown	46.348303255	46.352290535345674	47.665152	unknown	74.514403089	74.51827375032008	181.043200	unknown	2.33167208	2.3333359230309725	11.984896	unknown	0.574299164	0.5760401105508208	15.790080	unknown	0.702047523	0.7034461563453078	21.438464	unknown	0.556010679	0.5573861664161086	16.945152	true	9.639403924	9.641422336921096	20.443136	unknown	3.694149521	3.695605767890811	14.114816	unknown	4.377301864	4.378875252790749	16.482304	unknown	5.173408622	5.175443866290152	23.900160	unknown	5.554341291	5.555954842828214	15.613952	unknown	1.919920616	1.9214741792529821	15.196160	unknown	2.321911693	2.323465102352202	18.640896	unknown	2.743053228	2.7447782903909683	22.781952
