tool		drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo
run set		NOTEoopsla25july22-TL0-TPfalse-THtrue-DMls-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THtrue-DMls-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THtrue-DMls-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THfalse-DMpg-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THfalse-DMpg-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THfalse-DMpg-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THtrue-DMls-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THtrue-DMls-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THtrue-DMls-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THfalse-DMpg-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THfalse-DMpg-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL0-TPfalse-THfalse-DMpg-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THtrue-DMls-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THtrue-DMls-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THtrue-DMls-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THfalse-DMpg-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THfalse-DMpg-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THfalse-DMpg-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THtrue-DMls-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THtrue-DMls-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THtrue-DMls-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THfalse-DMpg-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THfalse-DMpg-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPtrue-THfalse-DMpg-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THtrue-DMls-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THtrue-DMls-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THtrue-DMls-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THfalse-DMpg-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THfalse-DMpg-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THfalse-DMpg-IOtrue-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THtrue-DMls-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THtrue-DMls-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THtrue-DMls-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THfalse-DMpg-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THfalse-DMpg-IOfalse-TRdirect.evdrifttasks	NOTEoopsla25july22-TL1-TPfalse-THfalse-DMpg-IOfalse-TRdirect.evdrifttasks
../../tests/effects/		status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)
all-ev-pos.yml	all-ev-pos.yml	true	0.181993	0.18435319606214762	unknown	0.320721	0.32391020003706217	true	0.198945	0.23372420691885054	unknown	0.31097	0.5710489740595222	true	0.357332	0.8887047911994159	true	0.999403	1.0020950911566615	true	0.371288	0.38325886498205364	true	1.009755	1.9051641500554979	true	0.369838	0.8846642710268497	true	0.773805	0.781302377814427	true	0.397934	0.9720448320731521	true	0.853147	0.8745192799251527
alt-inev.yml	alt-inev.yml	true	1.766369	1.771171946078539	true	7.812182	7.8272343839053065	true	1.772787	1.9224178651347756	true	7.564519	7.855943850940093	true	6.140885	6.318439251976088	true	34.888913	34.92659873096272	true	5.499165	5.506004482042044	true	34.757594	35.37890434102155	true	5.392933	5.525499739916995	true	33.883799	34.152091591153294	true	5.782942	5.955301238922402	true	33.888734	33.916214308002964
auction.yml	auction.yml	true	2.492879	2.499410471878946	true	3.326154	3.33874787716195	true	2.663315	2.67442255304195	true	3.279418	3.429381913971156	true	4.232536	4.401586910011247	true	7.018736	7.027418318903074	true	3.852561	3.85680467588827	true	7.600601	7.8993463919032365	true	3.84913	3.855966961942613	true	7.499192	7.713721877196804	true	4.169833	4.369779924862087	true	7.561	7.5715776609722525
binomial_heap.yml	binomial_heap.yml	true	1.588561	1.5920448200777173	true	2.280925	2.2921243249438703	true	1.603653	1.7488946821540594	true	2.27638	2.3981922641396523	true	2.35875	2.5868405879009515	true	3.380245	3.3839229110162705	true	2.229913	2.2334236609749496	true	3.325759	3.933302557794377	true	2.215755	2.3620322120841593	true	3.678875	4.957081231987104	true	2.359617	2.74848688300699	true	3.335659	3.3402618621475995
concurrent_sum.yml	concurrent_sum.yml	true	0.164264	0.16582583100534976	true	0.232911	0.24860626296140254	true	0.184544	0.19633356505073607	true	0.224829	0.48360590008087456	true	0.823831	1.1949235401116312	true	1.607002	1.7345979770179838	true	0.7614	0.763478723121807	true	1.600817	1.9033572310581803	true	0.250363	0.2546631519217044	true	0.423393	0.4484740560874343	true	0.268279	0.8328196399379522	true	0.442756	0.4515806620474905
depend.yml	depend.yml	true	0.017606	0.7203716868534684	true	0.028398	0.03323844098486006	true	0.016325	0.01760675315745175	true	0.027849	0.02932806289754808	true	0.01656	0.24391677300445735	true	0.026656	0.0318529240321368	true	0.016972	0.018531583016738296	true	0.0279	0.03220850299112499	true	0.017513	0.019086285959929228	true	0.031583	0.22293186699971557	true	0.015015	0.17853771103546023	true	0.029683	0.16546397586353123
disj-gte.yml	disj-gte.yml	true	1.991663	3.4522790771443397	true	8.988314	9.105418552877381	true	2.164571	2.182775806868449	true	9.023968	9.036876939004287	true	2.978586	3.109701988985762	true	7.845534	8.17239479185082	true	2.639951	2.6449235170148313	true	8.301363	8.83676782110706	true	2.505509	2.509180239867419	true	8.256101	8.418033184017986	true	2.776158	2.782771921949461	true	8.298178	8.308428807882592
disj-nondet.yml	disj-nondet.yml	true	2.372718	2.618415782926604	true	14.963427	15.715316377812997	true	2.371804	3.8886893710587174	true	14.887885	17.62411030079238	true	4.987096	4.993278079899028	true	20.736393	22.81077818479389	true	4.407665	7.522375833010301	true	20.677711	21.515940488083288	true	2.910388	4.429277820046991	true	15.056152	15.376110145123675	true	3.310653	3.4933685660362244	true	14.460877	14.463975847000256
disj.yml	disj.yml	unknown	1.614336	3.0811824570409954	true	5.721908	5.756859899032861	unknown	1.633573	3.170931708998978	true	5.751695	7.0413294970057905	unknown	3.155756	3.2819403659086674	true	10.091546	11.790237222099677	unknown	3.138494	3.1440607698168606	true	10.112418	11.962245902046561	unknown	2.182237	2.1846205829642713	true	5.286632	5.762702212203294	unknown	2.103061	3.492946333019063	true	6.448096	6.810599274933338
higher-order.yml	higher-order.yml	true	0.424289	1.6193687939085066	true	1.025016	1.02824600902386	true	0.429008	0.7149101549293846	true	1.121982	3.251260121818632	true	0.511469	1.610993639100343	true	2.368105	3.6937340209260583	true	0.520304	0.7935398661065847	true	2.108038	2.945288401795551	true	0.517197	3.027511736145243	true	1.967025	1.9705085090827197	true	0.498701	2.257375753019005	true	1.973413	1.97674576099962
last-ev-even.yml	last-ev-even.yml	unknown	0.480876	1.4120203689672053	unknown	1.140439	2.1638823489192873	unknown	0.495152	0.4964839869644493	unknown	1.095036	2.896969908149913	unknown	2.054452	3.4411183139309287	true	5.900485	7.630507645895705	unknown	2.147492	3.7996177941095084	true	5.838813	7.678509318036959	unknown	1.301844	2.020045671146363	unknown	2.499563	3.1364386330824345	unknown	1.204834	2.5812050679232925	unknown	2.661266	5.198732315097004
lics18-amortized.yml	lics18-amortized.yml	true	6.395553	6.402541359886527	unknown	20.799515	21.573373023886234	true	6.435865	7.969385480042547	unknown	20.779251	22.398318517021835	true	16.536916	18.246358596952632	unknown	69.913699	70.58748017414473	true	16.647153	17.488826327957213	unknown	70.007588	70.03956421208568	true	15.455945	15.463146687950939	unknown	67.860753	69.25945076299831	true	15.332063	16.356364423874766	unknown	68.019342	68.75524245109409
lics18-hoshrink.yml	lics18-hoshrink.yml	unknown	0.449959	1.8967036141548306	unknown	3.105955	3.1084685819223523	unknown	0.447457	1.651648806873709	unknown	2.944132	5.98769712401554	unknown	1.0475	1.9704070929437876	unknown	7.30675	9.097875781124458	unknown	1.124021	2.785601669922471	unknown	7.360611	7.728191294008866	unknown	1.193214	1.9023501428309828	unknown	6.897877	9.571484352927655	unknown	1.044789	2.1520747519098222	unknown	7.222172	8.279101727996022
lics18-web.yml	lics18-web.yml	true	7.335268	8.343965895008296	unknown	10.464794	11.221109605859965	true	7.364697	8.28426451003179	unknown	10.48919	12.602506077848375	true	25.332441	27.373292539967224	unknown	60.773715	62.86591243813746	true	25.44048	27.982830356806517	unknown	60.722005	60.73503350303508	true	23.331868	25.14574400894344	unknown	58.454554	61.47227073297836	true	23.333904	25.070118359988555	unknown	58.69075	60.93276100908406
