tool	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo
run set	NOTEoopsla25july22-TL0-TPfalse-THfalse-DMpg-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL0-TPfalse-THfalse-DMpg-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL0-TPfalse-THfalse-DMpg-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL0-TPfalse-THtrue-DMls-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL0-TPfalse-THtrue-DMls-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL0-TPfalse-THtrue-DMls-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPfalse-THfalse-DMpg-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPfalse-THfalse-DMpg-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPfalse-THfalse-DMpg-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPfalse-THtrue-DMls-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPfalse-THtrue-DMls-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPfalse-THtrue-DMls-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPtrue-THfalse-DMpg-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPtrue-THfalse-DMpg-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPtrue-THfalse-DMpg-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPtrue-THtrue-DMls-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPtrue-THtrue-DMls-IOfalse-TRtrans.drifttasks	NOTEoopsla25july22-TL1-TPtrue-THtrue-DMls-IOfalse-TRtrans.drifttasks
../../tests/effects/tr_tuple_drift/	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)	status	cputime (s)	walltime (s)
all-ev-pos.ml	unknown	2.236564	2.508432310074568	true	0.715971	0.8750284248962998	true	6.274923	6.2916628120001405	true	1.484347	1.488186817849055	true	7.273865	7.472925401991233	true	1.60247	1.839063273044303
alt-inev.ml	unknown	62.601281	62.789383423980325	unknown	18.38386	18.516139733837917	unknown	199.591332	200.03338112914935	unknown	48.984197	49.00706240115687	unknown	330.50523	331.33490594499744	unknown	102.7251	102.77867018803954
auction.ml	unknown	88.444729	88.86717588314787	unknown	43.668965	43.843137462157756	unknown	155.73616	155.94099391601048	unknown	53.809289	53.842116663232446	unknown	306.098741	306.3709492920898	unknown	108.413301	108.68277341686189
binomial_heap.ml	unknown	448.853332	449.2490536291152	unknown	106.487199	106.60368752107024	unknown	568.548906	568.6635131780058	unknown	197.654679	197.72310932981782	unknown	670.228532	670.9686745449435	unknown	238.236236	238.46639329381287
concurrent_sum.ml	true	3.46132	3.6062034219503403	true	1.630754	1.6378963508177549	true	8.439251	8.618517705006525	true	3.334116	3.347741059958935	true	25.954528	26.533194344025105	true	12.001822	12.030011525843292
depend.ml	true	0.098501	0.10709477099590003	true	0.044018	0.04594202199950814	true	0.099679	0.10159156913869083	true	0.041064	0.04261913010850549	true	0.102261	0.4442201340571046	true	0.044166	0.1590076379943639
disj-gte.ml	unknown	34.405156	34.801629149122164	unknown	8.080013	8.089127900078893	unknown	95.631927	95.6546925548464	unknown	13.650612	13.660896060988307	true	130.206746	130.22976082307287	true	25.747749	25.759629258187488
disj-nondet.ml	unknown	67.319454	68.36627134378068	unknown	10.276725	11.013726848876104	unknown	102.161574	102.18208565982059	unknown	12.230708	12.55451680207625	true	251.432332	251.78422256698832	true	34.543107	35.93208263814449
disj.ml	unknown	36.693935	38.7739257409703	unknown	7.398808	8.109352580970153	unknown	61.924595	61.94802392483689	unknown	11.142831	12.456946257967502	true	136.263852	136.6173984890338	unknown	102.944668	102.95477421302348
higher-order.ml	unknown	9.389158	9.398876935010776	true	2.000344	3.432026949012652	unknown	20.247727	20.56078522093594	true	5.034154	5.34890575800091	true	22.149453	22.31803611596115	true	9.625198	11.323818173026666
intro-ord3.ml	unknown	71.285554	73.3796931700781	unknown	8.341833	9.063569656107575	true	152.167991	152.18651563790627	true	24.955556	26.646468901075423	true	180.381126	180.4057485628873	true	32.197292	35.84117200295441
last-ev-even.ml	unknown	7.652728	9.452496581012383	unknown	1.695066	2.1674025300890207	unknown	17.929284	18.277113374089822	unknown	6.110691	6.458784342044964	true	39.259972	39.55772620020434	unknown	12.230444	13.059406564105302
lics18-amortized.ml	unknown	276.190319	278.25288453907706	TIMEOUT	900.154478	901.0261608080473	TIMEOUT	901.010953	902.461606890196	unknown	287.616442	289.02891478990205	TIMEOUT	900.52511	901.0155647429638	unknown	589.029442	590.6410043060314
lics18-hoshrink.ml	unknown	10.056772	10.818280427949503	unknown	1.304759	2.7411932931281626	unknown	19.742626	20.083587735891342	unknown	3.373996	3.6946955770254135	unknown	19.955995	20.799058362841606	unknown	3.320627	4.144860233878717
lics18-web.ml	unknown	92.442233	93.99700670107268	unknown	53.014388	53.0308279490564	unknown	240.686306	240.7133262148127	unknown	190.565649	191.24019937915727	TIMEOUT	901.029122	902.5086780469865	TIMEOUT	901.017868	903.1322124530561
market.ml	unknown	129.707468	131.85640064487234	unknown	32.851127	32.863607752136886	TIMEOUT	901.013212	902.2768361181952	unknown	276.937056	277.3249855709728	TIMEOUT	900.864445	901.0102882210631	unknown	641.743396	643.3508773960639
max-min.ml	unknown	34.188111	34.70082227792591	unknown	9.27735	10.472253205953166	unknown	144.124532	144.13853239198215	unknown	24.645622	24.6491600649897	TIMEOUT	900.907057	901.0124714928679	unknown	234.863433	235.9738693179097
monotonic.ml	true	5.213742	7.928846012800932	true	2.368063	3.3139005459379405	unknown	19.31874	20.205802417127416	true	3.487805	3.8036049178335816	true	29.016123	29.30545568605885	true	5.72462	7.101203085156158
nondet_max.ml	unknown	6.696622	9.319743016036227	true	2.382086	2.614037221064791	true	17.538158	17.541367240948603	true	5.23719	6.545856294920668	true	17.898111	19.030471906997263	true	4.846114	7.416573124937713
order-irrel-nondet.ml	unknown	12.099197	12.357625734061003	unknown	2.785931	4.211912560975179	unknown	25.802027	25.81201476394199	unknown	6.533721	7.897499114973471	unknown	67.051246	67.35595583892427	unknown	13.998918	15.368728785775602
order-irrel.ml	unknown	10.19565	11.234574599890038	unknown	2.049756	3.2575213192030787	unknown	13.812869	14.413879584986717	unknown	2.848663	3.8798518828116357	unknown	36.60189	37.1744048059918	unknown	15.721355	17.433879337040707
overview1.ml	unknown	4.132601	5.42468719300814	unknown	1.003663	1.0049803559668362	true	5.068945	5.3640427000354975	true	1.974805	2.964329592883587	true	5.821173	6.937988634919748	true	1.815476	1.8200852191075683
reentr.ml	true	6.786751	6.788862874964252	true	3.490505	4.432631232077256	true	15.365781	16.539995857980102	true	6.882547	8.201282573863864	true	19.165983	20.285613370127976	true	8.264144	9.63626176607795
resource-analysis.ml	unknown	5.161762	6.862776831025258	true	2.998171	3.950969744939357	true	10.829982	11.124126557027921	true	3.827194	5.185595249990001	true	11.234796	11.514456667937338	true	3.778736	4.033172399038449
sum-appendix.ml	true	4.452187	6.535423487890512	true	1.180026	1.420756322098896	true	6.030255	6.941909156972542	true	1.32494	2.028101535048336	true	6.012733	6.028359552845359	true	1.630384	2.1913651439826936
sum-of-ev-even.ml	true	1.977357	4.8762735889758915	unknown	0.561689	1.0276455560233444	true	5.327817	5.627453078981489	unknown	1.451115	1.779907840071246	true	5.585023	5.876476795878261	unknown	1.489249	2.8595835140440613
temperature.ml	unknown	40.312535	40.81787839601748	unknown	13.425738	14.619383232900873	true	63.531178	64.72325860103592	unknown	15.534706	16.85916528501548	true	320.632955	322.2466540681198	unknown	134.904068	137.40667491802014
