subdir,file name,test class,timing (seconds),res (true/false),domain
first,fxx,Pos,0.01,T,Polka_ls
first,sum3,Pos,0.07,F,Polka_ls
first,mc91_98,Pos,0.17,F,Polka_ls
first,pldi082_unbounded1,Pos,0.97,T,Polka_ls
first,seq-len,Pos,7.17,F,Polka_ls
first,addition,Pos,0.24,T,Polka_ls
first,inductive5-2,Pos,0.04,T,Polka_ls
first,substring2,Pos,0.43,T,Polka_ls
first,svd,Pos,58.27,T,Polka_ls
first,sum4,Pos,0.08,F,Polka_ls
first,enc-zip3,Pos,0.2,T,Polka_ls
first,gcd,Pos,0.47,T,Polka_ls
first,inductive1-3,Pos,0.27,T,Polka_ls
first,enc-zip_map,Pos,0.36,T,Polka_ls
first,enc-zip,Pos,0.2,F,Polka_ls
first,xyz,Pos,1.68,T,Polka_ls
first,recHanoi03,Pos,0.07,T,Polka_ls
first,up_down_stair,Pos,3.67,T,Polka_ls
first,seq-len1,Pos,7.01,T,Polka_ls
first,inductive6-3,Pos,0.01,F,Polka_ls
first,enc-zip4,Pos,0.22,F,Polka_ls
first,copy_intro,Pos,0.12,T,Polka_ls
first,mc91_99,Pos,0.21,F,Polka_ls
first,for_bounded_loop1,Pos,1.39,T,Polka_ls
first,enc-rev_accum,Pos,0.15,T,Polka_ls
first,inductive1-2,Pos,0.28,T,Polka_ls
first,xy10,Pos,0.39,T,Polka_ls
first,gulwani_cegar1,Pos,0.76,T,Polka_ls
first,hanoi,Pos,2.18,F,Polka_ls
first,inductive4-1,Pos,0.47,T,Polka_ls
first,xy4,Pos,0.39,T,Polka_ls
first,eq,Pos,5.83,T,Polka_ls
first,nested_loop,Pos,timeout,ER,Polka_ls
first,mult_twice,Pos,0.32,F,Polka_ls
first,mc91,Pos,0.17,T,Polka_ls
first,inductive4,Pos,0.19,T,Polka_ls
first,sum_intro,Pos,0.11,T,Polka_ls
first,inductive6-2,Pos,0.01,T,Polka_ls
first,file,Pos,2.03,F,Polka_ls
first,enc-zip_map2,Pos,0.11,F,Polka_ls
first,inductive1,Pos,0.73,T,Polka_ls
first,mult,Pos,0.16,T,Polka_ls
first,is_prime,Pos,0.73,F,Polka_ls
first,map_map,Pos,0.14,T,Polka_ls
first,ack,Pos,1.92,T,Polka_ls
first,inductive3,Pos,0.01,T,Polka_ls
first,sum6,Pos,0.09,F,Polka_ls
first,inductive2,Pos,0.01,T,Polka_ls
first,inductivea,Pos,0.26,T,Polka_ls
first,substring1,Pos,0.47,T,Polka_ls
first,inductive3-2,Pos,0.03,T,Polka_ls
first,odd_even,Pos,0.15,F,Polka_ls
first,fib,Pos,0.1,T,Polka_ls
first,xyz2,Pos,1.7,T,Polka_ls
first,gib,Pos,1.14,T,Polka_ls
first,pldi082_unbounded2,Pos,0.14,T,Polka_ls
first,inductive5,Pos,0.02,T,Polka_ls
first,xy0,Pos,0.12,T,Polka_ls
first,prog2,Pos,0.09,T,Polka_ls
first,enc-rev_append,Pos,0.6,T,Polka_ls
